English	Bengali
physiology	শারীরবৃত্ত
platinum	প্লাটিনাম
polonium	পোলোনিয়াম
possession	কবজা
potassium	পটাশিয়াম
praseodymium	প্রাসিওডিমিয়াম
promethium	প্রমিথিয়াম
pronunciation	উঁচলান
protactinium	প্রোটেক্টিনিয়াম
rabbit	খরেগাশ
radiation ; radiations	রশ্মি বিচ্ছুরণ
radium	রেডিয়াম
radon	রেডন
rhenium	রেহনিয়াম
rhodium	রোহডিয়াম
rice	ভাত
roentgenium	রোয়েন্টজেনিয়াম
rubidium	রুবিডিয়াম
ruthenium	রুথেনিয়াম
rutherfordium	রাদারফোর্ডিয়াম
salt	লবণ
samarium	সামারিয়াম
scandium	স্ক্যানডিয়াম
seaborgium	সিবোরজিয়াম
season	মৌসুম
selenium	সেলেনিয়াম
semiotics ; semiology	সংকেতবিজ্ঞান
silver	রূপা
skeleton	কন্কাল
sodium	সোডিয়াম
strontium	স্ট্রনশিয়াম
sulphur	গন্ধক
supermarket	বড় েদাকান ; মহাবাজার
tantalum	ট্যানটালাম
technetium	টেকনেটিয়াম
tellurium	টেলুরিয়াম
terbium	টারবিয়াম
thallium	থ্যালিয়াম
thorium	থোরিয়াম
tin	টিন
titanium	টাইটানিয়াম
translation	অনুবাদ
trophy	ট্রোফি
tunnel	সুরঁগ
ununbium	ইউনুনবিয়াম
ununhexium	ইউনানহেক্সিয়াম
ununoctium	ইউনুনোকটিয়াম
ununpentium	ইউনুনপেন্টিয়াম
ununquadium	ইউনুনকোয়াডিয়াম
ununseptium	ইউনানসেপটিয়াম
ununtrium	ইউনুনট্রিয়াম
uranium	ইউরেনিয়াম
valuable	দামী ; অমূল্য
vanadium	ভ্যানাডিয়াম
water	জল
web ; spider web	জাল
xenon	জেনন
ytterbium	ইটারবিয়াম
yttrium	ইট্রিয়াম
zebra	জেবরা
zero ; null	শুন
zoology	প্রাণিবিজ্ঞান
Åland Islands	অলান্দ দ্বীপপুঞ্জ
