Slovak	﻿English
podstata	kernel
metóda	method
model	model
fáza	phase
procedúra	procedure
výroba	production
program	program
projekt	project
okruh	range
výskum	research
vyšetrovanie	research
veda	science
spoločnosť	society
systém	system
technológia	technology
teória	theory
sklon	trend
ťažkosť	trouble
užívateľ	user
armáda	army
základ	base
klub	club
spoločnosť	company
súťaž	contest
krajina	country
súd	court
trestný čin	crime
kultúra	culture
republika	democracy
nadvláda	dominion
voľby	election
existencia	existence
žena	female
vláda	government
história	history
jednotlivec	individual
inštitúcia	institution
kráľ	king
samec	male
člen	member
národ	nation
správa	news
hluk	noise
rozkaz	order
organizácia	organization
priepustka	pass
pas	passport
mier	peace
ľudia	people
polícia	police
politika	policy
obyvateľstvo	population
obyvateľstvo	public
trest	punishment
viera	religion
náboženstvo	religion
štát	state
názov	title
spojenie	union
vojna	war
vôľa	will
závet	will
vyznamenanie	award
lopta	ball
bejzbal	baseball
bicykel	bike
majstrovstvo	championship
súper	competitor
pohár	cup
futbal	football
hra	game
gól	goal
miesto určenia	goal
zlato	gold
golf	golf
skok	jump
zápas	match
hráč	player
rekord	record
striebro	silver
tenis	tennis
hod	throw
