English	Norwegian
meat	kjøtt
oil	olje
rice	ris
salad	salat
salt	salt
sandwich	sandwich
sauce	saus
soup	suppe
sugar	sukker
beer	øl
coffee	kaffe
drink	drikke
milk	melk
milkshake	milkshake
tea	te
water	vann
wine	vin
apple	eple
apricot	aprikos
banana	banan
blackberry	bjørnebær
cherry	kirsebær
lemon	sitron
nut	nøtt
orange	appelsin
peach	fersken
pear	pære
pineapple	ananas
plum	plomme
raspberry	bringebær
strawberry	jordbær
bean	bønne
cabbage	kål
carrot	gulrot
cucumber	agurk
garlic	hvitløk
olive	oliven
onion	løk
parsnip	pastinakk
potato	potet
radish	reddik
tomato	tomat
baby	spedbarn
birth	fødsel
birthday	fødselsdag
boy	gutt
brother	bror
daughter	datter
death	død
family	serie
father	far
friend	venn
girl	jente
grandfather	bestefar
human	menneske
husband	ektefelle
man	mann
marriage	ekteskap
mother	mor
person	individ
relationship	forhold
sister	søster
wedding	bryllup
wedding	giftermål
wife	kone
woman	kvinne
address	adresse
bathroom	bad
bedroom	soverom
brick	teglstein
door	dør
floor	etasje
garage	garasje
garden	hage
gate	port
hall	hall
home	hjem
house	hus
kitchen	kjøkken
roof	tak
room	værelse
shower	dusj
step	trappetrinn
toilet	toalett
wall	mur
well	brønn
window	vindu
bed	seng
carpet	teppe
chair	stol
cupboard	skap
curtain	gardin
furniture	møbler
shelf	hylle
sink	vaskeservant
table	bord
bag	dameveske
boot	støvel
cloth	stoff
clothing	klær
coat	frakk
collar	snipp
hat	hatt
jacket	jakke
jewel	edelstein
ring	fingerring
shirt	skjorte
shoe	sko
skirt	skjørt
sock	sokk
suitcase	koffert
tie	slips
air	luft
animal	dyr
branch	gren
evolution	utvikling
farm	gård
field	felt
fire	ild
forest	skog
grass	gress
leaf	blad
life	liv
lightning	lyn
moisture	fuktighet
nature	natur
plant	plante
root	rot
sky	himmel
sleep	slummer
smell	aroma
smoke	os
spring	kilde
stream	strøm
tree	tre
wave	bølge
weather	vær
airport	flyplass
bank	bank
bridge	bro
building	byggverk
capital	hovedstad
castle	borg
church	kirke
cinema	kino
city	by
factory	fabrikk
flat	leilighet
hospital	sykehus
hotel	hotell
library	bibliotek
park	park
road	rute
school	skole
station	stasjon
street	gate
structure	oppbygning
subway	undergrunnsbane
theater	teater
town	by
village	landsby
accident	ulykke
boat	båt
bus	buss
car	bil
express	ekspress
flight	flyging
journey	reise
passenger	passasjer
plane	fly
ship	skip
track	skinne
train	tog
transport	transport
actor	skuespiller
expert	ekspert
general	general
journalist	journalist
judge	dommer
minister	statsråd
musician	musiker
photographer	fotograf
pilot	pilot
policeman	politikonstabel
politician	politiker
professional	fagmann
sailor	matros
secretary	sekretær
servant	tjener
soldier	soldat
writer	forfatter
bank	bredd
beach	strand
direction	retning
Earth	Jorden
east	øst
height	høyde over havet
hill	ås
island	øy
lake	sjø
land	bakke
map	kart
Moon	Månen
north	nord
plain	slette
river	elv
sea	sjø
south	sør
star	stjerne
sun	sol
west	vest
cloud	sky
dew	dogg
fog	tåke
frost	rim
rain	regn
rainbow	regnbue
snow	snø
storm	storm
thunder	torden
wind	vind
acid	syre
chemical	kjemisk substans
chemical element	grunnstoff
coal	kull
cotton	bomull
dust	støv
earth	jord
fat	fett
glass	glass
glue	lim
grain	korn
ice	is
iron	jern
leather	skinn
matter	materie
metallic element	metall
oil	petroleum
poison	gift
powder	pulver
sand	sand
silk	silke
soap	såpe
steel	stål
wood	treverk
wool	ull
bag	pose
basket	kurv
bottle	flaske
box	kasse
can	hermetikk
cup	kopp
drawer	skuff
envelope	konvolutt
plate	tallerken
bell	klokke
button	knapp
gun	gevær
hammer	slegge
hook	krok
key	nøkkel
lock	lås
match	fyrstikk
nail	spiker
needle	nål
pump	pumpe
rope	tau
scissors	saks
spring	fjær
stamp	stempel
whip	pisk
addition	addisjon
angle	vinkel
area	areal
circle	sirkel
curve	kurve
degree	grad
degree	grad
difference	forskjell
distance	avstand
division	deling
edge	kant
element	element
limit	grense
line	linje
net	nett
percent	prosent
point	punkt
purpose	funksjon
root	root
rule	regel
set	sett
side	side
square	kvadrat
square	kvadrat
total	sum
act	handling
action	handling
activity	aktivitet
addition	tillegg
amount	mengde
attack	anfall
attempt	forsøk
behavior	atferd
blow	støt
break	pause
campaign	kampanje
case	forekomst
chance	Salgsmulighet
change	forandring
choice	valg
condition	status
connection	kobling
crack	brist
cut	snitt
damage	skade
danger	fare
decoration	ornament
defense	forsvar
destruction	ødeleggelse
detail	enkelthet
drop	dråpe
fall	fall
fight	kamp
front	forside
hit	støt
increase	vekst
increase	tilvekst
internet	cyberspace
kind	art
knot	knute
list	liste
majority	flertall
matter	ting
mind	vett
operation	ytelse
opposite	motsetning
outburst	utbrudd
part	part
piece	del
place	plass
position	posisjon
power	kraft
practice	praksis
property	egenskap
quality	kvalitet
quiet	ro
report	rapport
responsibility	ansvar
rise	oppgang
risk	fare
seat	plass
silence	stillhet
step	fottrinn
stop	stopp
taste	smak
thing	tingest
top	topp
treatment	behandling
trick	knep
type	slag
use	anvendelse
whole	hele
will	vilje
wish	ønske
art	kunst
artist	kunstner
color	farge
concert	konsert
entertainment	underholdning
ink	blekk
manner	måte
movie	film
museum	museum
music	musikk
note	note
orchestra	orkester
paint	maling
paper	papir
pen	penn
pencil	blyant
picture	avbildning
poetry	poesi
rhythm	rytme
song	sang
stage	scene
style	stil
vogue	mote
account	konto
advantage	fordel
advertisement	annonse
advice	råd
agreement	avtale
attention	oppmerksomhet
authority	autoritet
banknote	seddel
bargain	handel
brand	merke
capital	kapital
change	småpenger
cheque	kontroll
committee	nemnd
company	firma
competition	konkurranse
complaint	anklage
contract	kontrakt
cost	kostnad
council	råd
course	kurs
customer	kunde
demand	behov
department	avdeling
difficulty	vanskelighet
director	bestyrer
economy	økonomi
environment	miljø
experience	erfaring
firm	firma
form	skjema
group	gruppere
help	hjelp
holiday	ferie
income	inntekt
industry	industri
insurance	forsikring
interest	rente
invoice	faktura
job	oppgave
law	lov
leave	permisjon
loss	tap
management	forvaltning
mark	indikator
market	torg
material	materiale
meeting	møte
money	penger
occupation	arbeid
offer	tilbud
office	kontor
officer	embetsmann
operation	operasjon
owner	eier
package	pakke
payment	betaling
plan	plan
product	produkt
profit	fortjeneste
property	eiendeler
rate	takst
rest	rest
reward	dusør
right	rettighet
sale	salg
section	avdeling
section	seksjon
service	tjeneste
share	aksje
shop	butikk
show	utstilling
skill	ferdighet
staff	personale
structure	struktur
success	suksess
table	tabell
tax	avgift
team	team
trade	handel
value	verdi
work	arbeid
worker	arbeider
announcement	kunngjøringsfil
answer	svar
approval	godkjenning
argument	argument
book	bok
call	anrop
character	grafem
controversy	strid
cry	rop
data	data
decision	beslutning
dictionary	ordliste
discussion	diskusjon
doubt	tvil
feeling	følelser
humor	humor
idea	idé
information	opplysning
interest	interesse
interview	intervju
language	språk
language	naturlig språk
letter	tegn
letter	brev
lie	løgn
look	øyekast
magazine	tidsskrift
mail	post
memory	hukommelse
memory	minne
mistake	feil
name	navn
newspaper	avis
note	notat
number	nummer
opinion	mening
page	side
pronunciation	uttale
proposal	forslag
question	spørring
reaction	reaksjon
reason	årsak
request	bønn
sentence	setning
spelling	rettskrivning
standard	kriterium
subject	subjekt
suggestion	forslag
voice	stemme
word	ord
no	nei
yes	ja
Britain	Storbritannia
China	Kina
Czech Republic	Den tsjekkiske republikken
France	Republikken Frankrike
Germany	Forbundsrepublikken Tyskland
India	Republikken India
Italy	Italia
Japan	Japan
Spain	Kongeriket Spania
United States of America	Amerikas forente stater
camera	fotoapparat
cellular phone	mobiltelefon
clock	ur
computer	datamaskin
elevator	heis
engine	motor
instrument	instrument
machine	maskin
oven	ovn
watch	ur
class	klasse
education	utdannelse
education	utdannelse
education	pedagogikk
examination	eksamen
grade	karaktersystemer i norge
knowledge	kunnskap
student	student
teacher	lærer
training	opplæring
fear	frykt
hate	hat
love	kjærlighet
shock	støkk
care	omhu
cold	forkjølelse
cough	hoste
disease	sykdom
doctor	doktor
health	sunnhet
menstruation	menstruasjon
nurse	sykepleier
pain	smerte
patient	pasient
blade	blad
chain	kjede
club	klubbe
cover	omslag
feather	fjær
flag	flagg
frame	bilde
handle	håndtak
menu	spiseseddel
nut	mutter
pin	knappenål
pipe	rør
postage	porto
present	presang
sail	seil
scroll	rull
seed	frø
stick	stokk
stone	bergart
ticket	billett
wheel	hjul
charge	elektrisk ladning
energy	energi
light	lys
mass	masse
measurement	måling
mirror	speil
pressure	trykk
process	prosess
sound	lyd
steam	damp
strength	kraft
time	tid
unit	enhet
weight	vekt
date	avtale
guest	gjest
kiss	kyss
party	fest
sex	sex
smile	grin
surprise	forbauselse
visit	visitt
alternative	alternativ
biology	biologi
cause	årsak
chemistry	kjemi
comparison	sammenligning
consequence	effekt
control	kontroll
discipline	disiplin
discovery	oppdagelse
event	hendelse
example	eksempel
fact	kjensgjerning
kernel	kjerne
method	metode
phase	fase
procedure	prosedyre
production	produksjon
program	program
project	prosjekt
range	omfang
research	forskning
science	vitenskap
society	samfunn
system	system
technology	teknologi
theory	teori
trend	tendens
trouble	vanskelighet
user	bruker
army	armé
base	basis
club	forening
company	selskap
contest	konkurranse
country	land
court	rett
crime	forbrytelse
culture	kultur
democracy	republikk
election	valg
existence	eksistens
government	regjering
history	historie
institution	institusjon
king	king
member	medlem
nation	nasjon
noise	støy
order	ordre
organization	organisasjon
passport	pass
peace	fred
people	mennesker
police	politi
policy	politikk
population	befolkning
public	offentligheteten
punishment	straff
religion	tro
religion	religion
state	stat
union	enighet
war	krig
will	testament
ball	ball
baseball	baseball
bike	sykkel
championship	mesterskap
competitor	konkurrent
game	spill
goal	mål
goal	mål
gold	gull
golf	golf
jump	sprang
record	rekord
silver	sølv
tennis	tennis
throw	kast