English	Swedish
neighbor	granne
parent	förälder
person	person
relationship	förhållande
sister	syster
son	son
wedding	vigsel
wedding	bröllop
wife	fru
woman	kvinna
address	adress
bathroom	badrum
bedroom	sängkammare
brick	tegel
door	dörr
floor	golv
floor	golv
garage	garage
garden	trädgård
gate	grind
hall	lobby
home	hem
house	hus
kitchen	kök
roof	tak
room	rum
shower	dusch
step	trappsteg
toilet	toalett
wall	mur
well	brunn
window	fönster
bed	säng
carpet	matta
chair	stol
cupboard	garderob
curtain	gardin
desk	bord
furniture	möbler
seat	plats
shelf	hylla
sink	diskbänk
table	bord
bag	väska
boot	stövel
cloth	tyg
clothing	kläder
coat	rock
collar	krage
hat	hatt
jacket	jacka
jewel	juvel
ring	ring
shirt	skjorta
shoe	sko
skirt	kjol
sock	strumpa
suitcase	resväska
tie	slips
air	luft
animal	levande varelse
branch	gren
evolution	utveckling
farm	lantbruk
field	äng
fire	flamma
flower	blomma
forest	skog
grass	gräs
leaf	löv
life	liv
lightning	blixt
moisture	fukt
nature	natur
plant	planta
root	rot
sex	kön
sky	himmel
sleep	sömn
smell	lukt
smoke	rök
spring	källa
stem	stjälk
stream	ström
tree	träd
wave	våg
weather	väder
world	värld
airport	flygplats
bank	bank
bridge	bro
building	byggnad
capital	huvudstad
castle	slott
church	kyrka
cinema	biograf
city	stad
factory	fabrik
flat	lägenhet
hospital	sjukhus
hotel	hotell
library	bibliotek
park	park
prison	fängelse
restaurant	restaurang
road	gata
school	skola
station	station
street	gata
structure	konstruktion
subway	tunnelbana
supermarket	snabbköp
theater	teater
town	stad
university	universitet
village	by
accident	olycka
boat	båt
bus	buss
car	bil
curve	krök
express	snabb
flight	flykt
journey	resa
passenger	passagerare
plane	flygplan
ship	skepp
skid	bromsa
track	skena
train	tåg
transport	transport
actor	skådespelare
actress	skådespelerska
businessman	affärsman
expert	expert
general	general
journalist	journalist
judge	domare
leader	ledare
minister	minister
musician	musiker
photographer	fotograf
pilot	pilot
policeman	polis
politician	politiker
president	president
professional	professionell
representative	representant
sailor	seglare
scientist	vetenskapsman
secretary	sekreterare
servant	tjänare
soldier	soldat
writer	författare
bank	bank
beach	strand
current	ström
direction	riktning
Earth	Jorden
east	öster
height	höjd
hill	kulle
island	ö
lake	sjö
land	land
map	karta
Moon	måne
north	norr
plain	slätt
region	område
river	flod
sea	hav
south	söder
space	rymden
star	stjärna
sun	sol
west	väst
cloud	moln
dew	dagg
fog	dimma
frost	frost
rain	regn
rainbow	regnbåge
snow	snö
storm	storm
thunder	åska
wind	vind
acid	syra
chemical	kemikalie
chemical element	grundämne
coal	kol
cotton	bomull
dust	damm
earth	jord
fat	fett
glass	glas
glue	lim
grain	korn
ice	is
iron	järn
leather	läder
liquid	vätska
matter	materia
metallic element	metall
oil	petroleum
poison	gift
powder	puder
sand	sand
silk	silke
soap	tvål
steel	stål
wood	trä
wool	ull
bag	väska
basket	korg
bottle	butelj
box	kista
can	burk
cup	kopp
drawer	låda
envelope	kuvert
glass	glas
plate	fat
bell	klocka
button	knapp
gun	kanon
hammer	hammare
hook	krok
key	nyckel
lock	lås
match	tändsticka
nail	spik
needle	kanyl
pump	pump
rope	rep
scissors	sax
spring	fjäder
stamp	stämpel
whip	piska
addition	addition
angle	vinkel
area	area
circle	cirkel
curve	kurva
degree	grad
degree	standard
difference	skillnad
distance	sträcka
division	delning
edge	kant
element	element
function	funktion
half	halva
limit	gräns
line	linje
net	nät
outside	utsida
percent	procentuellt
point	prick
purpose	syfte
result	resultat
rule	regel
set	mängd
side	sida
square	kvadrat
square	kvadrat
substitution	utbyte
surface	yta
total	belopp
ability	makt
act	handling
action	handling
activity	aktivitet
addition	tillökning
amount	summa
attack	attack
attempt	försök
attitude	attityd
behavior	uppförande
bit	bit
blow	slag
break	avbrott
campaign	kampanj
case	fall
chance	chans
change	förändring
choice	val
condition	skick
crack	spricka
cut	jack
damage	skada
danger	fara
death	död
decoration	dekoration
destruction	förstörande
detail	detalj
dominance	kontroll
drop	droppe
duty	plikt
effort	bemödande
fall	fall
feature	kännetecken
fight	kamp
front	framsida
hit	träff
hole	grop
increase	utveckling
increase	ökning
internet	cyberrymden
jolt	stöt
kick	spark
kind	form
knot	knut
list	lista
majority	majoritet
matter	angelägenhet
mind	intellekt
operation	verksamhet
opposite	motsats
outburst	storm
part	del
part	del
personality	personlighet
piece	stycke
place	plats
position	läge
power	styrka
practice	praktik
project	uppgift
property	egenskap
quality	kvalitet
quiet	lugn
report	rapport
responsibility	plikt
rest	vila
return	återkomst
rise	bestigning
risk	risk
seat	plats
set	sats
silence	lugn
situation	situation
slice	stycke
state	skick
step	fotsteg
stop	avbrott
taste	smak
thing	sak
top	höjd
touch	beröring
treatment	behandling
tremble	rysning
trick	knep
type	typ
use	användande
way	sätt
wear	slitage
whole	helhet
will	vilja
wish	vilja ha
art	konst
artist	konstnär
band	band
brush	borste
color	färg
concert	konsert
design	utkast
diversity	olikhet
entertainment	nöje
hit	succé
image	image
ink	bläck
invention	påfund
manner	sätt
movie	hinna
museum	museum
music	musik
note	ton
orchestra	orkester
paint	måla
painting	bild
paper	papper
pen	penna
pencil	blyertspenna
picture	spegelbild
poem	dikt
poetry	poesi
rhythm	takt
shape	form
singer	sångare
song	visa
stage	scen
style	stil
vogue	mode
account	räkning
advantage	fördel
advertisement	annons
advice	råd
agreement	kontrakt
attention	uppmärksamhet
authority	befogenhet
banknote	sedel
bargain	uppgörelse
brand	märke
business	affär
capital	kapital
cheque	check
committee	kommitté
company	företag
competition	konkurrens
complaint	anklagelse
contract	kontrakt
copy	avbild
cost	utgifter
council	råd
course	lektion
customer	kund
demand	behov
department	avdelning
difficulty	svårighet
director	direktör
economy	ekonomi
environment	miljö
experience	erfarenhet
firm	firma
form	formulär
group	grupp
help	hjälp
holiday	semester
income	inkomst
industry	industri
insurance	försäkring
interest	ränta
invoice	räkenskaper
job	jobb
law	lag
leave	permission
loss	förlust
management	överinseende
mark	markör
market	marknad
material	material
mean	medelvärde
meeting	möte
money	pengar
occupation	yrke
offer	erbjudande
office	kontor
officer	tjänsteman
operation	funktion
owner	ägare
package	paketet
payment	betalning
plan	plan
price	kostnad
problem	problem
product	produkt
profit	vinst
property	egendom
rate	pris
rest	rest
reward	belöning
right	rätt
sale	försäljning
section	sektion
section	sektion
service	service
share	aktie
shop	affär
show	visa
skill	skicklighet
staff	personal
structure	struktur
success	framgång
support	stöd
table	tabell
tax	skatt
team	lag
trade	handel
value	värde
work	arbete
worker	arbetare
announcement	meddelande
answer	svar
approval	gillande
argument	argument
book	bok
call	telefonsamtal
character	typ
controversy	gräl
cry	rop
data	data
decision	avgörande
dictionary	ordbok
discussion	diskussion
doubt	tvekan
experience	upplevelse
feeling	känsla
humor	humor
idea	tanke
information	uppgift
interest	intresse
interview	intervju
language	språk
language	tunga
letter	bokstav
letter	brev
lie	lögn
look	titt
magazine	tidskrift
mail	post
memory	minne
memory	minne
mistake	misstag
name	namn
newspaper	tidning
note	not
number	nummer
opinion	mening
page	sida
pronunciation	uttal
proposal	förslag
protest	protest
question	uppgift
reaction	reaktion
reason	skäl
relation	relationer
request	begäran
secret	hemlighet
sentence	mening
sign	tecken
speech	tal
spelling	stavning
standard	kriterium
statement	uttalande
subject	ämne
suggestion	förslag
voice	röst
word	ord
writing	skrift
good day	god dag
good luck	lycka till
hello	hej
how are you	hur är det, hur är läget
many thanks	tusen tack
no	nej
thank you very much	tack så mycket
yes	ja
Britain	GB
China	Kina
Czech Republic	Tjeckien
France	Frankrike
Germany	Tyskland
India	Indien
Italy	Italien
Japan	Japan
Spain	Spanien
United States of America	USA
camera	kamera
camera	kamera
cellular phone	mobil
clock	klocka
computer	dator
elevator	hiss
engine	motor
instrument	instrument
machine	maskin
oven	ugn
watch	armbandsur
class	klass
education	bildning
education	uppfostran
education	utbildning
examination	tentamen
grade	betyg
knowledge	vetskap
student	studerande
teacher	lärare
training	utbildning
fear	rädsla
hate	hat
love	kärlek
pleasure	nöje
promise	förhoppning
shock	chock
cold	förkylning
cough	hostning
disease	sjukdom
doctor	läkare
health	hälsa
nurse	sjuksköterska
operation	operation
pain	smärta
patient	patient
stitch	stygn
blade	blad
board	tavla
card	karta
chain	kedja
club	klubba
cover	lock
feather	fjäder
flag	flagga
frame	ram
handle	handtag
menu	restaurangmeny
nut	mutter
pin	knappnål
pipe	kanal
postage	porto
present	present
sail	segel
scroll	slinga
seed	frö
stick	käpp
stone	sten
ticket	biljett
wheel	hjul
wire	kabel
balance	balans
bulk	volym
charge	laddning
energy	energi
light	ljus
mass	massa
measurement	mätning
mirror	spegel
movement	rörelse
pressure	press
process	process
size	storlek
sound	ljud
steam	ryka
strength	styrka
time	tid
unit	ental
weight	vikt
date	träff
girlfriend	flickvän
guest	gäst
honey	kära du
kiss	kyss
party	fest
sex	sex
smile	leende
surprise	överraskning
visit	besök
alternative	alternativ
biology	biologi
cause	orsak
chemistry	kemi
comparison	jämförelse
consequence	följd
control	kontroll
discipline	fostran
discovery	upptäckt
event	händelse
evidence	bevis
example	prov
fact	faktum
issue	problem
kernel	huvudsak
method	metod
model	förebild
phase	fas
procedure	procedur
production	produktion
program	program
project	projekt
range	räckvidd
research	forskning
research	undersökning
science	vetenskap
society	social grupp
system	system
technology	teknologi
theory	teori
trend	tendens
trouble	besvär
user	användare
army	armé
base	bas
club	klubb
company	kamratskap
contest	tävling
country	land
court	domstol
crime	lagöverträdelse
culture	kultur
democracy	republik
dominion	herravälde
election	val
existence	existens
government	regering
history	historia
individual	individ
institution	institution
king	kung
male	hane
member	medlem
nation	nation
news	budskap
noise	oljud
order	order
organization	organisation
pass	biljett
passport	pass
peace	fred
people	folk
police	polis
policy	politik
population	befolkning
public	befolkning
punishment	bestraffning
religion	tro
religion	religion
state	stat
title	titel
union	förening
war	krig
will	vilja
will	testamente
award	hedersbetygelse
ball	boll
baseball	baseball
bike	cykel
championship	mästerskap
competitor	tävlande
cup	buckla
football	fotboll
game	lek
goal	mål
goal	destination
gold	guld
golf	golf
jump	hopp
match	match
player	spelare
record	rekord
silver	silver
tennis	tennis
throw	kast
win	seger