Swedish	﻿English
trädgård	garden
grind	gate
lobby	hall
hem	home
hus	house
kök	kitchen
tak	roof
rum	room
dusch	shower
trappsteg	step
toalett	toilet
mur	wall
brunn	well
fönster	window
säng	bed
matta	carpet
stol	chair
garderob	cupboard
gardin	curtain
bord	desk
möbler	furniture
plats	seat
hylla	shelf
diskbänk	sink
bord	table
väska	bag
stövel	boot
tyg	cloth
kläder	clothing
rock	coat
krage	collar
hatt	hat
jacka	jacket
juvel	jewel
ring	ring
skjorta	shirt
sko	shoe
kjol	skirt
strumpa	sock
resväska	suitcase
slips	tie
luft	air
levande varelse	animal
gren	branch
utveckling	evolution
lantbruk	farm
äng	field
flamma	fire
blomma	flower
skog	forest
gräs	grass
löv	leaf
liv	life
blixt	lightning
fukt	moisture
natur	nature
planta	plant
rot	root
kön	sex
himmel	sky
sömn	sleep
lukt	smell
rök	smoke
källa	spring
stjälk	stem
ström	stream
träd	tree
våg	wave
väder	weather
värld	world
flygplats	airport
bank	bank
bro	bridge
byggnad	building
huvudstad	capital
slott	castle
kyrka	church
biograf	cinema
stad	city
fabrik	factory
lägenhet	flat
sjukhus	hospital
hotell	hotel
bibliotek	library
park	park
fängelse	prison
restaurang	restaurant
gata	road
skola	school
station	station
gata	street
konstruktion	structure
tunnelbana	subway
snabbköp	supermarket
teater	theater
stad	town
universitet	university
by	village
olycka	accident
båt	boat
buss	bus
bil	car
krök	curve
snabb	express
flykt	flight
resa	journey
passagerare	passenger
flygplan	plane
skepp	ship
bromsa	skid
skena	track
tåg	train
transport	transport
skådespelare	actor
skådespelerska	actress
affärsman	businessman
expert	expert
general	general
journalist	journalist
domare	judge
ledare	leader
minister	minister
musiker	musician
fotograf	photographer
pilot	pilot
polis	policeman
politiker	politician
president	president
professionell	professional
representant	representative
seglare	sailor
vetenskapsman	scientist
sekreterare	secretary
tjänare	servant
soldat	soldier
författare	writer
bank	bank
strand	beach
ström	current
riktning	direction
Jorden	Earth
öster	east
höjd	height
kulle	hill
ö	island
sjö	lake
land	land
karta	map
måne	Moon
norr	north
slätt	plain
område	region
flod	river
hav	sea
söder	south
rymden	space
stjärna	star
sol	sun
väst	west
moln	cloud
dagg	dew
dimma	fog
frost	frost
regn	rain
regnbåge	rainbow
snö	snow
storm	storm
åska	thunder
vind	wind
syra	acid
kemikalie	chemical
element grundämne	chemical
kol	coal
bomull	cotton
damm	dust
jord	earth
fett	fat
glas	glass
lim	glue
korn	grain
is	ice
järn	iron
läder	leather
vätska	liquid
materia	matter
element metall	metallic
petroleum	oil
gift	poison
puder	powder
sand	sand
silke	silk
tvål	soap
stål	steel
trä	wood
ull	wool
väska	bag
korg	basket
butelj	bottle
kista	box
burk	can
kopp	cup
låda	drawer
kuvert	envelope
glas	glass
fat	plate
klocka	bell
knapp	button
kanon	gun
hammare	hammer
krok	hook
nyckel	key
lås	lock
tändsticka	match
spik	nail
kanyl	needle
pump	pump
rep	rope
sax	scissors
fjäder	spring
stämpel	stamp
piska	whip
addition	addition
vinkel	angle
area	area
cirkel	circle
kurva	curve
grad	degree
standard	degree
skillnad	difference
sträcka	distance
delning	division
kant	edge
element	element
funktion	function
halva	half
gräns	limit
linje	line
nät	net
utsida	outside
procentuellt	percent
prick	point
syfte	purpose
resultat	result
regel	rule
mängd	set
sida	side
kvadrat	square
kvadrat	square
utbyte	substitution
yta	surface
belopp	total
makt	ability
handling	act
handling	action
aktivitet	activity
tillökning	addition
summa	amount
attack	attack
försök	attempt
attityd	attitude
uppförande	behavior
bit	bit
slag	blow
avbrott	break
kampanj	campaign
fall	case
chans	chance
förändring	change
val	choice
skick	condition
spricka	crack
jack	cut
skada	damage
fara	danger
död	death
dekoration	decoration
förstörande	destruction
detalj	detail
kontroll	dominance
droppe	drop
plikt	duty
bemödande	effort
fall	fall
kännetecken	feature
kamp	fight
framsida	front
träff	hit
grop	hole
utveckling	increase
ökning	increase
cyberrymden	internet
stöt	jolt
spark	kick
form	kind
knut	knot
lista	list
majoritet	majority
angelägenhet	matter
intellekt	mind
verksamhet	operation
motsats	opposite
storm	outburst
del	part
del	part
personlighet	personality
stycke	piece
plats	place
läge	position
styrka	power
praktik	practice
uppgift	project
egenskap	property
kvalitet	quality
lugn	quiet
rapport	report
plikt	responsibility
vila	rest
återkomst	return
bestigning	rise
risk	risk
plats	seat
sats	set
lugn	silence
situation	situation
stycke	slice
skick	state
fotsteg	step
avbrott	stop
smak	taste
sak	thing
höjd	top
beröring	touch
behandling	treatment
rysning	tremble
knep	trick
typ	type
användande	use
sätt	way
slitage	wear
helhet	whole
vilja	will
vilja ha	wish
konst	art
konstnär	artist
band	band
borste	brush
färg	color
konsert	concert
utkast	design
olikhet	diversity
nöje	entertainment
succé	hit
image	image
bläck	ink
påfund	invention
sätt	manner
hinna	movie
museum	museum
musik	music
ton	note
orkester	orchestra
måla	paint
bild	painting
papper	paper
penna	pen
blyertspenna	pencil
spegelbild	picture
dikt	poem
poesi	poetry
takt	rhythm
form	shape
sångare	singer
visa	song
scen	stage
stil	style
mode	vogue
räkning	account
fördel	advantage
annons	advertisement
råd	advice
kontrakt	agreement
uppmärksamhet	attention
befogenhet	authority
sedel	banknote
uppgörelse	bargain
märke	brand
affär	business
kapital	capital
check	cheque
kommitté	committee
företag	company
konkurrens	competition
anklagelse	complaint
kontrakt	contract
avbild	copy
utgifter	cost
råd	council
lektion	course
kund	customer
behov	demand
avdelning	department
svårighet	difficulty
direktör	director
ekonomi	economy
miljö	environment
erfarenhet	experience
firma	firm
formulär	form
grupp	group
hjälp	help
semester	holiday
inkomst	income
industri	industry
försäkring	insurance
ränta	interest
räkenskaper	invoice
jobb	job
lag	law
permission	leave
förlust	loss
överinseende	management
markör	mark
marknad	market
material	material
medelvärde	mean
möte	meeting
pengar	money
yrke	occupation
erbjudande	offer
kontor	office
tjänsteman	officer
funktion	operation
ägare	owner
paketet	package
betalning	payment
plan	plan
kostnad	price
problem	problem
produkt	product
vinst	profit
egendom	property
pris	rate
rest	rest
belöning	reward
rätt	right
försäljning	sale
sektion	section
sektion	section
service	service
aktie	share
affär	shop
visa	show
skicklighet	skill
personal	staff
struktur	structure
framgång	success
stöd	support
tabell	table
skatt	tax
lag	team
handel	trade
värde	value
arbete	work
arbetare	worker
meddelande	announcement
svar	answer
gillande	approval
argument	argument
bok	book
telefonsamtal	call
typ	character
gräl	controversy
rop	cry
data	data
avgörande	decision
ordbok	dictionary
diskussion	discussion
tvekan	doubt
upplevelse	experience
känsla	feeling
humor	humor
tanke	idea
uppgift	information
intresse	interest
intervju	interview
språk	language
tunga	language
bokstav	letter
brev	letter
lögn	lie
titt	look
tidskrift	magazine
post	mail
minne	memory
minne	memory
misstag	mistake
namn	name
tidning	newspaper
not	note
nummer	number
mening	opinion
sida	page
uttal	pronunciation
förslag	proposal
protest	protest
uppgift	question
reaktion	reaction
skäl	reason
relationer	relation
begäran	request
hemlighet	secret
mening	sentence
tecken	sign
tal	speech
stavning	spelling
kriterium	standard
uttalande	statement
ämne	subject
förslag	suggestion
röst	voice
ord	word
skrift	writing
day god dag	good
luck lycka till	good
hej	hello
are you hur är det, hur är läget	how
thanks tusen tack	many
nej	no
you very much tack så mycket	thank
ja	yes
GB	Britain
Kina	China
Republic Tjeckien	Czech
Frankrike	France
Tyskland	Germany
Indien	India
Italien	Italy
Japan	Japan
Spanien	Spain
States of America USA	United
kamera	camera
kamera	camera
phone mobil	cellular
klocka	clock
dator	computer
hiss	elevator
motor	engine
instrument	instrument
maskin	machine
ugn	oven
armbandsur	watch
klass	class
bildning	education
uppfostran	education
utbildning	education
tentamen	examination
betyg	grade
vetskap	knowledge
studerande	student
lärare	teacher
utbildning	training
rädsla	fear
hat	hate
kärlek	love
nöje	pleasure
förhoppning	promise
chock	shock
förkylning	cold
hostning	cough
sjukdom	disease
läkare	doctor
hälsa	health
sjuksköterska	nurse
operation	operation
smärta	pain
patient	patient
stygn	stitch
blad	blade
tavla	board
karta	card
kedja	chain
klubba	club
lock	cover
fjäder	feather
flagga	flag
ram	frame
handtag	handle
restaurangmeny	menu
mutter	nut
knappnål	pin
kanal	pipe
porto	postage
present	present
segel	sail
slinga	scroll
frö	seed
käpp	stick
sten	stone
biljett	ticket
hjul	wheel
kabel	wire
balans	balance
volym	bulk
laddning	charge
energi	energy
ljus	light
massa	mass
mätning	measurement
spegel	mirror
rörelse	movement
press	pressure
process	process
storlek	size
ljud	sound
ryka	steam
styrka	strength
tid	time
ental	unit
vikt	weight
träff	date
flickvän	girlfriend
gäst	guest
kära du	honey
kyss	kiss
fest	party
sex	sex
leende	smile
överraskning	surprise
besök	visit
alternativ	alternative
biologi	biology
orsak	cause
kemi	chemistry
jämförelse	comparison
följd	consequence
kontroll	control
fostran	discipline
upptäckt	discovery
händelse	event
bevis	evidence
prov	example
faktum	fact
problem	issue
huvudsak	kernel
metod	method
förebild	model
fas	phase
procedur	procedure
produktion	production
program	program
projekt	project
räckvidd	range
forskning	research
undersökning	research
vetenskap	science
social grupp	society
system	system
teknologi	technology
teori	theory
tendens	trend
besvär	trouble
användare	user
armé	army
bas	base
klubb	club
kamratskap	company
tävling	contest
land	country
domstol	court
lagöverträdelse	crime
kultur	culture
republik	democracy
herravälde	dominion
val	election
existens	existence
regering	government
historia	history
individ	individual
institution	institution
kung	king
hane	male
medlem	member
nation	nation
budskap	news
oljud	noise
order	order
organisation	organization
biljett	pass
pass	passport
fred	peace
folk	people
polis	police
politik	policy
befolkning	population
befolkning	public
bestraffning	punishment
tro	religion
religion	religion
stat	state
titel	title
förening	union
krig	war
vilja	will
testamente	will
hedersbetygelse	award
boll	ball
baseball	baseball
cykel	bike
mästerskap	championship
tävlande	competitor
buckla	cup
fotboll	football
lek	game
mål	goal
destination	goal
guld	gold
golf	golf
hopp	jump
match	match
spelare	player
rekord	record
silver	silver
tennis	tennis
kast	throw
