English	Chinese
hole	洞 (Mandarin: dong4, Cantonese: dong3)
increase	生长
increase	增加
internet	互联网
kick	踢
kind	种类
knot	结
list	列表
majority	多数
matter	事件
mind	头脑
operation	性能
opposite	逆
outburst	突发
part	部分
part	部分
piece	部分
position	地位
power	势力
project	工程
property	属性
quality	品质
responsibility	可靠性
rest	休息
return	重回
rise	上升
risk	危险
seat	位置
silence	安静
state	状态
step	脚步
taste	滋味
thing	物
treatment	处理
trick	手法
type	种类
will	意志
wish	愿望
art	艺术 [yì shù]
artist	艺术家 [yì shù jiā]
band	乐队 [yue4 dui4], 伴舞乐队
brush	刷子 [shuā zi]
color	颜色 [yán sè], 色彩 [sè cǎi]
concert	音乐会 [yīn yuè huì]
design	设计 [shè jì], 规划 [guī huà]
diversity	多样性 [duō yàng xìng]
entertainment	娱乐 [yú lè], 消遣 [xiāo qiǎn]
hit	巨大成功
image	形象 [xíng xiàng], 公众形象
ink	墨水 [mò shuǐ]
invention	发明 [fā míng], 创新 [chuàng xīn]
manner	方式
movie	影片 [yǐng piàn], 电影 [diàn yǐng]
museum	博物馆 [bó wù guǎn]
music	音乐 [yīn yuè], 乐曲 [yuè qǔ]
note	音符 [yīn fú]
orchestra	乐队 [yuè duì], 管弦乐队 [guǎn xián yuè duì]
paint	颜料 [yán liào], 涂料 [tú liào]
painting	画 [huà]
paper	纸 [zhǐ]
pen	钢笔 [gāng bǐ]
pencil	铅笔 [qiān bǐ]
picture	图象 [tú xiàng], 画面 [huà miàn]
poem	诗歌 [shī gē], 韵文 [yùn wén]
poetry	诗 [shī], 诗歌 [shī gē]
rhythm	节奏 [jié zòu], 旋律 [xuán lǜ]
shape	形像 [xíng xiàng], 外表 [wài biǎo]
singer	歌手 [gē shǒu]
song	歌 [gē], 歌曲 [gē qǔ]
stage	舞台 [wǔ tái]
style	款式 [kuǎn shì], 样式 [yàng shì]
vogue	时尚 [shí shàng], 潮流 [cháo liú]
account	帐目
advantage	优势 [yōu shì]
advertisement	广告 [guǎng gào]
advice	提议 [tí yì], 建议 [jiàn yì]
agreement	协议 [xié yì]
attention	注意 [zhù yì]
authority	权力 [quán lì], 权威 [quán wēi]
banknote	纸币 [zhǐ bì]
bargain	协议 [xié yì]
brand	品牌 [pǐn pái], 标识 [biāo zhì]
business	生意 [shēng yi], 商务 [shāng wù]
businesswoman	女企业家
capital	资本 [zī běn], 资金 [zī jīn]
change	零钱 [líng qián]
cheque	支票 [zhī piào]
committee	委员会 [wěi yuán huì]
company	公司 [gōng sī]
competition	竞争 [jìng zhēng]
complaint	控告 [kòng gào], 指控 [zhǐ kòng]
contract	合同 [hé tong], 合约 [hé yuē]
copy	副本 [fù běn], 备份 [bèi fèn]
cost	费用 [fèi yòng]
council	理事会 [lǐ shì huì], 委员会 [wěi yuán huì]
course	课程 [kè chéng]
customer	客户 [kè hù]
demand	需求 [xū qiú]
department	部门 [bù mén]
difficulty	困难 [kùn nan]
director	主管 [zhǔ guǎn], 经理 [jīng lǐ]
economy	经济 [jīng jì]
environment	环境 [huán jìng]
experience	经历 [jīng lì]
firm	公司 [gōng sī], 企业 [qǐ yè]
form	表格 [biǎo gé]
group	集团 [jí tuán], 团体 [tuán tǐ]
help	帮助 [bāng zhù], 协助 [xié zhù]
holiday	假期 [jià qī]
income	收入 [shōu rù]
industry	工业 [gōng yè], 制造业 [zhì zào yè]
insurance	保险 [bǎo xiǎn]
interest	利息 [lì xī]
invoice	账单 [zhàng dān], 发票 [fā piào]
job	工作 [gōng zuò]
law	法律 [fǎ lǜ]
leave	休假 [xiū jià], 缺席 [quē xí]
loss	失去 [shī qù], 失败 [shī bài]
management	管理 [guǎn lǐ]
mark	标记 [biāo jì]
market	市场 [shì chǎng]
material	原料 [yuán liào], 材料 [cái liào]
mean	平均数 [píng jūn shù]
meeting	会议 [huì yì]
money	钱 [qián]
occupation	工作 [gōng zuò], 职业 [zhí yè]
offer	答应提供
office	办公室 [bàn gōng shì], 办事处 [bàn shì chù]
officer	官员 [guān yuán], 领导 [lǐng dǎo]
operation	行动 [xíng dòng], 操作 [cāo zuò]
owner	所有者 [suǒ yǒu zhě], 主人 [zhǔ rén]
package	包 [bāo], 包裹 [bāo guǒ]
payment	付款 [fù kuǎn]
plan	计划 [jì huà]
price	代价 [dài jià]
problem	问题 [wèn tí]
product	产品 [chǎn pǐn]
profit	利润 [lì rùn]
property	财产 [cái chǎn], 所有物 [suǒ yǒu wù]
rate	收费 [shōu fèi], 费率 [fèi lǜ]
rest	剩余 [shèng yú]
reward	报酬 [bào chóu], 酬劳 [chóu láo]
right	权利 [quán lì]
sale	销售 [xiāo shòu]
section	部门 [bù mén]
section	阶段 [jiē duàn], 部分 [bù fèn]
service	服务 [fú wù]
share	股份 [gǔ fèn]
shop	商店 [shāng diàn]
show	表演 [biǎo yǎn]
skill	技能 [jì néng], 技巧 [jì qiǎo]
staff	职员 [zhí yuán]
structure	构造 [gòu zào], 结构 [jié gòu]
success	成功 [chéng gōng]
support	支持 [zhī chí], 援助 [yuán zhù]
table	表格 [biǎo gé], 列表 [liè biǎo]
tax	税 [shuì], 税收 [shuì shōu]
team	团队 [tuán duì]
trade	贸易 [mào yì]
value	价值 [jià zhí]
work	行动 [xíng dòng], 工作 [gōng zuò]
worker	工人 [gōng rén]
announcement	公告 [gōng gào], 宣布 [xuān bù]
answer	回复 [huí fù]
approval	批准 [pī zhǔn], 赞成 [zàn chéng]
argument	论据 [lùn jù]
book	书 [shū]
call	电话 [diàn huà]
character	文字 [wén zì]
controversy	争论 [zhēng lùn]
cry	呼喊 [hū hǎn], 叫嚷 [jiào rǎng]
data	数据 [shù jù], 资料 [zī liào]
decision	结论 [jié lùn], 决定 [jué dìng]
dictionary	词典 [cí diǎn]
discussion	讨论 [tǎo lùn]
doubt	怀疑 [huái yí], 不确定 [bù què dìng]
experience	经历 [jīng lì]
feeling	感觉 [gǎn jué]
humor	幽默 [yōu mò]
idea	想法 [xiǎng fǎ]
information	信息 [xìn xī]
interest	兴趣 [xìng qu]
interview	采访 [cǎi fǎng]
language	语言 [yǔ yán]
language	自然语言 [zì rán yǔ yán]
letter	字母 [zì mǔ]
letter	信 [xìn], 信函 [xìn hán]
lie	谎言 [huǎng yán]
look	表情 [biǎo qíng]
magazine	杂志 [zá zhì]
mail	邮政 [yóu zhèng]
memory	记忆力 [jì yì lì]
memory	记忆 [jì yì], 回忆 [huí yì]
mistake	错误 [cuò wù]
name	名字 [míng zi]
newspaper	报纸 [bào zhǐ]
note	注释 [zhù shì], 备注 [bèi zhù]
number	编号 [biān hào]
opinion	观点 [guān diǎn], 看法 [kàn fǎ]
page	页 [yè]
pronunciation	发音 [fā yīn]
proposal	提议 [tí yì], 建议 [jiàn yì]
protest	抗议 [kàng yì]
question	问题 [wèn tí], 咨询 [zī xún]
reaction	反应 [fǎn yìng]
reason	理由 [lǐ yóu], 原因 [yuán yīn]
relation	关系 [guān xì]
request	请求 [qǐng qiú]
secret	秘密 [mì mì]
sentence	句子 [jù zi]
sign	算术符号（加减乘除）
speech	话语 [huà yǔ]
spelling	拼写 [pīn xiě]
standard	标准 [biāo zhǔn]
statement	声明 [shēng míng]
subject	主题 [zhǔ tí]
suggestion	提议 [tí yì], 建议 [jiàn yì]
voice	声音 [shēng yīn]
word	词 [cí]
writing	文字 [wén zì], 书写 [shū xiě]
best regards	此致敬礼
do you speak English	你会说英语吗
good day	日安
good luck	祝你好运
good morning	早上好 [zǎo shang hǎo]
happy birthday	生日快乐 [shēng rì kuài lè]
hello	你好 [nǐ hǎo]
how are you	你好吗 [nǐ hǎo ma]
many thanks	非常感谢 [fēi cháng gǎn xiè]
no	不 [bù]
sorry	抱歉 [bào qiàn], 对不起 [duì bu qǐ]
sorry	对不起 [duì bu qǐ]
thank you very much	多谢 [duō xiè]
what is your name	你叫什么名字
yes	是 [shì]
you're welcome	不客气 [bù kè qi]
Britain	英国 [Yīng guó]
China	中国 [Zhōng guó]
Czech Republic	捷克 [Jié kè]
France	法国 [Fǎ guó]
Germany	德国 [Dé guó]
India	印度 [Yìn dù]
Italy	意大利 [Yì dà lì]
Japan	日本 [Rì běn]
Spain	西班牙 [Xī bān yá]
United States of America	美国 [Měi guó]
camera	摄像机 [shè xiàng jī]
camera	照相机 [zhào xiàng jī]
cellular phone	手机 [shǒu jī]
clock	时钟 [shí zhōng]
computer	计算机 [jì suàn jī], 电脑 [diàn nǎo]
elevator	电梯 [diàn tī]
engine	发动机 [fā dòng jī], 引擎 [yǐn qíng]
instrument	工具 [gōng jù]
machine	机器 [jī qì]
oven	炉子 [lú zi]
television	电视 [diàn shì]
watch	手表 [shǒu biǎo]
class	班级 [bān jí]
education	知识 [zhī shi], 学问 [xué wèn]
education	教育 [jiào yù]
education	教育 [jiào yù], 培训 [péi xùn]
examination	考试 [kǎo shì], 测试 [cè shì]
grade	分数 [fēn shù], 成绩 [chéng jì]
knowledge	知道 [zhī dao], 认识 [rèn shi]
student	学生 [xué sheng]
teacher	老师 [lǎo shī], 教师 [jiào shī]
training	训练 [xùn liàn], 培训 [péi xùn]
fear	害怕 [hài pà]
hate	恨 [hèn], 憎恨 [zēng hèn]
love	爱 [ài]
pleasure	快乐 [kuài lè], 愉快 [yú kuài]
promise	期望 [qī wàng]
shock	震动
care	护理 [hù lǐ], 照料 [zhào liào]
cold	感冒 [gǎn mào]
cough	咳嗽 [ké sou]
disease	疾病 [jí bìng]
doctor	医生 [yī shēng]
health	健康 [jiàn kāng]
menstruation	月经 [yuè jīng]
nurse	护士 [hù shi]
operation	手术 [shǒu shù]
pain	痛苦 [tòng kǔ]
patient	病人 [bìng rén]
stitch	针脚
blade	刀叶 [dāo yè]
board	板 [pàn]
card	纸牌 [zhǐ pái], 卡片 [kǎ piàn]
chain	链条 [liàn tiáo]
club	棍棒 [gùn bàng]
cover	盖子 [gài zi]
feather	羽毛 [yǔ máo]
flag	旗子 [qí zi]
frame	框架 [kuàng jià]
handle	柄 [bǐng], 把手 [bǎ shǒu]
menu	菜单 [cài dān]
nut	螺母 [luó mǔ], 螺帽 [luó mào]
pin	楔子 [xiē zi]
pipe	管子 [guǎn zi]
postage	邮费 [yóu fèi]
present	礼物 [lǐ wù]
sail	帆 [fān]
scroll	花环 [huā huán]
seed	种子 [zhǒng zi]
stick	木棍 [mù gùn]
stone	石头 [shí tou]
ticket	票 [piào]
wheel	轮子 [lún zi]
wire	金属丝
balance	平衡 [píng héng]
bulk	大量 [dà liàng]
charge	电荷 [diàn hé]
energy	能量 [néng liàng]
light	光 [guāng]
mass	质量 [zhì liàng], 重量 [zhòng liàng]
measurement	测量 [cè liáng]
mirror	镜子 [jìng zi]
movement	运动 [yùn dòng]
pressure	压力 [yā lì]
process	过程 [guò chéng], 进程 [jìn chéng]
