English	Czech
winter	zima
year	rok
art	umění
artist	umělec
band	kapela
brush	kartáč, štětec
color	barva
concert	koncert
design	návrh
diversity	rozmanitost, pestrost
entertainment	obveselení, zábava
hit	hit
image	obraz
ink	inkoust
invention	vynalezení, vynález
manner	způsob
movie	film
museum	muzeum
music	hudba
note	nota
orchestra	orchestr
paint	barva
painting	obraz, malba
paper	papír
pen	pero
pencil	tužka
picture	obraz, obrázek
poem	báseň
poetry	poezie
rhythm	rytmus
shape	podoba, tvar
singer	zpěvák, pěvec
song	píseň, písnička
stage	jeviště
style	styl
vogue	móda
account	účet
advantage	výhoda
advertisement	propagace, reklama
advice	rada
agreement	kontrakt, smlouva
attention	pozornost
authority	autorizace, oprávnění
banknote	bankovka
bargain	obchod
brand	druh, značka
business	obchod
businesswoman	podnikatelka, obchodnice
capital	kapitál
change	drobné
cheque	šek
committee	komise, výbor
company	podnik, firma
competition	konkurence
complaint	stížnost, obžaloba
contract	smlouva, kontrakt
copy	kopie, opis
cost	náklady, výdaje
council	rada, koncil
course	kurz, školení
customer	zákazník, klient
demand	potřeba
department	odbor, oddělení
difficulty	obtížnost
director	manažer, řídící pracovník
economy	hospodářství, ekonomika
environment	prostředí
experience	zkušenost
firm	firma
form	formulář, tiskopis
group	seskupení, skupina
help	pomoc, asistence
holiday	dovolená, prázdniny
income	výdělek, příjem
industry	průmysl
insurance	pojištění
interest	úrok
invoice	faktura, účet
job	úloha, práce
law	zákon
leave	dovolená
loss	ztráta
management	management, řízení
mark	značka, znak
market	trh
material	materiál, hmota
mean	střední hodnota, průměr
meeting	setkání, schůzka
money	peníze
occupation	zaměstnání, práce
offer	nabídka
office	kancelář
officer	úředník
operation	operace
owner	vlastník, držitel
package	balení, svazek
payment	platba
plan	plán
price	cena
problem	problém
product	produkt
profit	výtěžek, profit
property	majetek, vlastnictví
rate	tarif, sazba
rest	zůstatek, reziduum
reward	odměna
right	právo
sale	prodej, odbyt
section	oddělení, divize
section	oddíl, oddělení
service	obsluha, služba
share	akcie
shop	obchod, krám
show	show, přehlídka
skill	zručnost, dovednost
staff	zaměstnanci, personál
structure	struktura
success	úspěch
support	podpora, opora
table	tabulka
tax	daň, zdanění
team	družstvo, tým
trade	obchod
value	hodnota, cena
work	práce
worker	pracovník, pracující
announcement	proklamace, prohlášení
answer	odpověď
approval	schválení, souhlas
argument	argument
book	kniha
call	telefonát, volání
character	znak
controversy	spor, kontroverze
cry	křik, výkřik
data	informace, data
decision	závěr, rozhodnutí
dictionary	slovník, lexikon
discussion	diskuze
doubt	pochybnost, nejistota
experience	zážitek
feeling	pocit
humor	humor
idea	myšlenka, idea
information	informace
interest	zájem
interview	rozhovor, interview
language	jazyk, řeč
language	jazyk
letter	písmeno
letter	dopis
lie	lež
look	pohled
magazine	časopis, magazín
mail	pošta
memory	paměť
memory	vzpomínka
mistake	chyba
name	jméno, název
newspaper	noviny
note	poznámka
number	číslo
opinion	stanovisko, názor
page	strana
pronunciation	výslovnost
proposal	návrh
protest	protest
question	otázka, dotaz
reaction	reakce
reason	důvod
relation	relace, vztah
request	požadavek, žádost
secret	tajemství
sentence	věta
sign	znaménko
speech	mluva, řeč
spelling	pravopis
standard	kritérium, standard
statement	výpověď, tvrzení
subject	námět, téma
suggestion	návrh
voice	hlas
word	slovo
writing	písmo
good day	dobrý den
good luck	hodně štěstí,
hello	ahoj, nazdar
how are you	jak se máš,
many thanks	mockrát děkuji
no	ne
thank you very much	děkuji mnohokrát
yes	ano
Britain	Británie
China	Čína
Czech Republic	Česká republika
France	Francie
Germany	Německo
India	Indie
Italy	Itálie
Japan	Japonsko
Spain	Španělsko
United States of America	USA, Spojené státy americké
class	ročník, třída
education	vzdělání
education	výchova
education	vzdělávání, učení
examination	zkouška
grade	známka
knowledge	vědomosti, znalosti
student	student, žák
teacher	instruktor, cvičitel
training	vzdělávání, výcvik
fear	strach
hate	nenávist
love	láska
pleasure	potěšení
promise	naděje
shock	šok
care	péče
cold	nachlazení, rýma
cough	kašlání
disease	nemoc, onemocnění
doctor	doktor, lékař
health	zdraví
menstruation	menstruace, měsíčky
nurse	ošetřovatelka, zdravotní sestra
operation	chirurgický zákrok, operace
pain	bolest
patient	pacient
stitch	steh
blade	čepel
board	deska
card	karta
chain	řetěz
club	obušek, kyj
cover	kryt, víko
feather	péro, pírko
flag	vlajka
frame	rám, rámec
handle	topůrko, držadlo
menu	jídelní lístek, menu
nut	matice, matka
pin	špendlík
pipe	trubka, roura
postage	poštovné, poštovní známka
present	dárek, dar
sail	plachta
scroll	kotouč, role
seed	semeno
stick	hůl, klacek
stone	kámen
ticket	vstupenka, jízdenka
wheel	kolo
wire	drát
balance	rovnováha
bulk	množství
charge	náboj
energy	energie
light	světlo
mass	hmota, masa
measurement	měření
mirror	zrcadlo
movement	pohyb
pressure	tlak
process	proces
size	rozměr, velikost
sound	zvuk, tón
steam	pára
strength	síla
time	čas
unit	jednotka
weight	váha
boyfriend	milenec, kluk
date	schůzka
girlfriend	přítelkyně
guest	host
honey	drahoušek, miláček
kiss	polibek, pusa
party	večírek
sex	sex
smile	úsměv
surprise	překvapení
visit	návštěva
alternative	alternativa
biology	biologie
cause	příčina, důvod
chemistry	chemie
comparison	porovnání, srovnání
consequence	následek, důsledek
control	kontrola
discipline	disciplína, obor
discovery	objev, objevení
discovery	objev
event	událost
evidence	důkaz
example	příklad
fact	fakt
issue	problém
kernel	podstata, esence
method	metoda
model	model
phase	fáza, stupeň
procedure	procedura, pochod
production	produkce
program	program
project	projekt
range	dosah, rámec
research	výzkum, zkoumání
research	vyšetřování, šetření
science	věda
society	společnost
system	systém, soustava
technology	technologie
theory	teorie
trend	tendence, trend
trouble	problém, potíž
user	uživatel
army	armáda
base	základna
club	společnost, sdružení
company	společnost
contest	soutěž
country	země
court	soud
crime	trestný čin, zločin
culture	kultura
democracy	demokracie, republika
dominion	nadvláda
election	volby, volba
existence	existence, bytí
female	žena
government	vláda
history	historie
individual	jednotlivec
institution	instituce
king	král
male	muž, samec
member	člen
nation	národ
news	novina, zprávy
noise	hluk
order	příkaz, rozkaz
organization	organizace
pass	průkazka
passport	cestovní pas
peace	mír
people	lidé
police	policie
policy	politika
population	obyvatelstvo, populace
public	veřejnost, lid
punishment	trest
religion	víra
religion	náboženství
state	stát
title	titulek, nadpis
union	svaz, unie
war	válka
will	vůle
will	poslední vůle, závěť
award	vyznamenání
ball	míč
baseball	baseball
bike	jízdní kolo, kolo
championship	mistrovství, šampionát
competitor	rival, soupeř
cup	pohár
football	fotbal
game	hra
goal	gól
goal	cíl
gold	zlato
golf	golf
jump	skok
match	zápas
player	hráč
record	rekord
silver	stříbro
tennis	tenis
throw	vrh, hod
win	vítězství, výhra
bell	zvon, zvonek
button	tlačítko, knoflík
gun	zbraň, pistole
hammer	kladívko, kladivo
hook	háček, hák
key	klíč
lock	zámek
match	zápalka, sirka
nail	hřeb, hřebík
needle	jehlice, jehla
pump	čerpadlo, pumpa
rope	lano, provaz
scissors	nůžky
spring	pružina, péro
stamp	razítko
whip	bič
cloud	oblak, mrak
dew	rosa
fog	mlha
frost	jinovatka, námraza
rain	déšť
rainbow	duha
snow	sníh
storm	bouřka, bouře
thunder	hrom
wind	vítr