مِن (min)‎, preposition
بَصَر (baṣar)‎, noun
تَحْت (taḥt)‎, noun
دَار (dār)‎, noun
مُلْك (mulk)‎, noun
أَن (ʾan)‎, particle of interpretation
حَتَّىٰ (ḥattā)‎, inceptive particle
سَاعَة (sāʿa)‎, noun
مُّبِين (mmubīn)‎, adjective
أَبٌ (ʾabun)‎, noun
أُولِى‎, noun
إِيمَٰن (ʾīmān)‎, noun
رَّحْمَٰن (rraḥmān)‎, noun
صِرَٰط (ṣirāṭ)‎, noun
قَبْل (qabl)‎, time adverb
آخَر (ʾāḵar)‎, noun
أَمَّا (ʾammā)‎, explanation particle
صَدْر (ṣadr)‎, noun
قَدِير (qadīr)‎, noun
مُجْرِم (mujrim)‎, noun
مُشْرِك (mušrik)‎, noun
إِسْرَائِيل (ʾisrāʾīl)‎, proper noun
حَمْد (ḥamd)‎, noun
قَلِيل (qalīl)‎, noun
نُوح (nūḥ)‎, proper noun
نُور (nūr)‎, noun
جَزَآء (jazaʾāʾ)‎, noun
سَوْف (sawf)‎, Future particle
كَثِير (kaṯīr)‎, noun
بَحْر (baḥr)‎, noun
دُّنْيَا (ddunyā)‎, noun
سُبْحَٰن (subḥān)‎, noun
سَلَٰم (salām)‎, noun
شَرِيك (šarīk)‎, noun
شَهِيد (šahīd)‎, noun
لَوْلَآ (lawlaʾā)‎, exhortation particle
وَيْل (wayl)‎, noun
إِذْن (ʾiḏn)‎, noun
ٱسْم (sm)‎, noun
أَلَآ (ʾalaʾā)‎, inceptive particle
جَبَل (jabal)‎, noun
سَمِيع (samīʿ)‎, noun
حِسَاب (ḥisāb)‎, noun
ضَلَٰل (ḍalāl)‎, noun
عَزِيز (ʿazīz)‎, adjective
مُحْسِن (muḥsin)‎, noun
بَشَر (bašar)‎, noun
ذَنب‎, noun
سُلْطَٰن (sulṭān)‎, noun
عِند‎, noun
كُفْر (kufr)‎, noun
سَيِّـَٔات‎, noun
شَدِيد (šadīd)‎, adjective
إِثْم (ʾiṯm)‎, noun
أَحْسَن (ʾaḥsan)‎, noun
أَىّ (ʾāā)‎, interogative particle
لَوْلَآ (lawlaʾā)‎, conditional particle
مَتَٰع (matāʿ)‎, noun
أُمّ (ʾumm)‎, noun
فِتْنَة (fitna)‎, noun
مُّرْسَل (mmursal)‎, noun
مَرْيَم (maryam)‎, proper noun
مَّعْرُوف (mmaʿrūf)‎, noun
مَن (man)‎, interogative particle
مَّيِّت (mmayyit)‎, noun
نَصِير (naṣīr)‎, noun
ءَالَآء (ʾālaʾāʾ)‎, noun
أَعْلَم (ʾaʿlam)‎, noun
شَمْس (šams)‎, noun
فَرِيق (farīq)‎, noun
كَذِب (kaḏib)‎, noun
كَلَّا (kallā)‎, aversion particle
نَّعَم (nnaʿam)‎, noun
خَٰسِرِين (ḵāsirīn)‎, noun
زَكَوٰة (zakawā)‎, noun
عَٰقِبَة (ʿāqiba)‎, noun
كَبِير (kabīr)‎, adjective
بَصِير (baṣīr)‎, noun
حِين (ḥīn)‎, noun
كَٰذِب (kāḏib)‎, noun
حُكْم (ḥukm)‎, noun
خَيْر (ḵayr)‎, adjective
شَرّ (šarr)‎, noun
قُوَّة (quwwa)‎, noun
مَلَأ (malaʾ)‎, noun
جُند‎, noun
رَجُل (rajul)‎, noun
رِيح (rīḥ)‎, noun
عَرْش (ʿarš)‎, noun
عَهْد (ʿahd)‎, noun
غَفُور (ḡafūr)‎, adjective
كَأَنّ (kaʾann)‎, accusative particle
نَبَأ (nabaʾ)‎, noun
أَبَدًا (ʾabadan)‎, time adverb
أَشَدّ (ʾašadd)‎, noun
حَدِيث (ḥadīṯ)‎, noun
ذُرِّيَّة (ḏurriyya)‎, noun
رِجَال (rijāl)‎, noun
سِحْر (siḥr)‎, noun
كَرِيم (karīm)‎, adjective
كَلِمَة (kalima)‎, noun
مَسْجِد (masjid)‎, noun
مَصِير (maṣīr)‎, noun
مَّغْفِرَة (mmaḡfira)‎, noun
أَنَّىٰ (ʾannā)‎, interogative particle
بَاب (bāb)‎, noun
غَٰفِل (ḡāfil)‎, noun
قَلِيل (qalīl)‎, adjective
قَمَر (qamar)‎, noun
كَافِر (kāfir)‎, noun
لُوط (lūṭ)‎, proper noun
مُنَٰفِقُون (munāfiqūn)‎, noun
يُوسُف (yūsuf)‎, proper noun
آخَر (ʾāḵar)‎, adjective
أَجْمَعِين (ʾajmaʿīn)‎, noun
ٱمْرَأَت (mraʾat)‎, noun
بَٰطِل (bāṭil)‎, noun
ثَمُود (ṯamūd)‎, proper noun
جَحِيم (jaḥīm)‎, noun
خَوْف (ḵawf)‎, noun
سَوَآء (sawaʾāʾ)‎, noun
كَيْد (kayd)‎, noun
مَاذَا (māḏā)‎, interogative particle
ءَال (ʾāl)‎, noun
آدَم (ʾādam)‎, proper noun
بَأْس (baʾs)‎, noun
جُنَاح (junāḥ)‎, noun
حَسَنَة (ḥasana)‎, noun
عِيسَى (ʿīsā)‎, proper noun
فَوْق (fawq)‎, noun
لِسَان (lisān)‎, noun
مَّكَان (mmakān)‎, noun
مِّيثَٰق (mmīṯāq)‎, noun
أُنثَىٰ‎, noun
أَىّ (ʾāā)‎, noun
إِيَّا (ʾiyyā)‎, personal pronoun
طَعَام (ṭaʿām)‎, noun
ظَالِم (ẓālim)‎, adjective
عَاد (ʿād)‎, proper noun
فَاسِق (fāsiq)‎, noun
لِقَآء (liqaʾāʾ)‎, noun
مُسْلِم (muslim)‎, noun
وَٰحِد (wāḥid)‎, adjective
وَكِيل (wakīl)‎, noun
بَيْن (bayn)‎, noun
حَيّ (ḥayy)‎, noun
خَبِير (ḵabīr)‎, adjective
ذِكْرَىٰ (ḏikrā)‎, noun
شَهَٰدَة (šahāda)‎, noun
طَآئِفَة (ṭaʾāʾifa)‎, noun
فُلْك (fulk)‎, noun
قَرْن (qarn)‎, noun
مَا (mā)‎, conditional particle
مُّسْتَقِيم (mmustaqīm)‎, noun
ٱلَّذِى‎, conditional particle
إِمَّا (ʾimmā)‎, explanation particle
بَلَىٰ (balā)‎, answer particle
جِنّ (jinn)‎, noun
خَبِير (ḵabīr)‎, noun
دُعَآء (duʿaʾāʾ)‎, noun
سَٰحِر (sāḥir)‎, noun
سَبْع (sabʿ)‎, noun
سَمْع (samʿ)‎, noun
ظُلُمَٰت (ẓulumāt)‎, noun
مَأْوَىٰ (maʾwā)‎, noun
مِسْكِين (miskīn)‎, noun
نَصْر (naṣr)‎, noun
وَٰحِدَة (wāḥida)‎, noun
آخِر (ʾāḵir)‎, adjective
بَرّ (barr)‎, noun
رُوح (rūḥ)‎, noun
سَيِّئَة (sayyiʾa)‎, noun
شَهْر (šahr)‎, noun
طَيِّبَٰت (ṭayyibāt)‎, noun
ظَنّ (ẓann)‎, noun
كَثِير (kaṯīr)‎, adjective
مُفْسِد (mufsid)‎, noun
مُّكَذِّبِين (mmukaḏḏibīn)‎, noun
نَصِيب (naṣīb)‎, noun
يَتِيم (yatīm)‎, noun
بَصِير (baṣīr)‎, adjective
بَعِيد (baʿīd)‎, adjective
حِزْب (ḥizb)‎, noun
حَسَن (ḥasan)‎, adjective
حِكْمَة (ḥikma)‎, noun
شَدِيد (šadīd)‎, noun
ظُلْم (ẓulm)‎, noun
عِقَاب (ʿiqāb)‎, noun
غَنِىّ‎, noun
كَم (kam)‎, interogative particle
لَدَي (laday)‎, location adverb
هَٰرُون (hārūn)‎, proper noun
أَوَّل (ʾawwal)‎, adjective
زِينَة (zīna)‎, noun
شَاهِد (šāhid)‎, noun
شَجَرَة (šajara)‎, noun
صَابِر (ṣābir)‎, noun
ضُرّ (ḍurr)‎, noun
طَيْر (ṭayr)‎, noun
فَوْز (fawz)‎, noun
مَرَّة (marra)‎, noun
مُّعْرِضُون (mmuʿriḍūn)‎, noun
مَكْر (makr)‎, noun
إِذًا (ʾiḏan)‎, surprise particle
أُذُنٌ (ʾuḏunun)‎, noun
أَعْمَىٰ (ʾaʿmā)‎, noun
إِنس‎, noun
تَّوْرَىٰة (ttawrā)‎, proper noun
دَآبَّة (daʾābba)‎, noun
دُبُر (dubur)‎, noun
دَرَجَة (daraja)‎, noun
ذَا (ḏā)‎, noun
ذَكَر (ḏakar)‎, noun
رَأْس (raʾs)‎, noun
رَيْب (rayb)‎, noun
سَاجِد (sājid)‎, noun
عَٰلِم (ʿālim)‎, noun
مُنكَر‎, noun
مَوْلَىٰ (mawlā)‎, noun
مُّؤْمِنَٰت (mmuʾmināt)‎, noun
إِسْحَاق (ʾisḥāq)‎, proper noun
أَقْرَب (ʾaqrab)‎, noun
أَهْوَآء (ʾahwaʾāʾ)‎, noun
بَطْن (baṭn)‎, noun
بَنَات (banāt)‎, noun
تَأْوِيل (taʾwīl)‎, noun
تُرَاب (turāb)‎, noun
تَقْوَى (taqwā)‎, noun
حَرَام (ḥarām)‎, adjective
خَلْف (ḵalf)‎, noun
سُلَيْمَٰن (sulaymān)‎, proper noun
فَٰحِشَة (fāḥiša)‎, noun
قَآئِم (qaʾāʾim)‎, noun
لَّدُن (lladun)‎, noun
مُّهْتَدُون (mmuhtadūn)‎, noun
نَعِيم (naʿīm)‎, noun
أَظْلَم (ʾaẓlam)‎, noun
أَعْلَم (ʾaʿlam)‎, adjective
أَلْبَٰب (ʾalbāb)‎, noun
بَيِّنَة (bayyina)‎, adjective
ثَمَرَٰت (ṯamarāt)‎, noun
حَرَام (ḥarām)‎, noun
حَمِيد (ḥamīd)‎, adjective
حَيْث (ḥayṯ)‎, noun
دَاوُد (dāwud)‎, proper noun
سَعِير (saʿīr)‎, noun
سُنَّة (sunna)‎, noun
شَهِيد (šahīd)‎, adjective
عَظِيم (ʿaẓīm)‎, noun
فُؤَاد (fuʾād)‎, noun
فَوْق (fawq)‎, location adverb
قُرْبَىٰ (qurbā)‎, noun
لَو (law)‎, subordinating conjunction
مَرْجِع (marjiʿ)‎, noun
مُّسَمًّى (mmusamman)‎, noun
مِيزَان (mīzān)‎, noun
يَعْقُوب (yaʿqūb)‎, proper noun
بُشْرَىٰ (bušrā)‎, noun
بَلَٰغ (balāḡ)‎, noun
تَنزِيل‎, noun
رِجْل (rijl)‎, noun
شَكّ (šakk)‎, noun
صَبْر (ṣabr)‎, noun
ظَهْر (ẓahr)‎, noun
قَرِيب (qarīb)‎, adjective
قِسْط (qisṭ)‎, noun
كُلَّمَا (kullamā)‎, time adverb
مُصَدِّق (muṣaddiq)‎, noun
مِلَّة (milla)‎, noun
مُنذِر‎, noun
نَصْرَانِيّ (naṣrāniyy)‎, proper noun
ٱبْتِغَآء (btiḡaʾāʾ)‎, noun
أَثَر (ʾaṯar)‎, noun
أُخْت (ʾuḵt)‎, noun
إِذَا (ʾiḏā)‎, surprise particle
أَلْف (ʾalf)‎, noun
أَمِين (ʾamīn)‎, adjective
بَلَد (balad)‎, noun
حُدُود (ḥudūd)‎, noun
حَرَج (ḥaraj)‎, noun
حَمِيم (ḥamīm)‎, noun
خَاشِع (ḵāšiʿ)‎, noun
شَاكِر (šākir)‎, noun
صِدْق (ṣidq)‎, noun
ظِلّ (ẓill)‎, noun
عَدْل (ʿadl)‎, noun
غَضَب (ḡaḍab)‎, noun
قَادِر (qādir)‎, noun
كَلِمَٰت (kalimāt)‎, noun
لَعْنَة (laʿna)‎, noun
لَيْت (layt)‎, accusative particle
مُّسْتَقِيم (mmustaqīm)‎, adjective
مُسْلِم (muslim)‎, proper noun
مَقَام (maqām)‎, noun
وَالِد (wālid)‎, noun
ٱثْنَيْن (ṯnayn)‎, noun
إِذًا (ʾiḏan)‎, answer particle
أَكْبَر (ʾakbar)‎, noun
بَغْتَة (baḡta)‎, noun
ثَوَاب (ṯawāb)‎, noun
جَمْع (jamʿ)‎, noun
حَٰفِظ (ḥāfiẓ)‎, noun
حَرْث (ḥarṯ)‎, noun
حُسْن (ḥusn)‎, noun
حَكِيم (ḥakīm)‎, noun
حَوْل (ḥawl)‎, noun
حَيْث (ḥayṯ)‎, location adverb
رِضْوَٰن (riḍwān)‎, noun
شَفَٰعَة (šafāʿa)‎, noun
صَيْحَة (ṣayḥa)‎, noun
غَالِب (ḡālib)‎, noun
غُلَٰم (ḡulām)‎, noun
فَاسِق (fāsiq)‎, adjective
قِتَال (qitāl)‎, noun
مَا (mā)‎, supplemental particle
مَثْوًى (maṯwan)‎, noun
مَّرَض (mmaraḍ)‎, noun
مُفْلِحُون (mufliḥūn)‎, noun
مَلِك (malik)‎, noun
نَّجْم (nnajm)‎, noun
إِحْسَٰن (ʾiḥsān)‎, noun
أَرْحَام (ʾarḥām)‎, noun
إِسْمَاعِيل (ʾismāʿīl)‎, proper noun
أَصَمّ (ʾaṣamm)‎, noun
أَفْوَٰه (ʾafwāh)‎, noun
إِمَام (ʾimām)‎, noun
إِنجِيل‎, proper noun
أَيْن (ʾayn)‎, interogative particle
ثَلَٰثَة (ṯalāṯa)‎, noun
حَنِيف (ḥanīf)‎, noun
رَّحْمَٰن (rraḥmān)‎, adjective
طِين (ṭīn)‎, noun
عَٰمِل (ʿāmil)‎, noun
فَتْح (fatḥ)‎, noun
لَحْم (laḥm)‎, noun
مُسْرِف (musrif)‎, noun
مَسْكَن (maskan)‎, noun
مُعْجِز (muʿjiz)‎, noun
مَّوْعِد (mmawʿid)‎, noun
نُّطْفَة (nnuṭfa)‎, noun
وَرَآء (waraʾāʾ)‎, location adverb
وَرَآء (waraʾāʾ)‎, noun
وِزْر (wizr)‎, noun
إِبْلِيس (ʾiblīs)‎, proper noun
إِحْدَى (ʾiḥdā)‎, noun
أَكْبَر (ʾakbar)‎, adjective
أَمَّا (ʾammā)‎, conditional particle
بَرِىٓء‎, noun
بَغْي (baḡy)‎, noun
تَوَّاب (tawwāb)‎, noun
ثَمَن (ṯaman)‎, noun
حَسْب (ḥasb)‎, noun
حَلِيم (ḥalīm)‎, adjective
خَٰلِق (ḵāliq)‎, noun
خِزْى‎, noun
سِرّ (sirr)‎, noun
سِنِين (sinīn)‎, noun
شَرَاب (šarāb)‎, noun
شُعَيْب (šuʿayb)‎, proper noun
شِيعَة (šīʿa)‎, noun
ضَآلّ (ḍaʾāll)‎, noun
عَدْن (ʿadn)‎, proper noun
عِدَّة (ʿidda)‎, noun
عِزَّة (ʿizza)‎, noun
عِنَب (ʿinab)‎, noun
فَٰكِهَة (fākiha)‎, noun
فَسَاد (fasād)‎, noun
قَدَر (qadar)‎, noun
قَرِيب (qarīb)‎, noun
كَثِيرَة (kaṯīra)‎, adjective
مَجْنُون (majnūn)‎, noun
مُخْلِص (muḵliṣ)‎, noun
مَسِيح (masīḥ)‎, proper noun
مَشْرِق (mašriq)‎, noun
نَاصِر (nāṣir)‎, noun
نَجْوَىٰٓ‎, noun
نَخْل (naḵl)‎, noun
نَفْع (nafʿ)‎, noun
هُزُو (huzū)‎, noun
هَوَآء (hawaʾāʾ)‎, noun
أَدْنَىٰ (ʾadnā)‎, noun
أَعْرَاب (ʾaʿrāb)‎, noun
جَاهِل (jāhil)‎, noun
جِنَّة (jinna)‎, noun
حِجَارَة (ḥijāra)‎, noun
حُسْنَىٰ (ḥusnā)‎, noun
خَيْرَٰت (ḵayrāt)‎, noun
دَم (dam)‎, noun
رِجْس (rijs)‎, noun
رَوَٰسِى‎, noun
رَءُوف (raʾūf)‎, noun
زَرْع (zarʿ)‎, noun
سَعْي (saʿy)‎, noun
سُورَة (sūra)‎, noun
صَاحِب (ṣāḥib)‎, noun
صُّور (ṣṣūr)‎, noun
ضَرّ (ḍarr)‎, noun
طُور (ṭūr)‎, noun
عَابِد (ʿābid)‎, noun
عِجْل (ʿijl)‎, noun
عَرَبِيّ (ʿarabiyy)‎, adjective
عَصَا (ʿaṣā)‎, noun
فَقِير (faqīr)‎, noun
فِئَة (fiʾa)‎, noun
قَتْل (qatl)‎, noun
كَٰفِرُون (kāfirūn)‎, adjective
كَيْل (kayl)‎, noun
لِبَاس (libās)‎, noun
لَهْو (lahw)‎, noun
مِائَة‎, noun
مُّحْضَر (mmuḥḍar)‎, noun
مُّخْتَلِف (mmuḵtalif)‎, noun
مَدْيَن (madyan)‎, proper noun
مَدِينَة (madīna)‎, noun
مَّرِيض (mmarīḍ)‎, noun
مُسْتَقَرّ (mustaqarr)‎, noun
مُّصِيبَة (mmuṣība)‎, noun
مَغْرِب (maḡrib)‎, noun
وَٰلِدَي (wāliday)‎, noun
يَسِير (yasīr)‎, adjective
ءَامِنِين (ʾāminīn)‎, noun
آتِي (ʾātī)‎, noun
أَذًى (ʾaḏan)‎, noun
أَرْبَعَة (ʾarbaʿa)‎, noun
أَسَٰطِير (ʾasāṭīr)‎, noun
أَضَلّ (ʾaḍall)‎, noun
إِفْك (ʾifk)‎, noun
أَوْلَىٰ (ʾawlā)‎, noun
تِجَٰرَة (tijāra)‎, noun
تَذْكِرَة (taḏkira)‎, noun
جُلُود (julūd)‎, noun
حُبّ (ḥubb)‎, noun
حَجّ (ḥajj)‎, noun
خَبِيث (ḵabīṯ)‎, noun
خَلِيفَة (ḵalīfa)‎, noun
دُون (dūn)‎, location adverb
رِجْز (rijz)‎, noun
رَقَبَة (raqaba)‎, noun
سَبَب (sabab)‎, noun
سَحَاب (saḥāb)‎, noun
سَوْء (sawʾ)‎, noun
شَفِيع (šafīʿ)‎, noun
شَكُور (šakūr)‎, adjective
صَٰلِح (ṣāliḥ)‎, proper noun
صِيَام (ṣiyām)‎, noun
ضَرَّآء (ḍarraʾāʾ)‎, noun
ضَلَٰلَة (ḍalāla)‎, noun
طُغْيَٰن (ṭuḡyān)‎, noun
طَيِّبَة (ṭayyiba)‎, adjective
عَام (ʿām)‎, noun
عِبَادَت (ʿibādat)‎, noun
عُنُق (ʿunuq)‎, noun
عِوَج (ʿiwaj)‎, noun
غُرُور (ḡurūr)‎, noun
غِلّ (ḡill)‎, noun
فَاعِل (fāʿil)‎, noun
قَرَار (qarār)‎, noun
قَوِىّ‎, noun
لَغْو (laḡw)‎, noun
لَوْن (lawn)‎, noun
مُبَشِّر (mubaššir)‎, noun
مَّبْعُوثُون (mmabʿūṯūn)‎, noun
مَتَىٰ (matā)‎, interogative particle
مُحِيط (muḥīṭ)‎, noun
مَّعْلُوم (mmaʿlūm)‎, noun
مَّوْعِظَة (mmawʿiẓa)‎, noun
مَـَٔاب‎, noun
نَبَات (nabāt)‎, noun
وَٰحِدَة (wāḥida)‎, adjective
وَٰسِع (wāsiʿ)‎, noun
يَهُودِيّ (yahūdiyy)‎, proper noun
أَشُدّ (ʾašudd)‎, noun
بِرّ (birr)‎, noun
بُرْهَٰن (burhān)‎, noun
ثِيَاب (ṯiyāb)‎, noun
جَانِب (jānib)‎, noun
جَدِيد (jadīd)‎, adjective
جَنب‎, noun
خَزَآئِن (ḵazaʾāʾin)‎, noun
خَشْيَة (ḵašya)‎, noun
خَطِيٓـَٔة‎, noun
خِلَٰل (ḵilāl)‎, noun
ذَهَب (ḏahab)‎, noun
رَاكِع (rākiʿ)‎, noun
سَرِيع (sarīʿ)‎, noun
سَمِيع (samīʿ)‎, adjective
شِّمَال (ššimāl)‎, noun
شَيْطَٰن (šayṭān)‎, noun
صَاعِقَة (ṣāʿiqa)‎, noun
صُحُف (ṣuḥuf)‎, noun
صَدَقَٰت (ṣadaqāt)‎, noun
صَوْت (ṣawt)‎, noun
طَّٰغُوت (ṭṭāḡūt)‎, noun
طَيِّب (ṭayyib)‎, adjective
طَيِّب (ṭayyib)‎, noun
ظَٰهِر (ẓāhir)‎, noun
عُدْوَٰن (ʿudwān)‎, noun
عَشِىّ‎, noun
عَقِب (ʿaqib)‎, noun
عَلِيّ (ʿaliyy)‎, noun
غَلِيظ (ḡalīẓ)‎, adjective
فَرْج (farj)‎, noun
فَصْل (faṣl)‎, noun
قَانِت (qānit)‎, noun
قَدَم (qadam)‎, noun
قَرِين (qarīn)‎, noun
كَبِير (kabīr)‎, noun
لَٰكِن (lākin)‎, accusative particle
لَعِب (laʿib)‎, noun
مُتَّكِـِٔين‎, noun
مِثْقَال (miṯqāl)‎, noun
مُجْرِم (mujrim)‎, adjective
مُحْصَنَٰت (muḥṣanāt)‎, noun
مُخْلَص (muḵlaṣ)‎, adjective
مُدْبِر (mudbir)‎, noun
مُشْفِقُون (mušfiqūn)‎, noun
مُّقِيم (mmuqīm)‎, noun
مَنَٰفِع (manāfiʿ)‎, noun
مَّوَدَّة (mmawadda)‎, noun
مِيقَٰت (mīqāt)‎, noun
نُزُل (nuzul)‎, noun
هُنَالِك (hunālik)‎, time adverb
وَصِيَّة (waṣiyya)‎, noun
يَمّ (yamm)‎, noun
ـَٰٔن‎, time adverb
أَبْقَىٰٓ‎, noun
أَبَوَان (ʾabawān)‎, noun
ٱثْنَتَيْن (ṯnatayn)‎, noun
أَثِيم (ʾaṯīm)‎, adjective
ٱخْتِلَٰف (ḵtilāf)‎, noun
إِخْوَةٌ (ʾiḵwatun)‎, noun
إِصْلَٰح (ʾiṣlāḥ)‎, noun
أُكُل (ʾukul)‎, noun
أَهْدَىٰ (ʾahdā)‎, noun
بَشِير (bašīr)‎, noun
بَصِيرَة (baṣīra)‎, noun
بُعْد (buʿd)‎, noun
بُنْيَٰن (bunyān)‎, noun
بَيْع (bayʿ)‎, noun
تَبْدِيل (tabdīl)‎, noun
تَوْبَة (tawba)‎, noun
ثَلَٰث (ṯalāṯ)‎, noun
جَآنّ (jaʾānn)‎, noun
جَمِيل (jamīl)‎, adjective
جَنَاح (janāḥ)‎, noun
جَهْر (jahr)‎, noun
حَبّ (ḥabb)‎, noun
حَبْل (ḥabl)‎, noun
حِجَاب (ḥijāb)‎, noun
حُجَّة (ḥujja)‎, noun
حَسْرَة (ḥasra)‎, noun
حُسْنَىٰ (ḥusnā)‎, adjective
حَظّ (ḥaẓẓ)‎, noun
حَفِيظ (ḥafīẓ)‎, noun
حَمْل (ḥaml)‎, noun
