Esperanto	﻿English
juvelo	jewel
ringo	ring
pluus	shirt
ŝuo	shoe
jupo	skirt
ŝtrumpeto	sock
valizo	suitcase
kravato	tie
aktoro	actor
aktorino	actress
negocisto	businessman
spertulo	expert
generalo	general
ĵurnalisto	journalist
juĝisto	judge
estro	leader
ministro	minister
muzikisto	musician
fotografisto	photographer
piloto	pilot
policano	policeman
politikisto	politician
prezidento	president
profesiisto	professional
reprezentanto	representative
maristo	sailor
scienculo	scientist
sekretario	secretary
soldato	soldier
verkisto	writer
aerodromo	airport
banko	bank
ponto	bridge
domo	building
ĉefurbo	capital
kastelo	castle
eklezio	church
kino	cinema
metropolo	city
fabriko	factory
apartamento	flat
malsanulejo	hospital
hotelo	hotel
biblioteko	library
parko	park
prizono	prison
restoracio	restaurant
tee	road
lernejo	school
stacio	station
strato	street
konstruado	structure
metroo	subway
superbazaro	supermarket
teatro	theater
urbo	town
universitato	university
vilagxo	village
akcidento	accident
garbostako	boat
aŭtobuso	bus
aŭtomobilo	car
sinuo	curve
flugo	flight
vojagxo	journey
pasagxero	passenger
aeroplano	plane
ŝipo	ship
glito	skid
relo	track
trajno	train
aero	air
animala	animal
brancxo	branch
evoluo	evolution
farmbieno	farm
kampo	field
flamo	fire
floro	flower
arbaro	forest
herbo	grass
folio	leaf
vivo	life
fulmo	lightning
humideco	moisture
naturo	nature
planto	plant
radiko	root
sekso	sex
cielo	sky
dormado	sleep
odoro	smell
fumo	smoke
fonto	spring
tigo	stem
fluo	stream
arbo	tree
ondo	wave
vetero	weather
mondo	world
bordo	bank
strando	beach
fluo	current
direkto	direction
Tero	Earth
ida	east
alteco	height
monteto	hill
insulo	island
lago	lake
grundo	land
mapo	map
luno	Moon
nordo	north
ebenejo	plain
regiono	region
rivero	river
maro	sea
sudo	south
kosmo	space
astro	star
suno	sun
okcidento	west
acido	acid
kemiaĵo	chemical
element kemia elemento	chemical
karbo	coal
puru	dust
grundo	earth
graso	fat
vitro	glass
gluo	glue
glacio	ice
fero	iron
ledo	leather
likva	liquid
materio	matter
element metalo	metallic
nafta	oil
veneno	poison
polvo	powder
sablo	sand
silko	silk
sapo	soap
ŝtalo	steel
ligno	wood
lano	wool
saketo	bag
korbo	basket
botelo	bottle
kesteto	box
ladskatolo	can
taso	cup
tirkesto	drawer
koverto	envelope
glaso	glass
telero	plate
fotoaparato	camera
phone portebla telefoneto	cellular
horlogxo	clock
komputero	computer
lifto	elevator
motoro	engine
instrumento	instrument
aparato	machine
kuirforno	oven
horloĝo	watch
adicio	addition
angulo	angle
spaco	area
centro	center
rondo	circle
kurbo	curve
grado	degree
tase	degree
diferenco	difference
distanco	distance
divido	division
eĝo	edge
elemento	element
funkcio	function
duono	half
limito	limit
streko	line
reto	net
ordo	order
eksterajxo	outside
elcento	percent
punkto	point
funkcio	purpose
rezulto	result
radiko	root
regulo	rule
kompleto	set
latero	side
kvadrato	square
kvadrato	square
substituo	substitution
surfaco	surface
sumo	total
povo	ability
tegu	act
faro	action
ago	activity
aldono	addition
nombro	amount
atako	attack
peno	attempt
konduto	behavior
peco	bit
frapo	blow
distro	break
okazo	chance
ŝanĝo	change
elekto	choice
kondiĉo	condition
fendeto	crack
damagxo	damage
danĝero	danger
dekoro	decoration
defendo	defense
detruo	destruction
detalo	detail
guto	drop
devo	duty
peno	effort
falo	fall
atributo	feature
batalado	fight
antauxajxo	front
bato	hit
truo	hole
kresko	increase
pliigo	increase
interreto	internet
piedbato	kick
speco	kind
nodo	knot
listo	list
plejparto	majority
aĵo	matter
menso	mind
funkciado	operation
malo	opposite
eksplodo	outburst
parto	part
parto	part
personeco	personality
peco	piece
loko	place
pozicio	position
povo	power
praktika	practice
tasko	project
kvalito	quality
sereneco	quiet
atingodistanco	reach
raporto	report
respondeco	responsibility
ripozo	rest
ascendo	rise
risko	risk
kompleto	set
kvieteco	silence
situacio	situation
peco	slice
stato	state
pasxo	step
halto	stop
gusto	taste
ajxo	thing
supro	top
tusxo	touch
ravi	treatment
ruzo	trick
speco	type
uzo	use
tutajxo	whole
volo	will
deziro	wish
posttagmezo	afternoon
aĝo	age
aprilo	April
augusto	August
aŭtuno	autumn
komenco	beginning
jarcento	century
dato	date
tago	day
decembro	December
fino	end
vespero	evening
februaro	February
vendredo	Friday
estonteco	future
horo	hour
januaro	January
julio	July
junio	June
majo	May
noktomezo	midnight
minuto	minute
minuto	moment
momento	moment
lundo	Monday
monato	month
mateno	morning
nokto	night
novembro	November
nun	now
oktobro	October
pasinteco	past
paŭzo	pause
epoko	period
estanteco	present
sabato	Saturday
sezono	season
sekundo	second
septembro	September
printempo	spring
somero	summer
dimancxo	Sunday
jxauxdo	Thursday
mardo	Tuesday
merkredo	Wednesday
semajno	week
semajnfino	weekend
vintro	winter
jaro	year
arto	art
artisto	artist
broso	brush
koloroj	color
koncerto	concert
diverseco	diversity
distraĵo	entertainment
imago	image
inko	ink
maniero	manner
filmo	movie
muzeo	museum
muziko	music
muziknoto	note
orkestro	orchestra
farbo	paint
pentraĵo	painting
papero	paper
plumo	pen
krajono	pencil
bildo	picture
poemo	poem
poezio	poetry
ritmo	rhythm
formo	shape
kantisto	singer
kanzono	song
lava	stage
stilo	style
modo	vogue
konto	account
avantagxo	advantage
reklamo	advertisement
konsilo	advice
interkonsento	agreement
atento	attention
aŭtoritato	authority
monbileto	banknote
kapitalo	capital
cxeko	cheque
komisiono	committee
firma	company
konkurenco	competition
akuzo	complaint
kontrakto	contract
kopio	copy
kosto	cost
koncilio	council
kursus	course
kliento	customer
bezono	demand
sekcio	department
malfacileco	difficulty
direktoro	director
ekonomio	economy
medio	environment
sperto	experience
firma	firm
formularo	form
grupo	group
helpo	help
enspezo	income
industrio	industry
asekuro	insurance
interezo	interest
fakturo	invoice
tasko	job
leĝo	law
forpermeso	leave
perdo	loss
kondukado	management
marko	mark
bazaro	market
materialo	material
meznombro	mean
renkontigxo	meeting
mono	money
okupo	occupation
oferto	offer
oficejo	office
oficisto	officer
operacio	operation
posedanto	owner
pakaĵo	package
pago	payment
plano	plan
kosto	price
problemo	problem
produkto	product
profito	profit
havo	property
tase	rate
resto	rest
rekompenco	reward
juro	right
vendo	sale
divizio	section
sekcio	section
servado	service
akcio	share
vendejo	shop
lerteco	skill
bastono	staff
strukturo	structure
sukceso	success
apogo	support
tabelo	table
maks	tax
teamo	team
komerco	trade
valoro	value
laboro	work
laboristo	worker
proklamo	announcement
vastus	answer
aprobo	approval
argumento	argument
libro	book
karaktro	character
disputo	controversy
voko	cry
datumoj	data
decido	decision
leksikon	dictionary
diskuto	discussion
dubo	doubt
sento	feeling
humoro	humor
penso	idea
informo	information
intereso	interest
intervjuo	interview
lingvo	language
natura lingvo	language
litero	letter
litero	letter
vale	lie
rigardo	look
revuo	magazine
post	mail
memoro	memory
memoro	memory
eraro	mistake
nomo	name
ĵurnalo	newspaper
noto	note
nombro	number
opinio	opinion
paĝo	page
prononco	pronunciation
propono	proposal
protesto	protest
demando	question
reago	reaction
tero	reason
rilato	relation
peto	request
sekreta	secret
frazo	sentence
parolado	speech
ortografio	spelling
tase	standard
aserto	statement
subjekto	subject
propono	suggestion
vocxo	voice
vorto	word
skribo	writing
day bonan tagon	good
luck bonan ŝancon	good
are you kiel vi fartas?	how
thanks koran dankon	many
ne	no
you very much dankegon, mi dankegas	thank
jes	yes
Gb	Britain
Republic Ĉeĥio	Czech
Francio	France
Germanio	Germany
Hindio	India
Italio	Italy
Japanio	Japan
Hispanujo	Spain
States of America Usono	United
klaso	class
edukado	education
instruado	education
ekzameno	examination
noto	grade
scio	knowledge
lernanto	student
instruistino	teacher
trejnado	training
timo	fear
malamo	hate
armas	love
plezuro	pleasure
ŝoko	shock
flegado	care
malvarmumo	cold
tuso	cough
malsano	disease
kuracisto	doctor
sano	health
monatajxo	menstruation
flegistino	nurse
doloro	pain
paciento	patient
suturero	stitch
tera	blade
karto	card
ĉeno	chain
klabo	club
kovrilo	cover
plumo	feather
flago	flag
framo	frame
anso	handle
menuo	menu
boltingo	nut
pinglo	pin
tubaro	pipe
afranko	postage
donaco	present
puri	sail
kera	scroll
spermo	seed
bastono	stick
ŝtono	stone
bileto	ticket
rado	wheel
drato	wire
ekvilibro	balance
sxargajxo	charge
energia	energy
lumo	light
maso	mass
mezurado	measurement
spegulo	mirror
movado	movement
premo	pressure
grandeco	size
sono	sound
vaporo	steam
forto	strength
tempo	time
unito	unit
pezo	weight
amisto	boyfriend
rendevuo	date
gasto	guest
kiso	kiss
festo	party
sekso	sex
rideto	smile
surprizo	surprise
vizito	visit
alternativo	alternative
biologio	biology
kauxzo	cause
kemio	chemistry
komparo	comparison
konsekvenco	consequence
disciplino	discipline
evento	event
ekzemplo	example
fakto	fact
esenco	kernel
metodo	method
modelo	model
fazo	phase
procedo	procedure
produktado	production
kava	program
projekto	project
amplekso	range
esploro	research
esplorado	research
scienco	science
socio	society
sistemo	system
teknologio	technology
teorio	theory
tendenco	trend
mure	trouble
uzanto	user
armee	army
bazo	base
gildo	club
grupo	company
konkurado	contest
lando	country
tribunalo	court
krimo	crime
kulturo	culture
respubliko	democracy
elekto	election
ekzistado	existence
virino	female
regado	government
historio	history
individuo	individual
institucio	institution
regxo	king
masklo	male
membro	member
nacio	nation
bruo	noise
mendo	order
pasporto	passport
paco	peace
polico	police
politiko	policy
logxantaro	population
popolamaso	public
puno	punishment
fido	religion
religio	religion
ŝtato	state
titolo	title
unuiĝo	union
testamento	will
pilko	ball
basbalo	baseball
biciklo	bike
titolo	championship
konkuranto	competitor
pokalo	cup
piedpilko	football
golo	goal
celo	goal
oro	gold
golfo	golf
salto	jump
matcxo	match
ludanto	player
rekordo	record
arĝento	silver
teniso	tennis
ĵeto	throw
sonorilo	bell
butono	button
pafilo	gun
martelo	hammer
krocxilo	hook
ŝlosilo	key
seruro	lock
alumeto	match
najlo	nail
kudrilo	needle
pumpilo	pump
ŝnuro	rope
tondilo	scissors
risorto	spring
stampilo	stamp
vipo	whip
nubo	cloud
kaste	dew
nebulo	fog
prujno	frost
ĉielarko	rainbow
lumi	snow
sxtormo	storm
tondro	thunder
