English	Esperanto
furniture	mebloj
shelf	bretaro
sink	lavkuvo
table	tablo
bag	mansaketo
boot	boto
cloth	lina
clothing	vestoj
coat	palto
collar	kolumo
hat	ĉapelo
jacket	jako
jewel	juvelo
ring	ringo
shirt	pluus
shoe	ŝuo
skirt	jupo
sock	ŝtrumpeto
suitcase	valizo
tie	kravato
actor	aktoro
actress	aktorino
businessman	negocisto
expert	spertulo
general	generalo
journalist	ĵurnalisto
judge	juĝisto
leader	estro
minister	ministro
musician	muzikisto
photographer	fotografisto
pilot	piloto
policeman	policano
politician	politikisto
president	prezidento
professional	profesiisto
representative	reprezentanto
sailor	maristo
scientist	scienculo
secretary	sekretario
soldier	soldato
writer	verkisto
airport	aerodromo
bank	banko
bridge	ponto
building	domo
capital	ĉefurbo
castle	kastelo
church	eklezio
cinema	kino
city	metropolo
factory	fabriko
flat	apartamento
hospital	malsanulejo
hotel	hotelo
library	biblioteko
park	parko
prison	prizono
restaurant	restoracio
road	tee
school	lernejo
station	stacio
street	strato
structure	konstruado
subway	metroo
supermarket	superbazaro
theater	teatro
town	urbo
university	universitato
village	vilagxo
accident	akcidento
boat	garbostako
bus	aŭtobuso
car	aŭtomobilo
curve	sinuo
flight	flugo
journey	vojagxo
passenger	pasagxero
plane	aeroplano
ship	ŝipo
skid	glito
track	relo
train	trajno
air	aero
animal	animala
branch	brancxo
evolution	evoluo
farm	farmbieno
field	kampo
fire	flamo
flower	floro
forest	arbaro
grass	herbo
leaf	folio
life	vivo
lightning	fulmo
moisture	humideco
nature	naturo
plant	planto
root	radiko
sex	sekso
sky	cielo
sleep	dormado
smell	odoro
smoke	fumo
spring	fonto
stem	tigo
stream	fluo
tree	arbo
wave	ondo
weather	vetero
world	mondo
bank	bordo
beach	strando
current	fluo
direction	direkto
Earth	Tero
east	ida
height	alteco
hill	monteto
island	insulo
lake	lago
land	grundo
map	mapo
Moon	luno
north	nordo
plain	ebenejo
region	regiono
river	rivero
sea	maro
south	sudo
space	kosmo
star	astro
sun	suno
west	okcidento
acid	acido
chemical	kemiaĵo
chemical element	kemia elemento
coal	karbo
dust	puru
earth	grundo
fat	graso
glass	vitro
glue	gluo
ice	glacio
iron	fero
leather	ledo
liquid	likva
matter	materio
metallic element	metalo
oil	nafta
poison	veneno
powder	polvo
sand	sablo
silk	silko
soap	sapo
steel	ŝtalo
wood	ligno
wool	lano
bag	saketo
basket	korbo
bottle	botelo
box	kesteto
can	ladskatolo
cup	taso
drawer	tirkesto
envelope	koverto
glass	glaso
plate	telero
camera	fotoaparato
cellular phone	portebla telefoneto
clock	horlogxo
computer	komputero
elevator	lifto
engine	motoro
instrument	instrumento
machine	aparato
oven	kuirforno
watch	horloĝo
addition	adicio
angle	angulo
area	spaco
center	centro
circle	rondo
curve	kurbo
degree	grado
degree	tase
difference	diferenco
distance	distanco
division	divido
edge	eĝo
element	elemento
function	funkcio
half	duono
limit	limito
line	streko
net	reto
order	ordo
outside	eksterajxo
percent	elcento
point	punkto
purpose	funkcio
result	rezulto
root	radiko
rule	regulo
set	kompleto
side	latero
square	kvadrato
square	kvadrato
substitution	substituo
surface	surfaco
total	sumo
ability	povo
act	tegu
action	faro
activity	ago
addition	aldono
amount	nombro
attack	atako
attempt	peno
behavior	konduto
bit	peco
blow	frapo
break	distro
chance	okazo
change	ŝanĝo
choice	elekto
condition	kondiĉo
crack	fendeto
damage	damagxo
danger	danĝero
decoration	dekoro
defense	defendo
destruction	detruo
detail	detalo
drop	guto
duty	devo
effort	peno
fall	falo
feature	atributo
fight	batalado
front	antauxajxo
hit	bato
hole	truo
increase	kresko
increase	pliigo
internet	interreto
kick	piedbato
kind	speco
knot	nodo
list	listo
majority	plejparto
matter	aĵo
mind	menso
operation	funkciado
opposite	malo
outburst	eksplodo
part	parto
part	parto
personality	personeco
piece	peco
place	loko
position	pozicio
power	povo
practice	praktika
project	tasko
quality	kvalito
quiet	sereneco
reach	atingodistanco
report	raporto
responsibility	respondeco
rest	ripozo
rise	ascendo
risk	risko
set	kompleto
silence	kvieteco
situation	situacio
slice	peco
state	stato
step	pasxo
stop	halto
taste	gusto
thing	ajxo
top	supro
touch	tusxo
treatment	ravi
trick	ruzo
type	speco
use	uzo
whole	tutajxo
will	volo
wish	deziro
afternoon	posttagmezo
age	aĝo
April	aprilo
August	augusto
autumn	aŭtuno
beginning	komenco
century	jarcento
date	dato
day	tago
December	decembro
end	fino
evening	vespero
February	februaro
Friday	vendredo
future	estonteco
hour	horo
January	januaro
July	julio
June	junio
May	majo
midnight	noktomezo
minute	minuto
moment	minuto
moment	momento
Monday	lundo
month	monato
morning	mateno
night	nokto
November	novembro
now	nun
October	oktobro
past	pasinteco
pause	paŭzo
period	epoko
present	estanteco
Saturday	sabato
season	sezono
second	sekundo
September	septembro
spring	printempo
summer	somero
Sunday	dimancxo
Thursday	jxauxdo
Tuesday	mardo
Wednesday	merkredo
week	semajno
weekend	semajnfino
winter	vintro
year	jaro
art	arto
artist	artisto
brush	broso
color	koloroj
concert	koncerto
diversity	diverseco
entertainment	distraĵo
image	imago
ink	inko
manner	maniero
movie	filmo
museum	muzeo
music	muziko
note	muziknoto
orchestra	orkestro
paint	farbo
painting	pentraĵo
paper	papero
pen	plumo
pencil	krajono
picture	bildo
poem	poemo
poetry	poezio
rhythm	ritmo
shape	formo
singer	kantisto
song	kanzono
stage	lava
style	stilo
vogue	modo
account	konto
advantage	avantagxo
advertisement	reklamo
advice	konsilo
agreement	interkonsento
attention	atento
authority	aŭtoritato
banknote	monbileto
capital	kapitalo
cheque	cxeko
committee	komisiono
company	firma
competition	konkurenco
complaint	akuzo
contract	kontrakto
copy	kopio
cost	kosto
council	koncilio
course	kursus
customer	kliento
demand	bezono
department	sekcio
difficulty	malfacileco
director	direktoro
economy	ekonomio
environment	medio
experience	sperto
firm	firma
form	formularo
group	grupo
help	helpo
income	enspezo
industry	industrio
insurance	asekuro
interest	interezo
invoice	fakturo
job	tasko
law	leĝo
leave	forpermeso
loss	perdo
management	kondukado
mark	marko
market	bazaro
material	materialo
mean	meznombro
meeting	renkontigxo
money	mono
occupation	okupo
offer	oferto
office	oficejo
officer	oficisto
operation	operacio
owner	posedanto
package	pakaĵo
payment	pago
plan	plano
price	kosto
problem	problemo
product	produkto
profit	profito
property	havo
rate	tase
rest	resto
reward	rekompenco
right	juro
sale	vendo
section	divizio
section	sekcio
service	servado
share	akcio
shop	vendejo
skill	lerteco
staff	bastono
structure	strukturo
success	sukceso
support	apogo
table	tabelo
tax	maks
team	teamo
trade	komerco
value	valoro
work	laboro
worker	laboristo
announcement	proklamo
answer	vastus
approval	aprobo
argument	argumento
book	libro
character	karaktro
controversy	disputo
cry	voko
data	datumoj
decision	decido
dictionary	leksikon
discussion	diskuto
doubt	dubo
feeling	sento
humor	humoro
idea	penso
information	informo
interest	intereso
interview	intervjuo
language	lingvo
language	natura lingvo
letter	litero
letter	litero
lie	vale
look	rigardo
magazine	revuo
mail	post
memory	memoro
memory	memoro
mistake	eraro
name	nomo
newspaper	ĵurnalo
note	noto
number	nombro
opinion	opinio
page	paĝo
pronunciation	prononco
proposal	propono
protest	protesto
question	demando
reaction	reago
reason	tero
relation	rilato
request	peto
secret	sekreta
sentence	frazo
speech	parolado
spelling	ortografio
standard	tase
statement	aserto
subject	subjekto
suggestion	propono
voice	vocxo
word	vorto
writing	skribo
good day	bonan tagon
good luck	bonan ŝancon
how are you	kiel vi fartas?
many thanks	koran dankon
no	ne
thank you very much	dankegon, mi dankegas
yes	jes
Britain	Gb
Czech Republic	Ĉeĥio
France	Francio
Germany	Germanio
India	Hindio
Italy	Italio
Japan	Japanio
Spain	Hispanujo
United States of America	Usono
class	klaso
education	edukado
education	instruado
examination	ekzameno
grade	noto
knowledge	scio
student	lernanto
teacher	instruistino
training	trejnado
fear	timo
hate	malamo
love	armas
pleasure	plezuro
shock	ŝoko
care	flegado
cold	malvarmumo
cough	tuso
disease	malsano
doctor	kuracisto
health	sano
menstruation	monatajxo
nurse	flegistino
pain	doloro
patient	paciento
stitch	suturero
blade	tera
card	karto
chain	ĉeno
club	klabo
cover	kovrilo
feather	plumo
flag	flago
frame	framo
handle	anso
menu	menuo
nut	boltingo
pin	pinglo
pipe	tubaro
postage	afranko
present	donaco
sail	puri
scroll	kera
seed	spermo
stick	bastono
stone	ŝtono
ticket	bileto
wheel	rado
wire	drato
balance	ekvilibro
charge	sxargajxo
energy	energia
light	lumo
mass	maso
measurement	mezurado
mirror	spegulo
movement	movado
pressure	premo
size	grandeco
sound	sono
steam	vaporo
strength	forto
time	tempo
unit	unito
weight	pezo
boyfriend	amisto
date	rendevuo
guest	gasto
kiss	kiso
party	festo
sex	sekso
smile	rideto
surprise	surprizo
visit	vizito
alternative	alternativo
biology	biologio
cause	kauxzo
chemistry	kemio
comparison	komparo
consequence	konsekvenco
discipline	disciplino
event	evento
example	ekzemplo
fact	fakto
kernel	esenco
method	metodo
model	modelo
phase	fazo
procedure	procedo
production	produktado
program	kava
project	projekto
range	amplekso
research	esploro
research	esplorado
science	scienco
society	socio
system	sistemo
technology	teknologio
theory	teorio
trend	tendenco
trouble	mure
user	uzanto
army	armee
base	bazo
club	gildo
company	grupo
contest	konkurado
country	lando
court	tribunalo
crime	krimo
culture	kulturo
democracy	respubliko
election	elekto
existence	ekzistado
female	virino
government	regado
history	historio
individual	individuo
institution	institucio
king	regxo
male	masklo
member	membro
nation	nacio
noise	bruo
order	mendo
passport	pasporto
peace	paco
police	polico
policy	politiko
population	logxantaro
public	popolamaso
punishment	puno
religion	fido
religion	religio
state	ŝtato
title	titolo
union	unuiĝo
will	testamento
ball	pilko
baseball	basbalo
bike	biciklo
championship	titolo
competitor	konkuranto
cup	pokalo
football	piedpilko
goal	golo
goal	celo
gold	oro
golf	golfo
jump	salto
match	matcxo
player	ludanto
record	rekordo
silver	arĝento
tennis	teniso
throw	ĵeto
bell	sonorilo
button	butono
gun	pafilo
hammer	martelo
hook	krocxilo
key	ŝlosilo
lock	seruro
match	alumeto
nail	najlo
needle	kudrilo
pump	pumpilo
rope	ŝnuro
scissors	tondilo
spring	risorto
stamp	stampilo
whip	vipo
cloud	nubo
dew	kaste
fog	nebulo
frost	prujno
rainbow	ĉielarko
snow	lumi
storm	sxtormo
thunder	tondro
wind	vento