Lithuanian	﻿English
aktorius	actor
komersantas	businessman
ekspertas	expert
generolas	general
žurnalistas	journalist
teisėjas	judge
vadovas	leader
ministras	minister
muzikas	musician
fotografas	photographer
pilotas	pilot
policininkas	policeman
politikas	politician
prezidentas	president
profesionalas	professional
įgaliotinis	representative
jūrininkas	sailor
mokslininkas	scientist
sekretorius	secretary
tarnas	servant
kareivis	soldier
rašytojas	writer
krantas	bank
paplūdimys	beach
srovė	current
kryptis	direction
Žemė	Earth
rytai	east
kalva	hill
sala	island
ežeras	lake
sausuma	land
žemėlapis	map
mėnulis	Moon
šiaurė	north
lyguma	plain
regionas	region
upė	river
jūra	sea
pietūs	south
erdvė	space
žvaigždė	star
saulė	sun
vakarai	west
debesis	cloud
rasa	dew
rūkas	fog
šerkšnas	frost
lietus	rain
vaivorykštė	rainbow
sniegas	snow
audra	storm
griaustinis	thunder
vėjas	wind
rūgštis	acid
cheminė medžiaga	chemical
element elementas	chemical
anglis	coal
dulkės	dust
žemė	earth
riebalai	fat
stiklas	glass
klijai	glue
ledas	ice
geležis	iron
oda	leather
skystis	liquid
materija	matter
element metalas	metallic
nafta	oil
nuodas	poison
milteliai	powder
smėlis	sand
šilkas	silk
muilas	soap
plienas	steel
medis	wood
vilna	wool
krepšys	bag
krepšys	basket
butelis	bottle
dėžė	box
skardinė	can
puodelis	cup
stalčius	drawer
vokas	envelope
stiklinė	glass
lėkštė	plate
varpas	bell
saga	button
šautuvas	gun
plaktukas	hammer
kablys	hook
raktas	key
spyna	lock
degtukas	match
vinis	nail
adata	needle
siurblys	pump
virvė	rope
žirklės	scissors
spyruoklė	spring
antspaudas	stamp
botagas	whip
sudėtis	addition
kampas	angle
plotas	area
apskritimas	circle
kreivė	curve
laipsnis	degree
lygis	degree
skirtumas	difference
atstumas	distance
kraštas	edge
elementas	element
funkcija	function
pusė	half
riba	limit
linija	line
tinklas	net
dalis	percent
taškas	point
tikslas	purpose
pasekmė	result
taisyklė	rule
aibė	set
pakraštys	side
kvadratas	square
kvadratas	square
paviršius	surface
suma	total
veiksmas	act
veiksmas	action
veikla	activity
priedas	addition
ataka	attack
bandymas	attempt
požiūris	attitude
užpakalis	back
elgesys	behavior
gabaliukas	bit
smūgis	blow
pertrauka	break
kampanija	campaign
atvejis	case
proga	chance
kaita	change
būklė	condition
jungtis	connection
įdauža	crack
žala	damage
pavojus	danger
mirtis	death
ornamentas	decoration
griuvėsiai	destruction
galia	dominance
lašas	drop
pareiga	duty
pastanga	effort
krituliai	fall
bruožas	feature
kova	fight
smūgis	hit
skylė	hole
internetas	internet
smūgis	jolt
spyris	kick
rūšis	kind
mazgas	knot
sąrašas	list
dauguma	majority
daiktas	matter
protas	mind
darbas	operation
priešingybė	opposite
protrūkis	outburst
dalis	part
dalis	part
dalis	piece
vieta	place
vieta	position
galia	power
praktika	practice
savybė	property
kokybė	quality
ataskaita	report
atsakomybė	responsibility
poilsis	rest
kilimas	rise
pavojus	risk
aikštė	seat
rinkinys	set
ramybė	silence
padėtis	situation
būklė	state
žingsnis	step
skonis	taste
daiktas	thing
viršūnė	top
elgesys	treatment
gudrybė	trick
rūšis	type
būdas	way
visuma	whole
valia	will
noras	wish
menas	art
menininkas	artist
orkestras	band
šepetys	brush
spalvos	color
koncertas	concert
įvairumas	diversity
pramoga	entertainment
įvaizdis	image
rašalas	ink
būdas	manner
filmas	movie
muziejus	museum
muzika	music
gaida	note
orkestras	orchestra
pigmentas	paint
paveikslas	painting
popierius	paper
plunksnakotis	pen
pieštukas	pencil
atvaizdas	picture
eilėraštis	poem
poezija	poetry
ritmas	rhythm
forma	shape
dainininkas	singer
daina	song
scena	stage
stilius	style
mada	vogue
sąskaita	account
privalumas	advantage
skelbimas	advertisement
sutartis	agreement
dėmesys	attention
įgaliojimas	authority
banknotas	banknote
sandėris	bargain
markė	brand
kapitalas	capital
čekis	cheque
komitetas	committee
bendrovė	company
rungtynės	competition
skundas	complaint
kontraktas	contract
kopija	copy
išlaidos	cost
taryba	council
paskaita	course
užsakovas	customer
poreikis	demand
skyrius	department
sunkumas	difficulty
direktorius	director
ūkis	economy
aplinka	environment
patirtis	experience
firma	firm
anketa	form
grupė	group
pagalba	help
atostogos	holiday
pajamos	income
pramonė	industry
draudimas	insurance
palūkanos	interest
sąskaita	invoice
darbas	job
įstatymas	law
atostogos	leave
netektis	loss
vadyba	management
žymeklis	mark
rinka	market
medžiaga	material
vidurkis	mean
susitikimas	meeting
pinigai	money
darbas	occupation
kabinetas	office
pareigūnas	officer
operacija	operation
savininkas	owner
paketas	package
įmoka	payment
planas	plan
kaina	price
problema	problem
produktas	product
pelnas	profit
nuosavybė	property
dydis	rate
likutis	rest
atlyginimas	reward
teisė	right
aukcionas	sale
skyrius	section
tarnyba, paslauga	service
akcija	share
parduotuvė	shop
gebėjimas	skill
personalas	staff
struktūra	structure
sėkmė	success
atrama	support
lentelė	table
mokestis	tax
būrys	team
prekyba	trade
vertė	value
darbas	work
darbininkas	worker
pranešimas	announcement
atsakymas	answer
argumentas	argument
knyga	book
skambutis	call
rašmuo	character
ginčas	controversy
šauksmas	cry
duomenys	data
sprendimas	decision
žodynas	dictionary
diskusija	discussion
abejonė	doubt
įvykis	experience
jautrumas	feeling
humoras	humor
nuomonė	idea
informacija	information
pomėgis	interest
interviu	interview
kalba	language
kalba	language
raidė	letter
laiškas	letter
melas	lie
žvilgsnis	look
žurnalas	magazine
paštas	mail
atmintis	memory
klaida	mistake
vardas	name
laikraštis	newspaper
pastaba	note
skaičius	number
nuomonė	opinion
puslapis	page
siūlymas	proposal
protestas	protest
klausimas	question
reakcija	reaction
prašymas	request
paslaptis	secret
sakinys	sentence
ženklas	sign
kalba	speech
rašyba	spelling
kriterijus	standard
pareiškimas	statement
tema	subject
teiginys	suggestion
balsas	voice
žodis	word
raštas	writing
day laba diena	good
labas	hello
are you kaip tau sekasi?	how
ne	no
taip	yes
GB	Britain
Kinija	China
Republic Čekijos Respublika	Czech
Prancūzijos Respublika	France
Vokietijos Federacinė Respublika	Germany
Indijos Respublika	India
Italija	Italy
Japonija	Japan
Ispanijos Karalystė	Spain
States of America Jungtinės Amerikos Valstijos	United
fotoaparatui	camera
phone mobilusis telefonas	cellular
laikrodis	clock
kompiuteris	computer
liftas	elevator
variklis	engine
įrankis	instrument
mašina	machine
krosnis	oven
televizorius	television
klasė	class
švietimas	education
edukologija	education
egzaminas	examination
pažymys	grade
žinios	knowledge
studentas	student
instruktorius	teacher
treniruotė	training
baimė	fear
neapykanta	hate
meilė	love
malonumas	pleasure
viltis	promise
šokas	shock
priežiūra	care
peršalimas	cold
kosulys	cough
liga	disease
daktaras	doctor
sveikata	health
menstruacija	menstruation
auklė	nurse
operacija	operation
skausmas	pain
pacientas	patient
dygsnis	stitch
ašmenys	blade
lenta	board
korta	card
grandinė	chain
lazda	club
plunksna	feather
vėliava	flag
rėmas	frame
rankena	handle
veržlė	nut
segtukas	pin
vamzdis	pipe
pašto ženklas	postage
dovana	present
burė	sail
vija	scroll
sėkla	seed
lazda	stick
akmuo	stone
bilietas	ticket
ratas	wheel
viela	wire
pusiausvyra	balance
daugybė	bulk
krūvis	charge
energija	energy
šviesa	light
masė	mass
veidrodis	mirror
judesys	movement
slėgis	pressure
procesas	process
dydis	size
garsas	sound
garas	steam
jėga	strength
laikas	time
vienetas	unit
svoris	weight
draugas	boyfriend
pasimatymas	date
svečias	guest
bučinys	kiss
šventė	party
šypsena	smile
nuostaba	surprise
vizitas	visit
alternatyva	alternative
biologija	biology
priežastis	cause
chemija	chemistry
pasekmė	consequence
kontrolė	control
disciplina	discipline
atradimas	discovery
įvykis	event
įrodymas	evidence
pavyzdys	example
faktas	fact
problema	issue
esmė	kernel
metodas	method
modelis	model
etapas	phase
procedūra	procedure
gamyba	production
programa	program
planas	project
apimtis	range
moksliniai tyrimai	research
mokslas	science
visuomenė	society
sistema	system
technologija	technology
teorija	theory
polinkis	trend
uždavinys	trouble
vartotojas	user
armija	army
bazė	base
klubas	club
draugija	company
varžybos	contest
šalis	country
teismas	court
nusikaltimas	crime
kultūra	culture
respublika	democracy
rinkimai	election
gyvenimas	existence
vyriausybė	government
istorija	history
individas	individual
institucija	institution
karalius	king
narys	member
šalis	nation
naujiena (f)	news
triukšmas	noise
organizacija	organization
leidimas	pass
pasas	passport
taika	peace
žmonės	people
policija	police
politika	policy
populiacija	population
bausmė	punishment
tikėjimas	religion
religija	religion
valstybė	state
pavadinimas	title
sąjunga	union
testamentas	will
pagerbimas	award
sviedinys	ball
beisbolas	baseball
dviratis	bike
čempionatas	championship
varžovas	competitor
taurė	cup
futbolas	football
žaidimas	game
įvartis	goal
tikslas	goal
áuksas	gold
golfas	golf
šuolis	jump
rungtynės	match
rekordas	record
sidabras	silver
tenisas	tennis
