Japanese	﻿English
element 金属 [kinzoku]	metallic
石油 [sekiyu]	oil
毒 [doku]	poison
粉 [kona]	powder
砂 [suna]	sand
絹 [kinu]	silk
石けん [setuken]	soap
鋼鉄 [koutetsu]	steel
木材 [mokuzai]	wood
ウール	wool
袋 [fukuro]	bag
かご [kago]	basket
びん [bin]	bottle
箱 [hako]	box
缶 [kan]	can
カップ [katupu]	cup
引き出し [hikidashi]	drawer
袋 [fukuro]	envelope
コップ [kotupu]	glass
皿 [sara]	plate
鐘 [kane]	bell
ボタン [botan]	button
銃 [jiyuu]	gun
槌 [tsuchi]	hammer
フック [futuku]	hook
かぎ [kagi]	key
錠 [jiyou]	lock
マッチ [matuchi]	match
くぎ [kugi]	nail
針 [hari]	needle
ポンプ [ponpu]	pump
なわ [nawa]	rope
はさみ [hasami]	scissors
ばね [bane]	spring
スタンプ [sutanpu]	stamp
むち [muchi]	whip
足し算 [tashizan]	addition
角度 [kakudo]	angle
面積 [menseki]	area
円 [maru]	circle
曲線 [kiyokusen]	curve
温度 [ondo]	degree
水準 [suijiyun]	degree
違い [chigai]	difference
距離 [kiyori]	distance
分割 [bunkatsu]	division
へり [heri]	edge
元素 [genso]	element
機能 [kinou]	function
半分 [hanpun]	half
限度 [gendo]	limit
線 [sen]	line
網 [mou]	net
外側 [sotogawa]	outside
割合 [wariai]	percent
点 [ten]	point
目的 [mokuteki]	purpose
結果 [ketuka]	result
規則 [kisoku]	rule
組 [kumi]	set
端 [tan]	side
正方形 [seihoukei]	square
自乗	square
交換 [koukan]	substitution
表面 [hiyoumen]	surface
量 [riyou]	total
能力 [nouriyoku]	ability
行い [okonai]	act
行動 [koudou]	action
活気 [katuki]	activity
アドオン [adoon]	addition
高 [taka]	amount
攻撃 [kougeki]	attack
企て [kuwadate]	attempt
態度 [taido]	attitude
うしろ [ushiro]	back
ふるまい [furumai]	behavior
小片 [shiyouhen]	bit
強打 [kiyouda]	blow
中断 [chiyuudan]	break
作戦 [sakusen]	campaign
事件 [jiken]	case
機会 [kikai]	chance
変化 [henka]	change
選択 [sentaku]	choice
状態 [jiyoutai]	condition
コネクタ [konekuta]	connection
ひび [hibi]	crack
裁ち方 [tachikata]	cut
損害 [songai]	damage
危険 [kiken]	danger
装飾 [soushiyoku]	decoration
防衛 [bouei]	defense
破壊 [hakai]	destruction
支配 [shihai]	dominance
しずく [shizuku]	drop
義務 [gimu]	duty
努力 [doriyoku]	effort
没落 [botsuraku]	fall
特徴 [tokuchiyou]	feature
戦闘 [sentou]	fight
前方 [zenpou]	front
打撃 [dageki]	hit
穴 [ketsu]	hole
成長 [seichiyou]	increase
増加 [zouka]	increase
インターネット	internet
震動 [shindou]	jolt
蹴り技	kick
種類 [shiyurui]	kind
結び目 [musubime]	knot
表 [omote]	list
大多数 [daitasuu]	majority
問題 [mondai]	matter
心 [shin]	mind
実施 [jitushi]	operation
逆 [giyaku]	opposite
突発 [totupatsu]	outburst
部分 [bubun]	part
部分 [bubun]	part
風格 [fuukaku]	personality
一個 [ituko]	piece
地点 [chiten]	place
場所 [bashiyo]	position
力 [riyoku]	power
実際 [jitusai]	practice
職務 [shiyokumu]	project
特性 [tokusei]	property
質 [tachi]	quality
平静 [heisei]	quiet
レポート	report
義務 [gimu]	responsibility
休息 [kiyuusoku]	rest
帰り [kaeri]	return
登り [nobori]	rise
危険 [kiken]	risk
場所 [bashiyo]	seat
ひとそろい [hitosoroi]	set
平穏 [heion]	silence
状況 [jiyoukiyou]	situation
一片 [itupen]	slice
状態 [jiyoutai]	state
足音 [ashioto]	step
休止 [kiyuushi]	stop
味覚 [mikaku]	taste
物 [mono]	thing
絶頂 [zetuchiyou]	top
接触 [setushiyoku]	touch
取扱い [toriatsukai]	treatment
震え [furue]	tremble
たくらみ [takurami]	trick
型 [kata]	type
使用 [shiyou]	use
やり方 [yarikata]	way
全体 [zentai]	whole
意志 [ishi]	will
必要物 [hitsuyoubutsu]	wish
美術 [bijiyutsu]	art
芸術家 [geijiyutsuka]	artist
楽団 [gakudan]	band
ブラシ [burashi]	brush
絵の具 [enogu]	color
音楽会 [ongatukai]	concert
デザイン [dezain]	design
多様性 [tayousei]	diversity
娯楽 [goraku]	entertainment
大当り [ooatari]	hit
イメージ	image
インク [inku]	ink
やり方 [yarikata]	manner
薄膜 [usumaku]	movie
博物館 [hakubutsukan]	museum
音楽 [ongaku]	music
音調 [onchiyou]	note
オーケストラ	orchestra
塗料 [toriyou]	paint
絵画 [kaiga]	painting
紙 [kami]	paper
ペン [pen]	pen
鉛筆 [enpitsu]	pencil
姿 [sugata]	picture
詩 [uta]	poem
詩 [uta]	poetry
拍子 [hiyoushi]	rhythm
フォーム	shape
歌手 [kashiyu]	singer
歌 [uta]	song
舞台 [butai]	stage
様式 [youshiki]	style
スタイル [sutairu]	vogue
勘定書 [kanjiyoushiyo]	account
利点 [riten]	advantage
広告 [koukoku]	advertisement
助言 [jiyogon]	advice
協定 [kiyoutei]	agreement
注意 [chiyuui]	attention
権限 [kengen]	authority
紙幣 [shihei]	banknote
契約 [keiyaku]	bargain
商標 [shiyouhiyou]	brand
企業 [kigiyou]	business
資本 [shihon]	capital
小銭 [kozeni]	change
小切手 [kogitute]	cheque
委員会 [iinkai]	committee
会社 [kaishiya]	company
競争相手 [kiyousouaite]	competition
告発 [kokuhatsu]	complaint
契約 [keiyaku]	contract
コピー	copy
費用 [hiyou]	cost
評議会 [hiyougikai]	council
授業 [jiyugiyou]	course
顧客 [kokiyaku]	customer
入り用 [iriyou]	demand
部署 [bushiyo]	department
困難 [konnan]	difficulty
経営者 [keieishiya]	director
経済 [keizai]	economy
環境 [kankiyou]	environment
経験 [keiken]	experience
商会 [shiyoukai]	firm
用紙 [youshi]	form
集団 [shiyuudan]	group
援助 [enjiyo]	help
休暇 [kiyuuka]	holiday
収入 [shiyuuniyuu]	income
産業 [sangiyou]	industry
保険 [hoken]	insurance
利息 [risoku]	interest
請求書 [seikiyuushiyo]	invoice
職 [shiyoku]	job
法 [hou]	law
休暇 [kiyuuka]	leave
損失 [sonshitsu]	loss
指導 [shidou]	management
標識 [hiyoushiki]	mark
販路 [hanro]	market
材料 [zairiyou]	material
中間 [chiyuukan]	mean
出会い [deai]	meeting
金銭 [kinsen]	money
職業 [shiyokugiyou]	occupation
申し出 [moushide]	offer
事務室 [jimushitsu]	office
役人 [yakunin]	officer
操作 [sousa]	operation
所有者 [shiyoyuushiya]	owner
小包 [kozutsumi]	package
お返し [okaeshi]	payment
案 [tsukue]	plan
代価 [daika]	price
問題 [mondai]	problem
生産物 [seisanbutsu]	product
利益 [riyaku]	profit
所有物 [shiyoyuubutsu]	property
相場 [souba]	rate
残り [nokori]	rest
報酬 [houshiyuu]	reward
権利 [kenri]	right
販売 [hanbai]	sale
区画 [kukaku]	section
部局 [bukiyoku]	section
サービス	service
株 [kabu]	share
店 [ten]	shop
熟練 [jiyukuren]	skill
職員 [shiyokuin]	staff
成功 [seikou]	success
支持 [shiji]	support
表 [omote]	table
税金 [zeikin]	tax
チーム	team
貿易 [boueki]	trade
価値 [kachi]	value
努力 [doriyoku]	work
労働者 [roudoushiya]	worker
発表 [hatupiyou]	announcement
答え [kotae]	answer
賛成 [sansei]	approval
論拠 [ronkiyo]	argument
書物 [shiyomotsu]	book
通話 [tsuuwa]	call
文字 [monji]	character
議論 [giron]	controversy
叫び [sakebi]	cry
資料 [shiriyou]	data
決定 [ketutei]	decision
辞書 [jishiyo]	dictionary
議論 [giron]	discussion
疑い [utagai]	doubt
体験 [taiken]	experience
感情 [kanjiyou]	feeling
ユーモア	humor
考え [kangae]	idea
案内 [annai]	information
興味 [kiyoumi]	interest
面接 [mensetsu]	interview
言語 [gongo]	language
舌 [shita]	language
文字 [monji]	letter
手紙 [tegami]	letter
嘘 [uso]	lie
一見 [ituken]	look
雑誌 [zatushi]	magazine
郵便 [yuubin]	mail
記憶力 [kiokuriyoku]	memory
思い出 [omoide]	memory
間違い [machigai]	mistake
名 [na]	name
新聞 [shinbun]	newspaper
注意書き [chiyuuigaki]	note
数 [suu]	number
意見 [iken]	opinion
ページ	page
発音 [hatsuon]	pronunciation
提案 [teian]	proposal
抗議 [kougi]	protest
質問 [shitsumon]	question
反応 [hannou]	reaction
理由 [riyuu]	reason
関係 [kankei]	relation
要望 [youbou]	request
秘密 [himitsu]	secret
文 [mon]	sentence
記号 [kigou]	sign
言語 [gongo]	speech
綴り [tsuzuri]	spelling
基準 [kijiyun]	standard
声明 [shiyoumiyou]	statement
主題 [shiyudai]	subject
提案 [teian]	suggestion
声 [koe]	voice
語 [katari]	word
書体 [shiyotai]	writing
day こんにちは [konnichiha]	good
luck 頑張って [ganbatute]	good
birthday 誕生日 [tanjiyoubi]	happy
今日は [konnichiha]	hello
are you お元気ですか [ogenkidesuka]	how
thanks どうもありがとう [doumoarigatou]	many
いいえ [iie]	no
すみません [sumimasen]	sorry
もう一回 [mouitukai]	sorry
you very much どうもありがとうございます [doumoarigatougozaimasu]	thank
はい [hai]	yes
welcome どういたしまして [douitashimashite]	you're
イギリス [igirisu]	Britain
中国 [chiyuugoku]	China
Republic チェコ共和国, チェコ	Czech
フランス共和国 [furansukiyouwakoku]	France
ドイツ連邦共和国 [doitsurenpoukiyouwakoku]	Germany
インド [indo]	India
イタリア [itaria]	Italy
日本, 日本国	Japan
スペイン [supein]	Spain
States of America アメリカ合衆国 [amerikagatushiyuukoku]	United
カメラ [kamera]	camera
カメラ [kamera]	camera
phone 携帯電話 [keitaidenwa]	cellular
時計 [tokihakari]	clock
コンピューター	computer
エレベーター	elevator
エンジン [enjin]	engine
器具 [kigu]	instrument
機械 [kikai]	machine
オーブン	oven
テレビ [terebi]	television
時計 [tokihakari]	watch
種類 [shiyurui]	class
薫陶 [kuntou]	education
教育 [kiyouiku]	education
教育 [kiyouiku]	education
試験 [shiken]	examination
成績 [seiseki]	grade
知識 [chishiki]	knowledge
学生 [gakusei]	student
教師 [kiyoushi]	teacher
養成 [yousei]	training
恐れ [osore]	fear
憎しみ [nikushimi]	hate
愛 [ai]	love
楽しみ [tanoshimi]	pleasure
期待 [kitai]	promise
驚愕 [kiyougaku]	shock
世話 [sewa]	care
かぜ [kaze]	cold
せき [seki]	cough
病気 [biyouki]	disease
医師 [ishi]	doctor
健康状態 [kenkoujiyoutai]	health
月経 [getukei]	menstruation
看護婦 [kangofu]	nurse
作業 [sagiyou]	operation
痛み [itami]	pain
患者 [kanjiya]	patient
縫い方 [nuikata]	stitch
刃 [yaiba]	blade
盤 [sara]	board
鎖 [kusari]	chain
棍棒 [konbou]	club
蓋 [gai]	cover
羽毛 [umou]	feather
旗 [hata]	flag
わく [waku]	frame
取っ手 [totute]	handle
献立 [kondate]	menu
ナット [natuto]	nut
ピン [pin]	pin
管 [kuda]	pipe
郵便料金 [yuubinriyoukin]	postage
贈り物 [okurimono]	present
帆 [ho]	sail
巻物 [makimono]	scroll
種 [tane]	seed
杖 [tsue]	stick
石 [koku]	stone
切符 [kitupu]	ticket
車輪 [shiyarin]	wheel
針金 [harigane]	wire
均衡 [kinkou]	balance
容積 [youseki]	bulk
充電 [jiyuuden]	charge
精力 [seiriyoku]	energy
光 [hikari]	light
かたまり [katamari]	mass
測定 [sokutei]	measurement
鏡 [kagami]	mirror
動き [ugoki]	movement
圧迫 [atupaku]	pressure
過程 [katei]	process
大きさ [ookisa]	size
音 [oto]	sound
蒸気 [jiyouki]	steam
力 [riyoku]	strength
時 [toki]	time
構成単位 [kouseitani]	unit
重さ [omosa]	weight
ボーイフレンド	boyfriend
デート	date
女友達 [onnatomodachi]	girlfriend
客 [kiyaku]	guest
キス [kisu]	kiss
パーティー	party
房事 [bouji]	sex
微笑 [bishiyou]	smile
驚き [odoroki]	surprise
訪問 [houmon]	visit
二者択一 [nishiyatakuitsu]	alternative
生物学 [seibutsugaku]	biology
原因 [genin]	cause
化学 [kagaku]	chemistry
比較 [hikaku]	comparison
結果 [ketuka]	consequence
抑制 [yokusei]	control
訓練 [kunren]	discipline
発見 [hatuken]	discovery
出来事 [dekigoto]	event
証拠 [shiyouko]	evidence
見本 [mihon]	example
事実 [jijitsu]	fact
問題 [mondai]	issue
本質 [honshitsu]	kernel
方法 [houhou]	method
型 [kata]	model
局面 [kiyokumen]	phase
手順 [tejiyun]	procedure
製造 [seizou]	production
プログラム [puroguramu]	program
企画 [kikaku]	project
範囲 [hani]	range
研究 [kenkiyuu]	research
調査 [chiyousa]	research
科学 [kagaku]	science
社会 [shiyakai]	society
組織 [soshiki]	system
科学技術 [kagakugijiyutsu]	technology
理論 [riron]	theory
傾向 [keikou]	trend
苦労 [kurou]	trouble
使用者 [shiyoushiya]	user
軍隊 [guntai]	army
主成分 [shiyuseibun]	base
クラブ [kurabu]	club
交わり [majiwari]	company
試合 [shiai]	contest
国 [kuni]	country
法廷 [houtei]	court
犯罪 [hanzai]	crime
文化 [bunka]	culture
共和制 [kiyouwasei]	democracy
統治 [touji]	dominion
選挙 [senkiyo]	election
存在 [sonzai]	existence
政府 [seifu]	government
来歴 [raireki]	history
個人 [kojin]	individual
施設 [shisetsu]	institution
王 [ou]	king
メンバー	member
国民 [kokumin]	nation
ニュース	news
騒音 [souon]	noise
命令 [meirei]	order
組織 [soshiki]	organization
旅券 [riyoken]	passport
平和 [heiwa]	peace
人々 [ninnin]	people
警察 [keisatsu]	police
方針 [houshin]	policy
人口 [jinkou]	population
大衆 [taishiyuu]	public
罰 [batsu]	punishment
信仰 [shinkou]	religion
信仰 [shinkou]	religion
国家 [kotuka]	state
表題 [hiyoudai]	title
連合 [rengou]	union
意志 [ishi]	will
遺言 [yuigon]	will
栄誉 [eiyo]	award
ボール	ball
野球 [yakiyuu]	baseball
自転車 [jitenshiya]	bike
選手権 [senshiyuken]	championship
競争者 [kiyousoushiya]	competitor
優勝杯 [yuushiyouhai]	cup
サッカー	football
遊戯 [yuugi]	game
ゴール	goal
目的地 [mokutekichi]	goal
金 [kogane]	gold
ゴルフ [gorufu]	golf
跳躍 [chiyouyaku]	jump
試合 [shiai]	match
選手 [senshiyu]	player
最高記録 [saikoukiroku]	record
銀 [shirogane]	silver
テニス [tenisu]	tennis
投げ [nage]	throw
