English	Japanese
town	町 [machi]
university	大学 [daigaku]
village	村 [mura]
accident	事故 [jiko]
boat	ボート
bus	バス [basu]
car	自動車 [jidoushiya]
curve	曲がり [magari]
express	急行列車 [kiyuukouretushiya]
flight	飛行 [hikou]
journey	旅行 [riyokou]
passenger	乗客 [jiyoukiyaku]
plane	飛行機 [hikouki]
ship	船 [fune]
track	レール
train	列車 [retushiya]
transport	運搬 [unpan]
actor	俳優 [haiyuu]
actress	女優 [jiyoyuu]
businessman	実業家 [jitsugiyouka]
expert	専門家 [senmonka]
general	将軍 [shiyougun]
journalist	ジャーナリスト
judge	裁判官 [saibankan]
leader	指揮者 [shikishiya]
minister	大臣 [daijin]
musician	音楽家 [ongatuka]
photographer	写真家 [shiyashinka]
pilot	パイロット [pairotuto]
policeman	警察官 [keisatsukan]
politician	政治家 [seijika]
president	大統領 [daitouriyou]
professional	プロ [puro]
representative	セールスマン
sailor	水夫 [suifu]
scientist	科学者 [kagakushiya]
secretary	秘書 [hishiyo]
servant	召使 [meshitsukai]
soldier	軍人 [gunjin]
writer	作家 [satuka]
bank	堤防 [teibou]
beach	浜 [hama]
current	流れ [nagare]
direction	方向 [houkou]
Earth	輿地 [yochi]
east	東 [hingashi]
height	高度 [koudo]
hill	丘 [tsukasa]
island	島 [tou]
lake	湖 [mizuumi]
land	陸地 [rikuchi]
map	地図 [chizu]
Moon	月 [tsuki]
north	北 [kita]
plain	平原 [heigen]
region	領域 [riyouiki]
river	川 [kawa]
sea	海 [wata]
south	南 [minami]
space	宇宙 [uchiyuu]
star	恒星 [kousei]
sun	太陽 [taiyou]
west	西 [sei]
cloud	雲 [kumo]
dew	露 [tsuyu]
fog	霧 [kiri]
frost	霜 [shimo]
rain	雨 [ame]
rainbow	虹 [niji]
snow	雪 [yuki]
storm	嵐 [arashi]
thunder	雷 [kaminari]
wind	風 [kaze]
acid	酸 [su]
chemical	化学薬品 [kagakuyakuhin]
chemical element	元素 [genso]
coal	石炭 [sekitan]
dust	ほこり [hokori]
earth	地球 [chikiyuu]
fat	脂肪 [shibou]
glass	ガラス [garasu]
glue	接着剤 [setuchiyakuzai]
grain	粒子 [riyuushi]
ice	氷 [koori]
iron	黒金 [kurogane]
leather	革 [tsukurikawa]
liquid	液体 [ekitai]
matter	物質 [butushitsu]
metallic element	金属 [kinzoku]
oil	石油 [sekiyu]
poison	毒 [doku]
powder	粉 [kona]
sand	砂 [suna]
silk	絹 [kinu]
soap	石けん [setuken]
steel	鋼鉄 [koutetsu]
wood	木材 [mokuzai]
wool	ウール
bag	袋 [fukuro]
basket	かご [kago]
bottle	びん [bin]
box	箱 [hako]
can	缶 [kan]
cup	カップ [katupu]
drawer	引き出し [hikidashi]
envelope	袋 [fukuro]
glass	コップ [kotupu]
plate	皿 [sara]
bell	鐘 [kane]
button	ボタン [botan]
gun	銃 [jiyuu]
hammer	槌 [tsuchi]
hook	フック [futuku]
key	かぎ [kagi]
lock	錠 [jiyou]
match	マッチ [matuchi]
nail	くぎ [kugi]
needle	針 [hari]
pump	ポンプ [ponpu]
rope	なわ [nawa]
scissors	はさみ [hasami]
spring	ばね [bane]
stamp	スタンプ [sutanpu]
whip	むち [muchi]
addition	足し算 [tashizan]
angle	角度 [kakudo]
area	面積 [menseki]
circle	円 [maru]
curve	曲線 [kiyokusen]
degree	温度 [ondo]
degree	水準 [suijiyun]
difference	違い [chigai]
distance	距離 [kiyori]
division	分割 [bunkatsu]
edge	へり [heri]
element	元素 [genso]
function	機能 [kinou]
half	半分 [hanpun]
limit	限度 [gendo]
line	線 [sen]
net	網 [mou]
outside	外側 [sotogawa]
percent	割合 [wariai]
point	点 [ten]
purpose	目的 [mokuteki]
result	結果 [ketuka]
rule	規則 [kisoku]
set	組 [kumi]
side	端 [tan]
square	正方形 [seihoukei]
square	自乗
substitution	交換 [koukan]
surface	表面 [hiyoumen]
total	量 [riyou]
ability	能力 [nouriyoku]
act	行い [okonai]
action	行動 [koudou]
activity	活気 [katuki]
addition	アドオン [adoon]
amount	高 [taka]
attack	攻撃 [kougeki]
attempt	企て [kuwadate]
attitude	態度 [taido]
back	うしろ [ushiro]
behavior	ふるまい [furumai]
bit	小片 [shiyouhen]
blow	強打 [kiyouda]
break	中断 [chiyuudan]
campaign	作戦 [sakusen]
case	事件 [jiken]
chance	機会 [kikai]
change	変化 [henka]
choice	選択 [sentaku]
condition	状態 [jiyoutai]
connection	コネクタ [konekuta]
crack	ひび [hibi]
cut	裁ち方 [tachikata]
damage	損害 [songai]
danger	危険 [kiken]
decoration	装飾 [soushiyoku]
defense	防衛 [bouei]
destruction	破壊 [hakai]
dominance	支配 [shihai]
drop	しずく [shizuku]
duty	義務 [gimu]
effort	努力 [doriyoku]
fall	没落 [botsuraku]
feature	特徴 [tokuchiyou]
fight	戦闘 [sentou]
front	前方 [zenpou]
hit	打撃 [dageki]
hole	穴 [ketsu]
increase	成長 [seichiyou]
increase	増加 [zouka]
internet	インターネット
jolt	震動 [shindou]
kick	蹴り技
kind	種類 [shiyurui]
knot	結び目 [musubime]
list	表 [omote]
majority	大多数 [daitasuu]
matter	問題 [mondai]
mind	心 [shin]
operation	実施 [jitushi]
opposite	逆 [giyaku]
outburst	突発 [totupatsu]
part	部分 [bubun]
part	部分 [bubun]
personality	風格 [fuukaku]
piece	一個 [ituko]
place	地点 [chiten]
position	場所 [bashiyo]
power	力 [riyoku]
practice	実際 [jitusai]
project	職務 [shiyokumu]
property	特性 [tokusei]
quality	質 [tachi]
quiet	平静 [heisei]
report	レポート
responsibility	義務 [gimu]
rest	休息 [kiyuusoku]
return	帰り [kaeri]
rise	登り [nobori]
risk	危険 [kiken]
seat	場所 [bashiyo]
set	ひとそろい [hitosoroi]
silence	平穏 [heion]
situation	状況 [jiyoukiyou]
slice	一片 [itupen]
state	状態 [jiyoutai]
step	足音 [ashioto]
stop	休止 [kiyuushi]
taste	味覚 [mikaku]
thing	物 [mono]
top	絶頂 [zetuchiyou]
touch	接触 [setushiyoku]
treatment	取扱い [toriatsukai]
tremble	震え [furue]
trick	たくらみ [takurami]
type	型 [kata]
use	使用 [shiyou]
way	やり方 [yarikata]
whole	全体 [zentai]
will	意志 [ishi]
wish	必要物 [hitsuyoubutsu]
art	美術 [bijiyutsu]
artist	芸術家 [geijiyutsuka]
band	楽団 [gakudan]
brush	ブラシ [burashi]
color	絵の具 [enogu]
concert	音楽会 [ongatukai]
design	デザイン [dezain]
diversity	多様性 [tayousei]
entertainment	娯楽 [goraku]
hit	大当り [ooatari]
image	イメージ
ink	インク [inku]
manner	やり方 [yarikata]
movie	薄膜 [usumaku]
museum	博物館 [hakubutsukan]
music	音楽 [ongaku]
note	音調 [onchiyou]
orchestra	オーケストラ
paint	塗料 [toriyou]
painting	絵画 [kaiga]
paper	紙 [kami]
pen	ペン [pen]
pencil	鉛筆 [enpitsu]
picture	姿 [sugata]
poem	詩 [uta]
poetry	詩 [uta]
rhythm	拍子 [hiyoushi]
shape	フォーム
singer	歌手 [kashiyu]
song	歌 [uta]
stage	舞台 [butai]
style	様式 [youshiki]
vogue	スタイル [sutairu]
account	勘定書 [kanjiyoushiyo]
advantage	利点 [riten]
advertisement	広告 [koukoku]
advice	助言 [jiyogon]
agreement	協定 [kiyoutei]
attention	注意 [chiyuui]
authority	権限 [kengen]
banknote	紙幣 [shihei]
bargain	契約 [keiyaku]
brand	商標 [shiyouhiyou]
business	企業 [kigiyou]
capital	資本 [shihon]
change	小銭 [kozeni]
cheque	小切手 [kogitute]
committee	委員会 [iinkai]
company	会社 [kaishiya]
competition	競争相手 [kiyousouaite]
complaint	告発 [kokuhatsu]
contract	契約 [keiyaku]
copy	コピー
cost	費用 [hiyou]
council	評議会 [hiyougikai]
course	授業 [jiyugiyou]
customer	顧客 [kokiyaku]
demand	入り用 [iriyou]
department	部署 [bushiyo]
difficulty	困難 [konnan]
director	経営者 [keieishiya]
economy	経済 [keizai]
environment	環境 [kankiyou]
experience	経験 [keiken]
firm	商会 [shiyoukai]
form	用紙 [youshi]
group	集団 [shiyuudan]
help	援助 [enjiyo]
holiday	休暇 [kiyuuka]
income	収入 [shiyuuniyuu]
industry	産業 [sangiyou]
insurance	保険 [hoken]
interest	利息 [risoku]
invoice	請求書 [seikiyuushiyo]
job	職 [shiyoku]
law	法 [hou]
leave	休暇 [kiyuuka]
loss	損失 [sonshitsu]
management	指導 [shidou]
mark	標識 [hiyoushiki]
market	販路 [hanro]
material	材料 [zairiyou]
mean	中間 [chiyuukan]
meeting	出会い [deai]
money	金銭 [kinsen]
occupation	職業 [shiyokugiyou]
offer	申し出 [moushide]
office	事務室 [jimushitsu]
officer	役人 [yakunin]
operation	操作 [sousa]
owner	所有者 [shiyoyuushiya]
package	小包 [kozutsumi]
payment	お返し [okaeshi]
plan	案 [tsukue]
price	代価 [daika]
problem	問題 [mondai]
product	生産物 [seisanbutsu]
profit	利益 [riyaku]
property	所有物 [shiyoyuubutsu]
rate	相場 [souba]
rest	残り [nokori]
reward	報酬 [houshiyuu]
right	権利 [kenri]
sale	販売 [hanbai]
section	区画 [kukaku]
section	部局 [bukiyoku]
service	サービス
share	株 [kabu]
shop	店 [ten]
skill	熟練 [jiyukuren]
staff	職員 [shiyokuin]
success	成功 [seikou]
support	支持 [shiji]
table	表 [omote]
tax	税金 [zeikin]
team	チーム
trade	貿易 [boueki]
value	価値 [kachi]
work	努力 [doriyoku]
worker	労働者 [roudoushiya]
announcement	発表 [hatupiyou]
answer	答え [kotae]
approval	賛成 [sansei]
argument	論拠 [ronkiyo]
book	書物 [shiyomotsu]
call	通話 [tsuuwa]
character	文字 [monji]
controversy	議論 [giron]
cry	叫び [sakebi]
data	資料 [shiriyou]
decision	決定 [ketutei]
dictionary	辞書 [jishiyo]
discussion	議論 [giron]
doubt	疑い [utagai]
experience	体験 [taiken]
feeling	感情 [kanjiyou]
humor	ユーモア
idea	考え [kangae]
information	案内 [annai]
interest	興味 [kiyoumi]
interview	面接 [mensetsu]
language	言語 [gongo]
language	舌 [shita]
letter	文字 [monji]
letter	手紙 [tegami]
lie	嘘 [uso]
look	一見 [ituken]
magazine	雑誌 [zatushi]
mail	郵便 [yuubin]
memory	記憶力 [kiokuriyoku]
memory	思い出 [omoide]
mistake	間違い [machigai]
name	名 [na]
newspaper	新聞 [shinbun]
note	注意書き [chiyuuigaki]
number	数 [suu]
opinion	意見 [iken]
page	ページ
pronunciation	発音 [hatsuon]
proposal	提案 [teian]
protest	抗議 [kougi]
question	質問 [shitsumon]
reaction	反応 [hannou]
reason	理由 [riyuu]
relation	関係 [kankei]
request	要望 [youbou]
secret	秘密 [himitsu]
sentence	文 [mon]
sign	記号 [kigou]
speech	言語 [gongo]
spelling	綴り [tsuzuri]
standard	基準 [kijiyun]
statement	声明 [shiyoumiyou]
subject	主題 [shiyudai]
suggestion	提案 [teian]
voice	声 [koe]
word	語 [katari]
writing	書体 [shiyotai]
good day	こんにちは [konnichiha]
good luck	頑張って [ganbatute]
happy birthday	誕生日 [tanjiyoubi]
hello	今日は [konnichiha]
how are you	お元気ですか [ogenkidesuka]
many thanks	どうもありがとう [doumoarigatou]
no	いいえ [iie]
sorry	すみません [sumimasen]
sorry	もう一回 [mouitukai]
thank you very much	どうもありがとうございます [doumoarigatougozaimasu]
yes	はい [hai]
you're welcome	どういたしまして [douitashimashite]
Britain	イギリス [igirisu]
China	中国 [chiyuugoku]
Czech Republic	チェコ共和国, チェコ
France	フランス共和国 [furansukiyouwakoku]
Germany	ドイツ連邦共和国 [doitsurenpoukiyouwakoku]
India	インド [indo]
Italy	イタリア [itaria]
Japan	日本, 日本国
Spain	スペイン [supein]
United States of America	アメリカ合衆国 [amerikagatushiyuukoku]
camera	カメラ [kamera]
camera	カメラ [kamera]
cellular phone	携帯電話 [keitaidenwa]
clock	時計 [tokihakari]
computer	コンピューター
elevator	エレベーター
engine	エンジン [enjin]
instrument	器具 [kigu]
machine	機械 [kikai]
oven	オーブン
television	テレビ [terebi]
watch	時計 [tokihakari]
class	種類 [shiyurui]
education	薫陶 [kuntou]
education	教育 [kiyouiku]
education	教育 [kiyouiku]
examination	試験 [shiken]
grade	成績 [seiseki]
knowledge	知識 [chishiki]
student	学生 [gakusei]
teacher	教師 [kiyoushi]
training	養成 [yousei]
fear	恐れ [osore]
hate	憎しみ [nikushimi]
love	愛 [ai]
pleasure	楽しみ [tanoshimi]
promise	期待 [kitai]
shock	驚愕 [kiyougaku]
care	世話 [sewa]
cold	かぜ [kaze]
cough	せき [seki]
disease	病気 [biyouki]
doctor	医師 [ishi]
health	健康状態 [kenkoujiyoutai]
menstruation	月経 [getukei]
nurse	看護婦 [kangofu]
operation	作業 [sagiyou]
pain	痛み [itami]
patient	患者 [kanjiya]
stitch	縫い方 [nuikata]
blade	刃 [yaiba]
board	盤 [sara]
chain	鎖 [kusari]
club	棍棒 [konbou]
cover	蓋 [gai]
feather	羽毛 [umou]
flag	旗 [hata]
frame	わく [waku]
handle	取っ手 [totute]
menu	献立 [kondate]
nut	ナット [natuto]
pin	ピン [pin]
pipe	管 [kuda]
postage	郵便料金 [yuubinriyoukin]
present	贈り物 [okurimono]
sail	帆 [ho]
scroll	巻物 [makimono]
seed	種 [tane]
stick	杖 [tsue]
stone	石 [koku]
ticket	切符 [kitupu]
wheel	車輪 [shiyarin]
wire	針金 [harigane]
balance	均衡 [kinkou]
bulk	容積 [youseki]
charge	充電 [jiyuuden]
energy	精力 [seiriyoku]
light	光 [hikari]
mass	かたまり [katamari]
measurement	測定 [sokutei]
mirror	鏡 [kagami]
movement	動き [ugoki]
pressure	圧迫 [atupaku]
process	過程 [katei]
size	大きさ [ookisa]
sound	音 [oto]
steam	蒸気 [jiyouki]
strength	力 [riyoku]
time	時 [toki]
unit	構成単位 [kouseitani]
weight	重さ [omosa]
boyfriend	ボーイフレンド
date	デート
girlfriend	女友達 [onnatomodachi]
guest	客 [kiyaku]
kiss	キス [kisu]
party	パーティー
sex	房事 [bouji]
smile	微笑 [bishiyou]
surprise	驚き [odoroki]
visit	訪問 [houmon]
alternative	二者択一 [nishiyatakuitsu]
biology	生物学 [seibutsugaku]
cause	原因 [genin]
chemistry	化学 [kagaku]
comparison	比較 [hikaku]
consequence	結果 [ketuka]
control	抑制 [yokusei]
discipline	訓練 [kunren]
discovery	発見 [hatuken]
event	出来事 [dekigoto]
evidence	証拠 [shiyouko]
example	見本 [mihon]
fact	事実 [jijitsu]
issue	問題 [mondai]
kernel	本質 [honshitsu]
method	方法 [houhou]
model	型 [kata]
phase	局面 [kiyokumen]
procedure	手順 [tejiyun]
production	製造 [seizou]
program	プログラム [puroguramu]
project	企画 [kikaku]
range	範囲 [hani]
research	研究 [kenkiyuu]
research	調査 [chiyousa]
science	科学 [kagaku]
society	社会 [shiyakai]
system	組織 [soshiki]
technology	科学技術 [kagakugijiyutsu]
theory	理論 [riron]
trend	傾向 [keikou]
trouble	苦労 [kurou]
user	使用者 [shiyoushiya]
army	軍隊 [guntai]
base	主成分 [shiyuseibun]
club	クラブ [kurabu]
company	交わり [majiwari]
contest	試合 [shiai]
country	国 [kuni]
court	法廷 [houtei]
crime	犯罪 [hanzai]
culture	文化 [bunka]
democracy	共和制 [kiyouwasei]
dominion	統治 [touji]
election	選挙 [senkiyo]
existence	存在 [sonzai]
government	政府 [seifu]
history	来歴 [raireki]
individual	個人 [kojin]
institution	施設 [shisetsu]
king	王 [ou]
member	メンバー
nation	国民 [kokumin]
news	ニュース
noise	騒音 [souon]
order	命令 [meirei]
organization	組織 [soshiki]
passport	旅券 [riyoken]
peace	平和 [heiwa]
people	人々 [ninnin]
police	警察 [keisatsu]
policy	方針 [houshin]
population	人口 [jinkou]
public	大衆 [taishiyuu]
punishment	罰 [batsu]
religion	信仰 [shinkou]
religion	信仰 [shinkou]
state	国家 [kotuka]
title	表題 [hiyoudai]
union	連合 [rengou]
will	意志 [ishi]
will	遺言 [yuigon]
award	栄誉 [eiyo]
ball	ボール
baseball	野球 [yakiyuu]
bike	自転車 [jitenshiya]
championship	選手権 [senshiyuken]
competitor	競争者 [kiyousoushiya]
cup	優勝杯 [yuushiyouhai]
football	サッカー
game	遊戯 [yuugi]
goal	ゴール
goal	目的地 [mokutekichi]
gold	金 [kogane]
golf	ゴルフ [gorufu]
jump	跳躍 [chiyouyaku]
match	試合 [shiai]
player	選手 [senshiyu]
record	最高記録 [saikoukiroku]
silver	銀 [shirogane]
tennis	テニス [tenisu]
throw	投げ [nage]
win	勝利 [shiyouri]