Thai	﻿English
คำสั่ง	order
องค์กร	organization
หนังสือเดินทาง	passport
ความสงบ	peace
คน	people
ตำรวจ	police
นโยบาย	policy
ประชากร	population
ประชาชน	public
ศรัทธา	religion
ความเชื่อในศาสนา	religion
รัฐ	state
การรวมตัวกัน	union
ความตั้งใจ	will
พินัยกรรม	will
ลูกบอล	ball
กีฬาเบสบอล	baseball
รถจักรยานสองล้อ	bike
คู่แข่ง	competitor
กีฬาฟุตบอล	football
เกม	game
ประตู	goal
จุดหมายปลายทาง	goal
ทอง	gold
กีฬากอล์ฟ	golf
ผู้เล่น	player
ธาตุเงิน	silver
เทนนิส	tennis
