English	Thai
Wednesday	วันพุธ
week	สัปดาห์
weekend	วันสุดสัปดาห์
while	ชั่วขณะหนึ่ง
winter	ฤดูหนาว
year	ปี
bread	ขนมปัง
breakfast	อาหารเช้า
butter	เนย
cake	เค้ก
cheese	เนยแข็ง
chocolate	ช็อกโกแลต
egg	ไข่
food	อาหาร
fruit	ผลไม้
meal	มื้อ
meat	เนื้อสัตว์
oil	น้ำมัน
salt	เกลือ
sandwich	แซนด์วิช
soup	น้ำแกง
sugar	น้ำตาล
sweet	ความน่ารัก
beer	เบียร์
coffee	กาแฟ
drink	เครื่องดื่ม
milk	นม
milkshake	เครื่องดื่มปั่น ประกอบด้วยนมและไอศรีม
tea	ชา
water	น้ำ
wine	เหล้าไวน์
apricot	เอพริคอต
banana	กล้วย
blackberry	แบล็คเบอรี่
cherry	เชอร์รี่
nut	ผลไม้แห้งเปลือกแข็ง
orange	ต้นส้ม
peach	ลูกพีช
pear	ถั่วลิสง
pineapple	สับปะรด
plum	ลูกพลัม
raspberry	แรสเบอร์รี
strawberry	สตรอเบอร์รี่
bean	ถั่ว
cabbage	ผักจำพวกกะหล่ำปลี
carrot	แครอท
cucumber	แตงกวา
garlic	กระเทียม
onion	ไม่หยุดยั้ง
parsnip	ราก
potato	มันฝรั่ง
radish	หัวไชเท้า
tomato	มะเขือเทศ
birthday	วันเกิด
brother	พี่ชายหรือน้องชาย
daughter	ลูกสาว
death	ความตาย
family	ตระกูล
father	บิดา
friend	เพื่อน
girl	เด็กผู้หญิง
grandfather	ปู่
human	มนุษย์
husband	สามี
man	ผู้ชาย
marriage	การแต่งงาน
mother	แม่
neighbor	เพื่อนบ้าน
parent	พ่อแม่
person	มนุษย์
relationship	ความสัมพันธ์
sister	น้องสาวหรือพี่สาว
son	ลูกชาย
wedding	การแต่งงาน
wife	ภรรยา
woman	ผู้หญิง
address	อ้างเลขที่อยู่, เลขที่อยู่
bathroom	ห้องน้ำ
bedroom	ห้องนอน
brick	อิฐ
door	ประตู
floor	พื้น
floor	ชั้นอาคาร
garage	โรงรถ
garden	สวน
gate	ประตูรั้ว
home	บ้าน
house	บ้าน
kitchen	ห้องครัว
roof	หลังคา
room	ห้อง
shower	การอาบน้ำฝักบัว
step	ขั้นบันได
toilet	ห้องน้ำ
wall	ฉาก
well	บ่อน้ำ
window	หน้าต่าง
bed	เตียง
carpet	พรม
chair	เก้าอี้
cupboard	ตู้
curtain	ม่าน
desk	โต๊ะ
furniture	เครื่องเรือน
shelf	หิ้ง
sink	อ่างล้างจาน
table	โต๊ะ
bag	กระเป๋า
cloth	ผ้า
clothing	เสื้อผ้า
coat	เสื้อคลุม
collar	ปกเสื้อ
hat	หมวก
jewel	เพชรพลอย
ring	แหวน
shirt	เสื้อเชิ้ต
shoe	รองเท้า
skirt	ชายเสื้อ
sock	ถุงเท้า
suitcase	กระเป๋าเดินทาง
tie	เน็กไท
air	อากาศ
animal	สัตว์
branch	กิ่งก้าน
evolution	วิวัฒนาการ
farm	ที่เพาะปลูกและเลี้ยงสัตว์
field	ทุ่งนา
fire	เปลวไฟ
flower	ดอกไม้
forest	ป่าไม้
grass	หญ้า
leaf	ใบไม้
life	ชีวิต
lightning	ฟ้าแลบ
moisture	ความชื้น
nature	ธรรมชาติ
plant	พืช
root	ราก
sex	เพศ
sky	ท้องฟ้า
sleep	การหลับ
smell	กลิ่น
smoke	ควัน
spring	แหล่งกำเนิด
stem	ลำต้น
stream	กระแสน้ำ
tree	ต้นไม้
wave	คลื่น
weather	สภาพอากาศ
world	โลก
airport	สนามบิน
bank	ธนาคาร
bridge	สะพาน
building	สิ่งก่อสร้าง
capital	เมืองหลวง
castle	ปราสาท
church	โบสถ์
cinema	โรงภาพยนตร์
city	เมือง
factory	โรงงาน
flat	ห้องชุด
hospital	โรงพยาบาล
hotel	โรงแรม
library	ไลบรารี
park	สวนสาธารณะ
prison	คุก
restaurant	ร้านอาหาร
road	ถนน
school	โรงเรียน
station	สถานีย่อย
street	ถนน
structure	การก่อสร้าง
subway	รถไฟใต้ดิน
supermarket	ร้านขายของขนาดใหญ่ที่ผู้ซื้อเลือกหยิบของเอง
theater	โรงละคร
town	เขตเมือง
university	มหาวิทยาลัย
accident	อุบัติเหตุ
boat	เรือ
bus	รถโดยสารประจำทาง
car	รถยนต์
flight	การบิน
journey	การเดินทาง
passenger	ผู้โดยสาร
plane	เครื่องบิน
ship	เรือขนาดใหญ่
track	รางรถไฟ
train	รถไฟ
actor	นักแสดง
businessman	นักธุรกิจ
expert	ผู้เชี่ยวชาญ
journalist	นักข่าว
judge	ผู้พิพากษา
minister	รัฐมนตรี
musician	นักดนตรี
photographer	ช่างภาพ
pilot	นักบิน
policeman	ตำรวจ
politician	นักการเมือง
president	ประธานาธิบดี
representative	ตัวแทน
sailor	กะลาสี
scientist	นักวิทยาศาสตร์
secretary	เลขานุการ
servant	คนรับใช้
soldier	ทหาร
writer	นักเขียน
beach	ชายหาด
direction	ทิศทาง
Earth	โลก
east	ทิศตะวันออก
island	เกาะ
lake	ทะเลสาบ
land	พื้นดิน
map	แผนที่
Moon	แสงจันทร์
north	ทิศเหนือ
river	แม่น้ำ
sea	ทะเล
south	ทิศใต้
star	ดวงดาว
sun	ดวงอาทิตย์
west	ทิศตะวันตก
cloud	กลุ่มควัน
fog	หมอก
frost	น้ำค้างแข็ง
rain	ฝน
rainbow	รุ้ง
snow	หิมะ
storm	พายุ
thunder	ฟ้าร้อง
wind	ลม
acid	กรด
chemical	คุณสมบัติทางเคมี
chemical element	ธาตุเคมี
coal	ถ่านหิน
dust	ฝุ่น
earth	โลก
fat	น้ำมัน
glass	กระจก
glue	กาว
iron	เครื่องมือที่ทำด้วยเหล็ก
leather	หนัง
liquid	ของเหลว
matter	วัตถุ
metallic element	โลหะ
oil	ปิโตรเลียม
poison	ยาพิษ
sand	ทราย
silk	เส้นไหม
soap	สบู่
steel	เหล็ก
wood	ทำด้วยไม้
basket	ตะกร้า
bottle	ขวด
box	กล่อง
can	กระป๋อง
drawer	ลิ้นชัก
envelope	ส่วนหัว
plate	จาน
bell	ระฆัง
gun	ปืน
hammer	ค้อน
hook	ตะขอ
key	กุญแจ
lock	แม่กุญแจ
match	ไม้ขีดไฟ
nail	ตะปู
needle	เข็ม
pump	ปั๊มน้ำ
rope	เชือก
scissors	กรรไกร
stamp	ตราประทับ
whip	แส้
addition	การบวก
angle	มุม
area	พื้นที่
circle	รูปวงกลม
curve	เส้นโค้ง
distance	ระยะทาง
division	การแบ่งแยก
edge	ขอบ
element	อีลิเมนต์
function	หน้าที่
limit	ขอบเขต
line	แถวหน้า
net	แห
percent	อัตราร้อยละ
point	จุด
purpose	หน้าที่
result	ผล
rule	กฎข้อบังคับ
set	เซต
side	ข้าง
square	สี่เหลี่ยมจัตุรัส
total	จำนวน
ability	ความสามารถ
act	การกระทำ
action	แอคชัน
activity	ความคล่องแคล่ว
addition	Add-on
attack	การโจมตี
attempt	ความพยายาม
back	ด้านหลัง
behavior	พฤติกรรม
blow	การตี
break	การหยุด
campaign	การรณรงค์
case	คดีความ
chance	โอกาส
change	การเปลี่ยนแปลง
choice	การเลือก
condition	สภาพ
connection	ตัวเชื่อมต่อ
crack	รอยแตก
damage	ความเสียหาย
decoration	เครื่องประดับ
destruction	การทำลาย
effort	การทุ่มเท
fall	ตก
feature	ลักษณะเฉพาะ
fight	การต่อสู้
front	ด้านหน้า
hit	การตี
hole	รู
increase	การเจริญเติบโต
internet	อินเทอร์เน็ต
kick	การเตะ
kind	รูปแบบ
knot	นอต
list	บัญชีรายชื่อ
majority	ส่วนใหญ่
matter	สาร
mind	สติปัญญา
operation	การดำเนินการ
outburst	การเกิดขึ้นอย่างรุนแรงและทันทีทันใด
part	ส่วน
piece	ชิ้น
place	สถานที่
power	พลัง
project	งานหนัก
property	คุณสมบัติ
quality	คุณภาพ
quiet	ความสงบ
responsibility	ความรับผิดชอบ
rest	ความสงบ
rise	การปีน
risk	การเสี่ยงภัย
silence	ความเงียบ
situation	สถานการณ์
state	สภาพ
step	ฝีเท้า
top	จุดสูงสุด
treatment	การดูแล
trick	เล่ห์เหลี่ยม
type	รูปแบบ
use	วิธีการใช้
wish	ความต้องการ
art	ศิลปะ
artist	ศิลปิน
band	วงดนตรี
color	สี
concert	คอนเสิร์ต
design	แบบ
diversity	ความหลากหลาย
entertainment	กิจกรรมที่ให้ความบันเทิง
hit	การตี
ink	น้ำหมึก
manner	รูปแบบ
movie	ภาพยนตร์
museum	พิพิธภัณฑ์
music	ดนตรี
note	โน้ตดนตรี
orchestra	วงดนตรีขนาดใหญ่ที่เล่นเพลงคลาสสิค
paint	สี
painting	ภาพวาด
paper	กระดาษ
pen	ปากกา
pencil	ดินสอ
picture	อิมเมจ
poem	บทกวี
poetry	บทกวี
rhythm	จังหวะ
singer	นักร้อง
song	เพลง
stage	เวที
style	รูปแบบ
vogue	ความนิยม
account	บัญชีเงินฝาก
advantage	ข้อได้เปรียบ
advertisement	โฆษณา
attention	ความสนใจ
authority	ผู้ที่รอบรู้
banknote	ธนบัตร
bargain	การเจรจาต่อรอง
business	ร้าน
capital	ทุน
change	เหรียญ
cheque	เช็ค
committee	คณะกรรมการ
competition	การแข่งขัน
complaint	ข้อกล่าวหา
cost	ต้นทุน
customer	ลูกค้า
demand	ความต้องการ
department	แผนก
difficulty	ความยากลำบาก
environment	สภาพแวดล้อม
experience	ความชำนาญ
firm	บริษัท
form	ฟอร์ม
group	กลุ่ม
help	ความช่วยเหลือ
holiday	ช่วงปิดภาคเรียน
income	รายได้
industry	อุตสาหกรรม
insurance	การประกันภัย
interest	ดอกเบี้ย
invoice	ใบแจ้งหนี้
job	การงาน
leave	วันหยุด
management	การควบคุม
mark	เครื่องหมาย
market	ตลาด
material	วัตถุ
mean	ตัวกลาง
meeting	การประชุม
money	เงิน
occupation	อาชีพ
offer	ข้อเสนอ
owner	เจ้าของ
plan	แผนการ
price	ราคา
problem	คำถาม
product	ผลิตภัณฑ์
profit	กำไร
property	ทรัพย์สิน
rate	ราคา
rest	ส่วนที่เหลืออยู่
reward	ค่าตอบแทน
right	สิทธิ
sale	การขาย
service	การช่วย
skill	ฝีมือ
staff	คณะผู้ทำงาน
support	การช่วยเหลือ
table	ตาราง
tax	ภาษี
team	กลุ่มคนทำงานหรือเล่นกีฬาในกลุ่มเดียวกัน
trade	การค้าขาย
value	มูลค่า
worker	ผู้ใช้แรงงาน
announcement	การประกาศ
answer	คำตอบ
approval	การอนุมัติ
argument	เหตุผล
book	หนังสือ
call	การเรียกสาย
controversy	การโต้แย้ง
cry	การตะโกน
data	ข้อมูล
decision	การตัดสินใจ
dictionary	พจนานุกรม
discussion	การปรึกษาหารือ
doubt	ความสงสัย
experience	ประสบการณ์
feeling	ความรัก
idea	ความคิด
interest	ความสนใจ
interview	การสัมภาษณ์
language	ภาษา
language	ภาษา
letter	ตัวอักษร
letter	จดหมาย
look	การมอง
magazine	นิตยสาร
mail	จดหมาย
memory	ความจำ
memory	ความทรงจำ
mistake	ความผิดพลาด
name	ชื่อ
newspaper	หนังสือพิมพ์
number	จำนวน
opinion	ความเห็น
page	เพจ
pronunciation	การออกเสียง
proposal	ข้อเสนอ
protest	การประท้วง
question	ปัญหา
reason	เหตุผล
relation	การติดต่อกัน
request	การขอร้อง
sentence	ประโยค
speech	การพูด
spelling	การสะกดคำ
standard	เกณฑ์
statement	แถลงการณ์ (tà-lăeng gaan)
subject	หัวข้อ
suggestion	ข้อเสนอ
voice	เสียงพูด
word	คำ
writing	การเขียน
good day	สวัสดี (sàwàtdee)
good luck	โชคดี (chokh dī!)
hello	สวัสดีครับ (sàwàtdee kráp) (m), สวัสดีค่ะ (sàwàtdee kâ) (f)
how are you	สบายดีไหม (sàbaay dii mǎay?), เป็นอย่างไรบ้าง (bpen yàang rai bâang?)
Britain	GB
China	จีน
Czech Republic	สาธารณรัฐเช็ก
France	สาธารณรัฐฝรั่งเศส
Germany	สหพันธ์สาธารณรัฐเยอรมนี
India	สาธารณรัฐอินเดีย
Italy	อิตาลี
Japan	ญี่ปุ่น
Spain	ราชอาณาจักรสเปน
United States of America	สหรัฐอเมริกา
camera	กล้องถ่ายภาพ
camera	กล้องถ่ายรูป
cellular phone	โทรศัพท์มือถือ
clock	นาฬิกา
computer	คอมพิวเตอร์
elevator	ลิฟต์
engine	เครื่องจักร
instrument	เครื่องดนตรี
machine	เครื่องจักร
oven	เตาอบ
television	เครื่องรับโทรทัศน์
watch	นาฬิกาข้อมือ
class	ชนชั้น
education	การศึกษา
grade	คะแนน
knowledge	ความรู้
student	นักศึกษา
teacher	ผู้สอน
fear	ความกลัว
hate	ความเกลียดชัง
love	ความรัก
pleasure	ความยินดี
care	การปกป้อง
cold	ไข้หวัด
cough	การไอ
disease	โรค
doctor	แพทย์
health	สุขภาพ
menstruation	ประจำเดือน
nurse	พยาบาล
operation	การดำเนินการ
pain	ความเจ็บปวด
patient	ผู้ป่วย
stitch	รอยเย็บ
blade	ใบมีด
card	การ์ด
feather	ขนนก
flag	ธง
frame	กรอบ
handle	ที่จับ
nut	ถั่ว
pipe	ท่อ
postage	ค่าส่งของทางไปรษณีย์
present	ของขวัญ
sail	ใบเรือ
scroll	ม้วน
stick	ไม้เท้า
stone	ก้อนหิน
ticket	ตั๋ว
wheel	ล้อ
wire	ลวด
bulk	ความจุ
charge	ประจุไฟฟ้า
energy	กำลัง
light	พิจารณา
mass	ปริมาณมาก
measurement	การวัด
mirror	กระจก
movement	การเคลื่อนไหว
size	ขนาดใหญ่
sound	เสียง
steam	ไอน้ำ
strength	กำลัง
time	ช่วงเวลา
unit	หน่วยการวัด
weight	น้ำหนัก
boyfriend	เพื่อนชาย
date	การนัดหมาย
honey	ที่รัก
kiss	การจูบ
party	งานเลี้ยง
sex	เซ็กส์
smile	รอยยิ้ม
biology	ชีววิทยา
chemistry	เคมี
comparison	การเปรียบเทียบ
consequence	ผล
control	การควบคุม
discipline	การฝึกฝน
discovery	ค้นพบ
event	เหตุการณ์ที่เกิดขึ้น
example	ตัวอย่าง
issue	ประเด็น
kernel	แก่น
method	วิธี
phase	ช่วง
procedure	ขั้นตอน
program	กำหนดการ
project	แผนงาน
range	ขอบเขต
research	การวิจัย
research	การไต่สวน
science	วิทยาศาสตร์
society	สังคม
system	ระบบ
technology	เทคโนโลยี
theory	ทฤษฎี
trend	ความโน้มเอียง
trouble	ปัญหา
user	ผู้ใช้
army	กองทัพบก
club	สโมสร
company	ความเป็นเพื่อน
contest	การดิ้นรน
country	ประเทศ
court	ศาล
crime	การกระทำผิดกฎหมาย
culture	วัฒนธรรม
democracy	สาธารณรัฐ
dominion	การปกครอง
election	การเลือกตั้ง
existence	การดำรงอยู่
government	รัฐบาล
history	ประวัติศาสตร์
individual	บุคคล
institution	สถาบัน
king	กษัตริย์
member	สมาชิก
nation	ประเทศ
order	คำสั่ง
organization	องค์กร
passport	หนังสือเดินทาง
peace	ความสงบ
people	คน
police	ตำรวจ
policy	นโยบาย
population	ประชากร
public	ประชาชน
religion	ศรัทธา
religion	ความเชื่อในศาสนา
state	รัฐ
union	การรวมตัวกัน
will	ความตั้งใจ
will	พินัยกรรม
ball	ลูกบอล
baseball	กีฬาเบสบอล
bike	รถจักรยานสองล้อ
competitor	คู่แข่ง
football	กีฬาฟุตบอล
game	เกม
goal	ประตู
goal	จุดหมายปลายทาง
gold	ทอง
golf	กีฬากอล์ฟ
player	ผู้เล่น
silver	ธาตุเงิน
tennis	เทนนิส
win	ชัยชนะ