Hindi	﻿English
अस्तित्व होना [astitv honaa]	exist
आशा रखना [aashaa rakhanaa]	expect
समझाना [samajhaanaa]	explain
भरना [bharanaa]	fill
पकड़ पाना	find
क्षमा करना [kshamaa karanaa]	forgive
मुक्त करना [mukt karanaa]	free
बढ़ना [badhanaa]	grow
घटित होना [ghatit honaa]	happen
घृणा करना [ghrunaa karanaa]	hate
छिपाना [chhipaanaa]	hide
मजबूती से पकड़ना	hold
पहचानना [pahachaananaa]	identify
सम्मिलित करना [sammilit karanaa]	include
घायल करना [ghaayal karanaa]	injure
परिचय कराना [parichay karaanaa]	introduce
संयुक्त करना [sanyukt karanaa]	join
किसी विशेष स्थिति में बनाए रखना	keep
लात मारना [laat maaranaa]	kick
मारना [maaranaa]	kill
उतरना [utaranaa]	land
जीवित रहना [jeevit rahanaa]	last
चलाना [chalaanaa]	lead
छोड़ जाना	leave
किराये पर देना [kiraaye par denaa]	let
ऊपर उठाना [oopar uthaanaa]	lift
सीमा बद्ध करना	limit
जिम्मेदारी सौंपना [jimmedaaree saumpanaa]	load
तलाशना	look
खो देना [kho denaa]	lose
चलाना [chalaanaa]	manage
विवाह करना [vivaah karanaa]	marry
इरादा रखना [iraadaa rakhanaa]	mean
नापना [naapanaa]	measure
उल्लेख करना [ullekh karanaa]	mention
नाम रखना [naam rakhanaa]	name
स्वामी होना	own
on सौंपना [saumpanaa]	pass
छीलना [chheelanaa]	peel
विष देना [vish denaa]	poison
चमकाना [chamakaanaa]	polish
तैयार होना [taiyaar honaa]	prepare
दबाना [dabaanaa]	press
रोकना [rokanaa]	prevent
छापना [chhaapanaa]	print
संसाधित करना [sansaadhit karanaa]	process
विरोध प्रकट करना [virodh prakat karanaa]	protest
सिद्ध करना [siddh karanaa]	prove
प्रकाशित करना [prakaashit karanaa]	publish
पालन-पोषण करना [paalan-poshan karanaa]	raise
दर नियत करना [dar niyat karanaa]	rate
पहुंचना [pahunchanaa]	reach
लेना [lenaa]	receive
अंकित करना [ankit karanaa]	record
कम करना [kam karanaa]	reduce
प्रतिबिम्बित करना [pratibimbit karanaa]	reflect
मना करना [manaa karanaa]	refuse
हटा देना [hataa denaa]	remove
पुरानी स्थिति में लौट जाना	render
उत्तर देना [uttar denaa]	reply
हाल लिखना	report
प्रतिनिधित्व करना [pratinidhitv karanaa]	represent
अनुरोध करना [anurodh karanaa]	request
सम्मान करना [sammaan karanaa]	respect
खोलना [kholanaa]	reveal
संयोगवश हो जाना	risk
शासन करना [shaasan karanaa]	rule
बचाना [bachaanaa]	save
उबारना [ubaaranaa]	save
देखना [dekhanaa]	see
करार देना	see
भेजना [bhejanaa]	send
सीना [seenaa]	sew
चिल्लाना [chillaanaa]	shout
दिखाना [dikhaanaa]	show
समय गुजारना	spend
खड़ा रहना [khadaa rahanaa]	stand
बने रहना [bane rahanaa]	stay
चोरी करना [choree karanaa]	steal
बंद कर देना [band kar denaa]	stop
पढ़ना	study
प्रस्ताव रखना या करना	suggest
आवश्यक सामग्री देना	supply
समर्थन करना [samarthan karanaa]	support
आश्चर्यचकित करना [aashcharyachakit karanaa]	surprise
शिक्षा देना [shikshaa denaa]	teach
जांच करना [jaanch karanaa]	test
धन्यवाद देना [dhanyavaad denaa]	thank
फेंकना [phenkanaa]	throw
उपाधि देना [upaadhi denaa]	title
व्यापार करना [vyaapaar karanaa]	trade
शिक्षा देना [shikshaa denaa]	train
जाना [jaanaa]	travel
व्यवहार करना [vyavahaar karanaa]	treat
प्रयास करना [prayaas karanaa]	try
घुमाना [ghumaanaa]	turn
देखने जाना [dekhane jaanaa]	visit
टहलाना [tahalaanaa]	walk
धोना [dhonaa]	wash
दृष्टि डालना [drushti daalanaa]	watch
पहनना [pahananaa]	wear
वजन [vajan]	weigh
जीतना [jeetanaa]	win
