English	Hindi
mother	माता [maataa]
neighbor	पड़ोसी [padosee]
person	व्यक्ति [vyakti]
relationship	सम्बन्ध [sambandh]
sister	बहन [bahan]
son	पुत्र [putr]
wedding	शादी [shaadee]
wife	पत्नी [patnee]
woman	औरत [aurat]
address	पता [pataa]
bathroom	गुसलख़ाना
bedroom	शयनकक्ष [shayanakaksh]
brick	ईंट [eent]
door	द्वार [dvaar]
floor	फर्श [pharsh]
floor	तल्ला मंजिल
garage	गैरेज [gairej]
garden	उद्यान [udyaan]
gate	द्वार [dvaar]
hall	प्रतीक्षा-कक्ष [prateekshaa-kaksh]
home	घर [ghar]
house	गृह [gruh]
kitchen	रसोईघर [rasoeeghar]
roof	छत [chhat]
room	कमरा [kamaraa]
shower	फुहार में स्नान करना
step	कार्य [kaary]
toilet	शौचालय [shauchaalay]
wall	दीवार [deevaar]
well	कुंआं
window	खिड़की [khidakee]
bed	बिस्तर (bistar)
carpet	कालीन [kaaleen]
chair	कुर्सी [kursee]
cupboard	अलमारी [alamaaree]
curtain	पर्दा [pardaa]
desk	मेज [mej]
furniture	फर्नीचर [pharneechar]
shelf	ताक [taak]
sink	हौदी [haudee]
table	मेज [mej]
bag	थैला [thailaa]
boot	जूता [jootaa]
cloth	कपड़ा [kapadaa]
clothing	वस्त्र [vastr]
coat	कोट [kot]
collar	कालर [kaalar]
hat	टोपी [topee]
jacket	जाकेट [jaaket]
jewel	मणि [mani]
ring	अंगूठी [angoothee]
shirt	कमीज
shoe	जूता [jootaa]
skirt	घाघरा [ghaagharaa]
sock	मोजा [mojaa]
suitcase	सूटकेस [sootakes]
tie	टाई [taaee]
air	वायु [vaayu]
animal	प्राणी [praanee]
branch	शाखा [shaakhaa]
evolution	क्रम विकास
farm	खेत [khet]
field	मैदान [maidaan]
fire	लपट [lapat]
flower	फूल [phool]
forest	जंगल [jangal]
grass	घास [ghaas]
leaf	पत्ता [pattaa]
life	जीवन [jeevan]
lightning	बिजली [bijalee]
moisture	नमी [namee]
nature	प्रकृति
plant	वनस्पति [vanaspati]
root	जड़ [jad]
sky	आसमान [aasamaan]
sleep	सोना [sonaa]
smell	गन्ध [gandh]
spring	सोता
stem	डंठल [danthal]
stream	धारा [dhaaraa]
tree	पेड़ [ped]
wave	लहर [lahar]
weather	मौसम [mausam]
world	धरती [dharatee]
airport	हवाई अड्डा [havaaee addaa]
bank	बैंक [baink]
bridge	सेतु [setu]
building	निर्माण [nirmaan]
capital	राजधानी [raajadhaanee]
castle	दुर्ग [durg]
church	गिरजाघर [girajaaghar]
cinema	चलचित्र [chalachitr]
city	शहर [shahar]
factory	कारखाना [kaarakhaanaa]
flat	फ्लैट
hospital	चिकित्सालय [chikitsaalay]
hotel	होटल
library	लायब्रेरी
park	उद्यान [udyaan]
prison	कारागार [kaaraagaar]
restaurant	रेस्त्रां
road	सड़क [sadak]
school	विद्यालय [vidyaalay]
station	केन्द्र [kendr]
street	स्ट्रीट का संक्षेप
structure	निर्माण [nirmaan]
subway	सुरंग-रेल [surang-rel]
theater	रंगशाला [rangashaalaa]
town	नगर [nagar]
university	विश्वविद्यालय [vishvavidyaalay]
accident	दुर्घटना [durghatanaa]
boat	नाव [naav]
bus	बस [bas]
car	मोटर-गाड़ी [motar-gaadee]
curve	घुमाव [ghumaav]
express	एक्सप्रेस गाड़ी
flight	उड़ान [udaan]
journey	यात्रा [yaatraa]
passenger	यात्री [yaatree]
plane	वायुयान
ship	जहाज
track	पटरी [pataree]
train	रेलगाड़ी [relagaadee]
transport	यातायात [yaataayaat]
actor	अभिनेता [abhinetaa]
actress	अभिनेत्री [abhinetree]
businessman	व्यापारी [vyaapaaree]
expert	निपुण [nipun]
general	सेनापति [senaapati]
journalist	पत्रकार [patrakaar]
judge	निर्णायक [nirnaayak]
leader	पथ-प्रदर्शक
minister	शिक्षा मंत्री
musician	संगीतकार [sangeetakaar]
photographer	छाया चित्रकार
pilot	विमान चालक [vimaan chaalak]
policeman	पुलिसमैन [pulisamain]
politician	राजनीतिज्ञ [raajaneetigya]
president	राष्ट्रपति [raashtrapati]
professional	व्यवसायी [vyavasaayee]
representative	प्रतिनिधि [pratinidhi]
sailor	नाविक [naavik]
scientist	वैज्ञानिक [vaigyaanik]
secretary	मुंशी
servant	नौकर [naukar]
soldier	सैनिक [sainik]
writer	लेखक [lekhak]
bank	किनारा [kinaaraa]
beach	समुद्र तट [samudr tat]
direction	दिशा [dishaa]
Earth	पृथ्वी [pruthvee]
east	पूर्व दिशा [poorv dishaa]
island	द्वीप [dveep]
lake	झील [jheel]
land	जमीन [jameen]
map	मानचित्र
Moon	चन्द्रमा [chandramaa]
north	उत्तर [uttar]
plain	मैदानी इलाका
river	नदी [nadee]
sea	समुद्र [samudr]
south	दक्षिण [dakshin]
star	तारा [taaraa]
sun	सूरज [sooraj]
west	पश्चिम [pashchim]
cloud	बादल [baadal]
dew	ओस [os]
fog	कोहरा [koharaa]
frost	पाला [paalaa]
rain	मेह
rainbow	इन्द्रधनुष [indradhanush]
snow	बर्फ [barph]
storm	तूफान [toophaan]
thunder	गड़गड़ाहट बिजली की
wind	हवा [havaa]
acid	अम्ल [aml]
chemical	रसायन [rasaayan]
chemical element	रासायनिक तत्व
coal	कोयला [koyalaa]
dust	धूल [dhool]
earth	पृथ्वी [pruthvee]
fat	चर्बी [charbee]
glass	कांच [kaanch]
glue	सरेस [sares]
ice	बरफ़ (baraf)
iron	लोहा [lohaa]
leather	खाल [khaal]
liquid	द्रव [drav]
matter	विषय [vishay]
metallic element	धातु [dhaatu]
oil	पेट्रोलियम [petroliyam]
poison	विष [vish]
powder	चूर्ण [choorn]
sand	रेत [ret]
silk	रेशम [resham]
soap	साबुन
steel	इस्पात [ispaat]
wood	लकड़ी [lakadee]
wool	ऊन
bag	झोली
basket	डलिया [daliyaa]
bottle	बोतल [botal]
box	सन्दूक [sandook]
cup	प्याले के रूप देना
drawer	दराज [daraaj]
envelope	लिफ़ाफ़ा [lifaafaa]
glass	पीने का बर्तन
plate	प्लेट [plet]
bell	घंटा [ghantaa]
button	बटन [batan]
gun	तोप [top]
hammer	घोड़ा [ghodaa]
key	कुंजी [kunjee]
lock	तालयन्त्र
match	दियासलाई [diyaasalaaee]
nail	कील [keel]
needle	सुई [suee]
pump	पम्प [pamp]
rope	रस्सी [rassee]
scissors	कैंची
spring	स्प्रिंग [spring]
stamp	मोहर [mohar]
whip	कोड़ा [kodaa]
addition	जोड़ [jod]
angle	कोण [kon]
area	क्षेत्रफल [kshetraphal]
center	केंद्र [kendr]
circle	वृत्त [vrutt]
curve	वक्र रेखा [vakr rekhaa]
degree	स्तर [star]
distance	दूरी [dooree]
division	बंटवारा
edge	किनारा [kinaaraa]
element	किसी वस्तु का प्रमुख भाग
function	सामाजिक सम्मेलन
half	आधा [aadhaa]
limit	सीमा [seemaa]
line	रेखा [rekhaa]
net	जाल [jaal]
percent	हिस्सा [hissaa]
point	बिन्दु [bindu]
purpose	उद्देश्य [uddeshy]
result	परिणाम [parinaam]
rule	नियमावली [niyamaavalee]
side	तरफ [taraph]
square	वर्ग [varg]
surface	ऊपरी तल
total	रकम [rakam]
ability	योग्यता [yogyataa]
act	कार्य [kaary]
activity	सक्रियता [sakriyataa]
amount	राशि [raashi]
attack	आक्रमण [aakraman]
attempt	प्रयास [prayaas]
attitude	अभिवृत्ति
back	पिछला हिस्सा [pichhalaa hissaa]
behavior	बर्ताव [bartaav]
bit	टुकड़ा [tukadaa]
blow	चोट [chot]
break	चुप्पी [chuppee]
campaign	अभियान [abhiyaan]
case	कानूनी मामला
chance	मौका [maukaa]
change	परिवर्तन होने की प्रक्रिया
choice	चुनने का अधिकार [chunane kaa adhikaar]
condition	हालत [haalat]
connection	कनेक्टर
crack	दरार [daraar]
cut	कटाव [kataav]
damage	हानि [haani]
danger	खतरा [khataraa]
decoration	सजावट [sajaavat]
destruction	तोड़-फोड़ [toda-phod]
dominance	नियंत्रण [niyantran]
drop	बूंद [boond]
duty	कर्त्तव्य
effort	कोशिश [koshish]
fall	कब्जा [kabjaa]
feature	विशिष्ट लक्षण
fight	युद्ध [yuddh]
front	आगे [aage]
hit	प्रहार [prahaar]
hole	छेद [chhed]
increase	वृद्धि [vruddhi]
increase	बढ़ती
internet	अंतरजाल
kick	लात [laat]
kind	शब्द रूप [shabd roop]
knot	गांठ [gaanth]
list	सूची [soochee]
majority	अधिकतर [adhikatar]
matter	द्रव्य [dravy]
mind	मन [man]
operation	संचालन [sanchaalan]
opposite	विरोधी [virodhee]
outburst	अचानक बौछार
part	भाग [bhaag]
personality	व्यक्तित्व
piece	कोई एक एकल चीज या उदाहरण
place	स्थान [sthaan]
position	स्थिति [sthiti]
power	शक्ति [shakti]
practice	व्यवहार [vyavahaar]
project	काम [kaam]
quality	गुण [gun]
quiet	शांति [shaanti]
responsibility	उत्तरदायित्व [uttaradaayitv]
rest	आराम [aaraam]
return	वापसी [vaapasee]
rise	चढ़ाई [chadhaaee]
risk	खतरा [khataraa]
set	समूह [samooh]
silence	शांति [shaanti]
situation	स्थिति [sthiti]
state	अवस्था [avasthaa]
step	कदम [kadam]
taste	स्वाद [svaad]
thing	वस्तू (vastū), चीज़ (chīz)
top	दूरी [dooree]
touch	स्पर्श [sparsh]
treatment	बर्ताव [bartaav]
trick	ट्रिक
type	प्रकार [prakaar]
use	प्रयोग [prayog]
wear	कमजोरी [kamajoree]
whole	सम्पूर्ण [sampoorn]
wish	आवश्यकता [aavashyakataa]
art	कला [kalaa]
artist	कलाकार [kalaakaar]
concert	संगीत सभा
design	रूप [roop]
diversity	भिन्नता [bhinnataa]
entertainment	मनोरंजन [manoranjan]
hit	लोकप्रिय [lokapriy]
image	छवि [chhavi]
ink	स्याही [syaahee]
manner	विशेष प्रकार की आकृति प्रदान करना
movie	झिल्ली [jhillee]
museum	संग्रहालय [sangrahaalay]
music	संगीत [sangeet]
note	स्वर [svar]
orchestra	वादक समूह
paint	रंग [rang]
painting	चित्र [chitr]
paper	कागज [kaagaj]
pen	कलम [kalam]
pencil	पेंसिल [pensil]
picture	प्रतिबिंब [pratibimb]
poem	कविता [kavitaa]
poetry	कविता [kavitaa]
rhythm	धड़कन [dhadakan]
singer	गायक [gaayak]
song	गाना [gaanaa]
stage	मंच [manch]
style	ढंग [dhang]
vogue	फैशन [phaishan]
account	खाता [khaataa]
advantage	बढ़त [badhat]
advertisement	विज्ञापन [vigyaapan]
advice	सलाह [salaah]
agreement	क़रार
attention	ध्यान [dhyaan]
authority	अधिकार [adhikaar]
banknote	बीजक
bargain	समझौता [samajhautaa]
business	व्यापार [vyaapaar]
capital	पूंजी
change	छुट्टा पैसा [chhuttaa paisaa]
cheque	चेक [chek]
committee	समिति [samiti]
company	कम्पनी [kampanee]
competition	प्रतियोगिता में भाग लेना [pratiyogitaa men bhaag lenaa]
complaint	आरोप [aarop]
cost	मोल [mol]
council	परिषद [parishad]
course	सबक [sabak]
customer	ग्राहक [graahak]
department	विभाग [vibhaag]
difficulty	कठिनाई [kathinaaee]
director	प्रबंधक [prabandhak]
economy	अर्थव्यवस्था [arthavyavasthaa]
environment	पर्यावरण [paryaavaran]
experience	अनुभव [anubhav]
firm	व्यापारिक कंपनी
form	प्रारूप [praaroop]
group	झुण्ड [jhund]
help	मदद [madad]
holiday	अवकाश के दिन
income	आय [aay]
industry	व्यवसाय [vyavasaay]
insurance	बीमा [beemaa]
interest	हित [hit]
invoice	विवरण [vivaran]
job	काम [kaam]
law	कानून [kaanoon]
leave	छुट्टी [chhuttee]
loss	अभाव [abhaav]
management	निर्देशन [nirdeshan]
mark	मार्कर
market	बाज़ार [baazaar]
material	सामग्री [saamagree]
mean	पैसा [paisaa]
meeting	मीटिंग [meeting]
money	मुद्रा [mudraa]
occupation	व्यवसाय [vyavasaay]
offer	प्रस्ताव [prastaav]
officer	अफ़सर [afasar]
operation	प्रक्रिया [prakriyaa]
owner	स्वामी [svaamee]
package	पार्सल [paarsal]
payment	शोधन [shodhan]
plan	योजना [yojanaa]
price	मूल्य [mooly]
problem	समस्या [samasyaa]
profit	लाभ [laabh]
property	सम्पत्ति [sampatti]
rate	दर [dar]
rest	बाकी [baakee]
reward	पारितोषिक [paaritoshik]
right	अधिकार [adhikaar]
sale	बिक्री [bikree]
section	अंग [ang]
service	कार्य सेवा
share	साझेदार [saajhedaar]
shop	दुकान [dukaan]
skill	कौशल [kaushal]
staff	स्टाफ [staaph]
support	आधार [aadhaar]
table	सारणी [saaranee]
tax	कर [kar]
team	टीम [teem]
trade	व्यापार [vyaapaar]
value	मूल्य [mooly]
work	काम [kaam]
worker	मजदूर [majadoor]
announcement	घोषणा [ghoshanaa]
answer	उत्तर [uttar]
approval	अनुमोदन [anumodan]
argument	दलील [daleel]
book	किताब [kitaab]
call	फोन करने की क्रिया
character	चिह्न [chihn]
controversy	तकरार [takaraar]
cry	पुकार [pukaar]
data	डेटा [detaa]
decision	निर्णय [nirnay]
dictionary	शब्दकोश [shabdakosh]
discussion	चर्चा [charchaa]
doubt	संदिग्धता [sandigdhataa]
experience	अनुभव [anubhav]
feeling	संवेदनशीलता [sanvedanasheelataa]
idea	विचार [vichaar]
information	सूचना [soochanaa]
interest	रस [ras]
interview	भेंट [bhent]
language	भाषा [bhaashaa]
language	भाषा [bhaashaa]
letter	अक्षर [akshar]
letter	पत्र [patr]
lie	झूठ [jhooth]
look	दृष्टि [drushti]
magazine	पत्रिका [patrikaa]
mail	डाक [daak]
memory	स्मृति [smruti]
memory	याद [yaad]
mistake	गलती [galatee]
name	नाम [naam]
newspaper	समाचार पत्र
note	नोट [not]
number	संख्या [sankhyaa]
opinion	विचार [vichaar]
page	पृष्ठ [prushth]
pronunciation	उच्चारण [uchchaaran]
proposal	प्रस्ताव [prastaav]
protest	नकार पत्र
question	प्रश्न [prashn]
reason	कारण [kaaran]
relation	लोगों और देशों के बीच में संपर्क एवं संवाद
request	अनुरोध [anurodh]
secret	भेद [bhed]
sentence	वाक्य [vaaky]
speech	भाषा [bhaashaa]
spelling	वर्तनी [vartanee]
standard	कसौटी [kasautee]
statement	(varnana)
subject	प्रजा [prajaa]
suggestion	प्रस्ताव [prastaav]
voice	आवाज [aavaaj]
word	शब्द [shabd]
writing	लेखन [lekhan]
good day	नमस्त (namaste)
good luck	शुभ कामना (shubh kamna!),
good morning	नमस्ते ((to one person), नमस्कार ((to several persons))
hello	स्वागत [svaagat]
how are you	आप कैसे हैं (āp kaise h͠ai?), कैसे हो (kaise ho?)
no	नहीं [naheen]
thank you very much	बहुत बहुत धन्यवाद (bahut bahut dhan'yavād)
yes	हां [haan]
Britain	संयुक्त राजशाही
China	चीन [cheen]
Czech Republic	चेक गणराज्य
France	फ़्रांस गणराज्य
Germany	जर्मनी संघीय गणराज्य
India	भारत गणराज्य
Italy	इटली
Japan	जापान [jaapaan]
Spain	किंगडम ऑफ़ स्पेन
United States of America	संयुक्त राज्य अमेरिका
camera	कैमरा [kaimaraa]
camera	कैमरा [kaimaraa]
cellular phone	मोबाइल फोन
clock	घड़ी [ghadee]
computer	कम्प्यूटर
elevator	लिफ्ट [lipht]
engine	इंजन [injan]
instrument	उपकरण [upakaran]
machine	मशीन [masheen]
oven	भट्टी [bhattee]
television	टेलीविजन
watch	घड़ी [ghadee]
class	वर्ग [varg]
education	शिक्षा [shikshaa]
education	शिक्षा [shikshaa]
examination	परीक्षा [pareekshaa]
grade	परीक्षा आदि में स्थान
knowledge	जानकारी [jaanakaaree]
student	छात्र [chhaatr]
teacher	शिक्षक [shikshak]
training	प्रशिक्षण [prashikshan]
fear	भय [bhay]
hate	नापसंद
love	प्रेम [prem]
pleasure	आनन्द [aanand]
shock	सदमा [sadamaa]
care	देख-रेख [dekh-rekh]
cold	जुकाम [jukaam]
cough	खांसी
disease	बीमारी [beemaaree]
doctor	डाक्टर [daaktar]
nurse	नर्स [nars]
operation	अभियान [abhiyaan]
pain	दर्द [dard]
patient	मरीज़ [mareez]
stitch	टांका
blade	पत्ती [pattee]
chain	श्रृंखला [shrrunkhalaa]
club	डंडा [dandaa]
feather	पंख [pankh]
flag	झंडा
frame	चौखट [chaukhat]
handle	मूठ [mooth]
nut	लोहे की ढिबरी
pin	पिन [pin]
pipe	नलिका [nalikaa]
postage	डाक शुल्क
present	पेश करना [pesh karanaa]
sail	पाल [paal]
scroll	लपेट
seed	बीज [beej]
stick	लकड़ी [lakadee]
stone	पत्थर [patthar]
ticket	टिकट [tikat]
wheel	पहिया [pahiyaa]
wire	तार [taar]
balance	संतुलन [santulan]
bulk	विशाल [vishaal]
charge	बिजली [bijalee]
energy	ऊर्जा [oorjaa]
light	प्रकाश [prakaash]
mass	परिमाण [parimaan]
measurement	माप करना
mirror	दर्पण [darpan]
movement	गति [gati]
pressure	दबाव या दाब का बोझ या मात्रा या भार
process	प्रक्रिया [prakriyaa]
size	आकार [aakaar]
sound	घोष [ghosh]
steam	भाप [bhaap]
strength	बल [bal]
time	कुछ समय तक
unit	इकाई [ikaaee]
weight	भार [bhaar]
boyfriend	युवा मित्र
date	नियुक्ति [niyukti]
guest	अतिथि [atithi]
honey	संकाय अध्यक्ष
kiss	चुम्बन [chumban]
party	दावत [daavat]
smile	मुस्कान [muskaan]
surprise	आश्चर्य [aashchary]
visit	मुलाकात [mulaakaat]
alternative	विकल्प [vikalp]
biology	जीवविज्ञान
cause	कारण [kaaran]
chemistry	रसायन शास्त्र
comparison	तुलना [tulanaa]
consequence	परिणाम [parinaam]
control	संचालन करना [sanchaalan karanaa]
discipline	अनुशासन [anushaasan]
discovery	खोज [khoj]
event	घटना [ghatanaa]
evidence	साक्ष्य [saakshy]
example	उदाहरण [udaaharan]
fact	तथ्य [tathy]
kernel	तत्व [tatv]
method	प्रणाली [pranaalee]
model	नमूना [namoonaa]
phase	चरण [charan]
procedure	कार्यविधि [kaaryavidhi]
production	उत्पादन [utpaadan]
program	योजना [yojanaa]
project	परियोजना [pariyojanaa]
range	दायरा [daayaraa]
research	शोध [shodh]
research	पूछताछ [poochhataachh]
science	विज्ञान [vigyaan]
society	समाज [samaaj]
system	निकाय [nikaay]
technology	प्रौद्योगिकी [praudyogikee]
theory	सिद्धांत [siddhaant]
trend	प्रवृति [pravruti]
trouble	परेशानी [pareshaanee]
user	उपभोक्ता [upabhoktaa]
army	सेना [senaa]
base	आधार [aadhaar]
club	खेल इत्यादि का क्लब
company	संगति [sangati]
contest	प्रतियोगिता [pratiyogitaa]
country	देश [desh]
court	अदालत [adaalat]
crime	अनुचित कार्य
culture	सभ्यता [sabhyataa]
democracy	गणतंत्र
dominion	प्रभुत्व [prabhutv]
election	चुनाव [chunaav]
existence	अस्तित्व [astitv]
government	शासन [shaasan]
history	इतिहास [itihaas]
individual	विशिष्ट [vishisht]
institution	संस्था भवन
king	राजा [raajaa]
member	सदस्य [sadasy]
nation	राष्ट्र [raashtr]
order	आदेश [aadesh]
organization	संगठन [sangathan]
pass	पास [paas]
passport	पासपोर्ट [paasaport]
peace	अमन [aman]
people	जनता [janataa]
police	सिपाहियों का दल
policy	नीति [neeti]
population	आबादी [aabaadee]
public	जन साधारण [jan saadhaaran]
punishment	दण्ड का तरीका
religion	धर्म [dharm]
religion	धर्म [dharm]
state	सार्वभौमिक राष्ट्र
union	मेल [mel]
will	इच्छा [ichchhaa]
will	विधान [vidhaan]
award	पुरस्कार [puraskaar]
ball	गेंद [gend]
baseball	बेसबॉल
bike	साइकिल [saaikil]
championship	प्रतियोगिता [pratiyogitaa]
competitor	प्रतियोगी [pratiyogee]
cup	कप [kap]
game	गेम
goal	गोल [gol]
goal	मंज़िल [manzil]
gold	सोना [sonaa]
golf	गोल्फ [golph]
jump	कूद [kood]
match	मैच [maich]
record	किसी वस्तु या व्यक्ति के सम्बन्धित अतीत का ज्ञान
silver	चांदी
tennis	टेनिस [tenis]
throw	फेंकना [phenkanaa]
win	जीत [jeet]