English	Korean
gate	출입구 [chulipgu]
hall	로비 [robi]
home	집 [jip]
house	주택 [jutaek]
kitchen	부엌 [bueok]
roof	지붕 [jibung]
room	방 [bang]
shower	샤워 [syawo]
step	층계 [cheunggye]
toilet	화장실 [hwajangsil]
wall	담 [dam]
well	우물 [umul]
window	창 [chang]
bed	침대 [chimdae]
carpet	깔개 [kkalgae]
chair	의자 [uija]
cupboard	벽장 [byeokjang]
curtain	커튼 [keoteun]
desk	책상 [chaeksang]
furniture	가구 [gagu]
shelf	선반 [seonban]
sink	세면기 [semyeongi]
table	식탁 [siktak]
bag	자루 [jaru]
boot	장화 [janghwa]
cloth	직물 [jikmul]
clothing	의류 [uiryu]
coat	외투 [oetu]
collar	깃 [git]
hat	모자 [moja]
jacket	짧은 웃옷 [jjalpeun utot]
jewel	보석 [boseok]
ring	반지 [banji]
shirt	셔츠 [syeocheu]
shoe	구두 [gudu]
skirt	치마 [chima]
sock	양말 [yangmal]
suitcase	여행 가방 [yeohaeng gabang]
tie	넥타이 [nektai]
air	공기 [gonggi]
animal	동물의 [dongmului]
branch	가지 [gaji]
evolution	발전 [baljeon]
farm	농장 [nongjang]
field	들 [deul]
fire	불꽃 [bulkkoc]
flower	꽃 [kkoc]
forest	숲 [sup]
grass	잔디 [jandi]
leaf	잎 [ip]
life	생명 [saengmyeong]
lightning	번개 [beongae]
moisture	습기 [seupgi]
nature	자연 [jayeon]
plant	식물 [sikmul]
root	뿌리 [ppuri]
sex	성 [seong]
sky	하늘 [haneul]
sleep	잠 [jam]
smell	냄새 [naemsae]
smoke	연기 [yeongi]
spring	원천 [woncheon]
stem	줄기 [julgi]
stream	흐름 [heureum]
tree	나무 [namu]
wave	물결 [mulgyeol]
weather	날씨 [nalssi]
world	지구 [jigu]
airport	비행장 [bihaengjang]
bank	은행 [eunhaeng]
bridge	다리 [dari]
building	건축물 [geonchukmul]
capital	수도 [sudo]
castle	성 [seong]
church	교회 [gyohoe]
cinema	영화관 [yeonghwagwan]
city	도시 [dosi]
factory	공장 [gongjang]
flat	아파트 [apateu]
hospital	병원 [byeongwon]
hotel	호텔 [hotel]
library	라이브러리 [raibeureori]
park	공원 [gongwon]
prison	교도소 [gyodoso]
restaurant	식당 [sikdang]
road	길 [gil]
school	학교 [hakgyo]
station	국 [guk]
street	거리 [geori]
structure	건설 [geonseol]
subway	지하철 [jihacheol]
supermarket	슈퍼마켓 [syupeomaket]
theater	극장 [geukjang]
town	읍 [eup]
village	마을 [maeul]
boat	보트 [boteu]
bus	버스 [beoseu]
car	자동차 [jadongcha]
express	급행 열차 [geuphaeng yeolcha]
flight	날기 [nalgi]
journey	여행 [yeohaeng]
passenger	승객 [seunggaek]
plane	비행기 [bihaenggi]
ship	비행선 [bihaengseon]
track	철로 [cheolro]
train	기차 [gicha]
transport	수송 [susong]
actor	배우 [baeu]
businessman	실업가 [sileopga]
expert	전문가 [jeonmunga]
general	장군 [janggun]
journalist	신문 기자 [sinmun gija]
judge	재판관 [jaepangwan]
leader	지도자 [jidoja]
minister	장관 [janggwan]
musician	음악가 [eumakga]
photographer	사진사 [sajinsa]
pilot	수로 안내인 [suro annaein]
policeman	경찰관 [gyeongchalgwan]
politician	정치인 [jeongchiin]
president	대통령 [daetongryeong]
professional	직업 선수 [jikeop seonsu]
representative	대표자 [daepyoja]
sailor	선원 [seonwon]
scientist	과학자 [gwahakja]
secretary	비서 [biseo]
servant	하인 [hain]
soldier	군인 [gunin]
writer	작가 [jakga]
bank	둑 [duk]
beach	해변 [haebyeon]
direction	방향 [banghyang]
Earth	지구 [jigu]
east	동쪽 [dongjjok]
height	고도 [godo]
hill	언덕 [eondeok]
island	섬 [seom]
lake	호수 [hosu]
land	육지 [yukji]
map	지도 [jido]
Moon	위성 [wiseong]
north	북쪽 [bukjjok]
plain	평원 [pyeongwon]
river	강 [gang]
sea	바다 [bada]
south	남쪽 [namjjok]
space	우주 [uju]
star	항성 [hangseong]
sun	해 [hae]
west	서쪽 [seojjok]
cloud	구름 [gureum]
dew	이슬 [iseul]
fog	안개 [angae]
frost	서리 [seori]
rain	비 [bi]
rainbow	무지개 [mujigae]
snow	눈 [nun]
storm	폭풍우 [pokpungu]
thunder	우레 [ure]
wind	바람 [baram]
acid	산 [san]
chemical	화학 약품 [hwahak yakpum]
chemical element	원소 [wonso]
coal	석탄 [seoktan]
dust	먼지 [meonji]
earth	지구 [jigu]
fat	지방 [jibang]
glass	유리 [yuri]
glue	아교 [agyo]
ice	얼음 [eoleum]
iron	철 [cheol]
leather	가죽 [gajuk]
liquid	액체 [aekche]
matter	물질 [muljil]
metallic element	금속 [geumsok]
oil	석유 [seokyu]
poison	독 [dok]
powder	가루 [garu]
sand	모래 [morae]
silk	명주실 [myeongjusil]
soap	비누 [binu]
steel	강철 [gangcheol]
wood	목재 [mokjae]
wool	양모 [yangmo]
bag	자루 [jaru]
basket	바구니 [baguni]
bottle	병 [byeong]
box	상자 [sangja]
can	깡통 [kkangtong]
cup	컵 [keop]
drawer	서랍 [seorap]
envelope	봉투 [bongtu]
glass	컵 [keop]
plate	접시 [jeopsi]
bell	종 [jong]
button	단추 [danchu]
gun	총 [chong]
hammer	해머 [haemeo]
hook	걸이 [geoli]
key	열쇠 [yeolsoe]
lock	자물쇠 [jamulsoe]
match	성냥 [seongnyang]
nail	못 [mot]
needle	바늘 [baneul]
pump	펌프 [peompeu]
rope	로프 [ropeu]
scissors	가위 [gawi]
spring	태엽 [taeyeop]
stamp	도장 [dojang]
whip	채찍 [chaejjik]
addition	덧셈 [deotsem]
angle	각도 [gakdo]
area	면적 [myeonjeok]
circle	원 [won]
curve	곡선 [gokseon]
degree	고도 [godo]
difference	차이 [chai]
distance	거리 [geori]
division	분할 [bunhal]
edge	가장자리 [gajangjari]
element	원소 [wonso]
function	기능 [gineung]
half	반 (ban)
limit	한계 [hangye]
line	선 [seon]
net	망 [mang]
outside	외부 [oebu]
percent	율 [yul]
point	점 [jeom]
purpose	목적 [mokjeok]
result	결과 [gyeolgwa]
rule	통제 [tongje]
set	집합 [jiphap]
side	변두리 [byeonduri]
square	정사각형 [jeongsagakhyeong]
square	제곱 [jegop]
substitution	교환 [gyohwan]
surface	표면 [pyomyeon]
total	액수 [aeksu]
bility	능력 [neungryeok]
act	행동 [haengdong]
action	행동 [haengdong]
activity	활동성 [hwaldongseong]
addition	부가 [buga]
attack	공격 [gonggyeok]
attempt	시도 [sido]
behavior	처신 [cheosin]
bit	조금 [jogeum]
blow	타격 [tagyeok]
break	중단 [jungdan]
campaign	군사 행동 [gunsa haengdong]
case	사례 [sarye]
chance	기회 [gihoe]
change	변경 [byeongyeong]
choice	선택 [seontaek]
condition	상태 [sangtae]
connection	커넥터 [keonekteo]
crack	갈라진 틈 [galrajin teum]
cut	자르기 [jareugi]
damage	피해 [pihae]
decoration	장식품 [jangsikpum]
destruction	파괴 [pagoe]
dominance	지배 [jibae]
drop	방울 [bangul]
effort	노력 [noryeok]
fall	함락 [hamrak]
feature	특징 [teukjing]
fight	전투 [jeontu]
front	정면 [jeongmyeon]
hole	터진 구멍 [teojin gumeong]
increase	성장 [seongjang]
increase	증대 [jeungdae]
internet	가상 공간 [gasang gonggan]
jolt	진동 [jindong]
kick	차다 [chada]
kind	종류 [jongryu]
knot	매듭 [maedeup]
list	리스트 [riseuteu]
majority	대다수 [daedasu]
matter	주제 [juje]
mind	마음 [maeum]
operation	시행 [sihaeng]
outburst	돌발 [dolbal]
part	일부 [ilbu]
part	일부 [ilbu]
piece	한 장 [han jang]
place	현장 [hyeonjang]
position	위치 [wichi]
power	힘 [him]
practice	실행 [silhaeng]
project	과업 [gwaeop]
property	속성 [sokseong]
quality	질 [jil]
quiet	침착 [chimchak]
responsibility	책임 [chaekim]
rest	휴식 [hyusik]
return	귀가 [gwiga]
rise	대두 [daedu]
risk	위험 [wiheom]
seat	좌석 [jwaseok]
set	한 벌 [han beol]
silence	조용함 [joyongham]
situation	상황 [sanghwang]
slice	조각 [jogak]
state	상태 [sangtae]
step	발소리 [balsori]
stop	멈춤 [meomchum]
taste	미각 [migak]
thing	물체 [mulche]
top	절정 [jeoljeong]
touch	닿기 [dahgi]
treatment	취급 [chwigeup]
tremble	떨림 [tteolrim]
trick	속임수 [sokimsu]
way	방법 [bangbeop]
wear	해어짐 [haeeojim]
whole	하나의 통일체 [hanaui tongilche]
will	의지 [uiji]
wish	필요한 것 [pilyohan geot]
art	미술 [misul]
artist	예술가 [yesulga]
brush	솔 [sol]
color	색 [saek]
concert	음악회 [eumakhoe]
design	밑그림 [mitgeurim]
diversity	다름 [dareum]
entertainment	오락 [orak]
hit	성공 [seonggong]
image	관념 [gwannyeom]
ink	잉크 [ingkeu]
manner	행동 방식 [haengdong bangsik]
movie	엷은 막 [yeolpeun mak]
museum	박물관 [bakmulgwan]
music	음악 [eumak]
note	음 [eum]
orchestra	오케스트라 [okeseuteura]
paint	도료 [doryo]
painting	유화 [yuhwa]
paper	종이 [jongi]
pen	펜 [pen]
pencil	연필 [yeonpil]
picture	그림 [geurim]
poem	시 [si]
poetry	시 [si]
rhythm	박자 [bakja]
shape	폼
singer	가수 [gasu]
song	노래 [norae]
stage	무대 [mudae]
style	문체 [munche]
vogue	유행 [yuhaeng]
account	채무 명세서 [chaemu myeongseseo]
advantage	이점 [ijeom]
advertisement	광고 [gwanggo]
advice	조언 [joeon]
agreement	계약 [gyeyak]
attention	주의 [juui]
authority	권능 [gwonneung]
banknote	지폐 [jipye]
bargain	계약 [gyeyak]
brand	상표 [sangpyo]
business	상점 [sangjeom]
businesswoman	여자 실업가 (yeoja sireopga)
capital	자본 [jabon]
change	잔돈 [jandon]
cheque	수표 [supyo]
committee	위원회 [wiwonhoe]
company	회사 [hoesa]
competition	경쟁 업체 [gyeongjaeng eopche]
complaint	불평 [bulpyeong]
contract	계약 [gyeyak]
council	자문 위원회 [jamun wiwonhoe]
course	수업 [sueop]
customer	고객 [gogaek]
department	부서 [buseo]
difficulty	어려움 [eoryeoum]
director	지배인 [jibaein]
economy	경제 [gyeongje]
environment	환경 [hwangyeong]
experience	경험 [gyeongheom]
firm	회사 [hoesa]
form	용지 [yongji]
group	떼 [tte]
help	원조 [wonjo]
holiday	휴가 [hyuga]
income	수입 [suip]
industry	제조업 [jejoeop]
insurance	보험료 [boheomryo]
interest	이자 [ija]
invoice	대차 계정 [daecha gyejeong]
job	직업 [jikeop]
law	법 [beop]
leave	휴가 [hyuga]
loss	손실 [sonsil]
management	안내 [annae]
mark	표지 [pyoji]
market	시장 [sijang]
material	재료 [jaeryo]
mean	중간 값 [junggan gapt]
meeting	만남 [mannam]
money	돈 [don]
occupation	직업 [jikeop]
offer	제공 [jegong]
officer	공무원 [gongmuwon]
operation	조작 [jojak]
owner	소유자 [soyuja]
package	짐 [jim]
payment	보상 [bosang]
plan	방법 [bangbeop]
price	가격 [gagyeok]
problem	난제 [nanje]
product	제품 [jepum]
profit	이윤 [iyun]
property	소유물 [soyumul]
rate	시세 [sise]
rest	나머지 [nameoji]
reward	보상 [bosang]
right	권리 [gwonri]
sale	판매 [panmae]
section	지구 [jigu]
service	봉사 [bongsa]
share	주식 [jusik]
shop	상점 [sangjeom]
skill	숙련 [sukryeon]
staff	직원 [jikwon]
structure	구조 [gujo]
success	성공 [seonggong]
support	지지 [jiji]
table	표 [pyo]
tax	세금 [segeum]
team	팀 [tim]
trade	통상 [tongsang]
value	가치 [gachi]
work	일 [il]
worker	육체 노동자 [yukche nodongja]
announcement	발표 [balpyo]
answer	대답 [daedap]
approval	승인 [seungin]
argument	이유 [iyu]
book	(책의) 권
call	통화 [tonghwa]
character	문자 [munja]
controversy	논쟁 [nonjaeng]
cry	외침 [oechim]
data	데이터 [deiteo]
decision	결정 [gyeoljeong]
dictionary	사전 [sajeon]
discussion	토론 [toron]
doubt	의심스러움 [uisimseureoum]
experience	체험 [cheheom]
feeling	감정 [gamjeong]
humor	유머 [yumeo]
idea	의견 [uigyeon]
interest	흥미 [heungmi]
interview	인터뷰 [inteobyu]
language	언어 [eoneo]
language	국어 [gukeo]
letter	문자 [munja]
letter	편지 [pyeonji]
lie	거짓말 [geojitmal]
look	보기 [bogi]
magazine	잡지 [japji]
mail	우편물 [upyeonmul]
memory	기억력 [gieokryeok]
memory	추억 [chueok]
mistake	실수 [silsu]
name	이름 [ireum]
newspaper	신문 [sinmun]
note	주석 [juseok]
number	수 [su]
opinion	견해 [gyeonhae]
page	쪽 [jjok]
pronunciation	발음 [baleum]
proposal	신청 [sincheong]
question	질문 [jilmun]
reaction	반응 [baneung]
reason	이유 [iyu]
relation	관계 [gwangye]
request	요구 [yogu]
secret	비밀 [bimil]
sentence	문장 [munjang]
sign	부호 [buho]
speech	언어 [eoneo]
spelling	철자 (cheolja)
standard	표준 [pyojun]
statement	성명서 [seongmyeongseo]
subject	주제 [juje]
suggestion	제안 [jean]
voice	목소리 [moksori]
word	낱말 [natmal]
writing	쓴 것 [sseun geot]
good day	안녕하세요 [annyeonghaseyo]
good luck	행운을 빕니다 [haenguneul bipnida]
happy birthday	생일 [saengil]
hello	이봐 [ibwa]
how are you	처음 뵙겠읍니다 [cheoeum boepgeteupnida]
many thanks	감사합니다 [gamsahapnida]
no	아니오 (anio), 아뇨 (anyo)
thank you very much	감사드립니다 [gamsadeuripnida]
what is your name	성함이 어떻게 되세요 [seonghami eotteohge doeseyo]
yes	암 [am]
you're welcome	천만에요 [cheonmaneyo]
Britain	GB
China	중국 [jungguk]
Czech Republic	체코 공화국 [cheko gonghwaguk]
France	프랑스 [peurangseu]
Germany	독일 [dokil]
India	인도 [indo]
Italy	이탈리아 [italria]
Japan	일본 [ilbon]
Spain	스페인 [seupein]
United States of America	미국 [miguk]
camera	카메라 [kamera]
camera	카메라 [kamera]
cellular phone	휴대/이동 전화
clock	시계 [sigye]
computer	컴퓨터 [keompyuteo]
elevator	승강기 [seungganggi]
engine	엔진 [enjin]
instrument	기계 [gigye]
machine	기계 [gigye]
oven	오븐 [obeun]
television	텔레비전 수상기 [telrebijeon susanggi]
watch	시계 [sigye]
class	종류 [jongryu]
education	교육 [gyoyuk]
education	교육 [gyoyuk]
examination	시험 [siheom]
grade	점수 [jeomsu]
knowledge	인식 [insik]
student	학생의 [haksaengui]
teacher	교사 [gyosa]
training	수습 [suseup]
fear	두려움 [duryeoum]
hate	증오 [jeungo]
love	애정 [aejeong]
pleasure	즐거움 [jeulgeoum]
promise	희망 [huimang]
shock	쇼크
care	보호 [boho]
cold	감기 [gamgi]
cough	기침 [gichim]
disease	병 [byeong]
doctor	의사 [uisa]
health	건강 상태 [geongang sangtae]
menstruation	월경 [wolgyeong]
nurse	간호인 [ganhoin]
operation	작용 [jakyong]
pain	아픔 [apeum]
patient	환자 [hwanja]
stitch	한 바늘 [han baneul]
blade	칼날 [kalnal]
card	카드 [kadeu]
chain	쇠사슬 [soesaseul]
club	곤봉 [gonbong]
feather	깃털 [gitteol]
flag	기 [gi]
frame	틀 [teul]
handle	손잡이 [sonjapi]
menu	차림표 [charimpyo]
pin	핀 [pin]
postage	우표 [upyo]
present	선물 [seonmul]
scroll	한 타래 [han tarae]
seed	씨 [ssi]
stick	지팡이 [jipangi]
stone	암석 [amseok]
ticket	표 [pyo]
wheel	바퀴 [bakwi]
wire	철사 [cheolsa]
balance	침착 [chimchak]
bulk	크기 [keugi]
charge	전하 [jeonha]
energy	원기 [wongi]
light	빛 [bic]
mass	덩어리 [deongeori]
measurement	측정 [cheukjeong]
mirror	거울 [geoul]
movement	운동 [undong]
pressure	압력 [apryeok]
process	과정 [gwajeong]
size	크기 [keugi]
sound	음파 [eumpa]
steam	수증기 [sujeunggi]
strength	힘 [him]
time	시간 [sigan]
unit	단위 [danwi]
weight	무게 [muge]
boyfriend	남자 친구 [namja chingu]
date	약속 [yaksok]
girlfriend	여자친구 (yeojachingu)
guest	손님 [sonnim]
honey	사랑하는 사람 [saranghaneun saram]
kiss	입맞춤 [ipmatchum]
party	잔치 [janchi]
smile	미소 [miso]
surprise	놀람 [nolram]
visit	방문 [bangmun]
alternative	대안 [daean]
biology	생물학 [saengmulhak]
cause	원인 [wonin]
chemistry	화학 [hwahak]
consequence	결과 [gyeolgwa]
control	억제 [eokje]
discipline	훈련 [hunryeon]
discovery	발견 [balgyeon]
event	사건 [sageon]
evidence	증거 [jeunggeo]
example	견본 [gyeonbon]
fact	사실 [sasil]
issue	토의 [toui]
kernel	본질 [bonjil]
method	방법 [bangbeop]
phase	단계 [dangye]
procedure	절차 [jeolcha]
production	생산 [saengsan]
program	프로그램 [peurogeuraem]
project	기획 [gihoek]
range	구역 [guyeok]
research	연구 [yeongu]
research	심리 [simri]
science	과학적 지식 [gwahakjeok jisik]
society	인류 [inryu]
system	계통 [gyetong]
technology	기술 [gisul]
theory	이론 [iron]
trend	경향 [gyeonghyang]
trouble	걱정거리 [geokjeonggeori]
user	사용자 [sayongja]
army	군대 [gundae]
base	주성분 [juseongbun]
club	클럽 회관 [keulreop hoegwan]
company	교우 [gyou]
contest	시합 [sihap]
country	국가 [gukga]
court	법정 [beopjeong]
crime	위반 [wiban]
culture	문화 [munhwa]
democracy	공화국 [gonghwaguk]
dominion	통치권 [tongchigwon]
election	선거 [seongeo]
existence	존재 [jonjae]
government	정부 [jeongbu]
history	역사 [yeoksa]
individual	개인 [gaein]
institution	공공 단체 [gonggong danche]
king	왕 [wang]
member	회원 [hoewon]
nation	국가 [gukga]
noise	소음 [soeum]
order	명령 [myeongryeong]
organization	조직체 [jojikche]
passport	여권 [yeogwon]
peace	평온 [pyeongon]
people	세상 사람들 [sesang saramdeul]
police	경찰대 [gyeongchaldae]
policy	정책 [jeongchaek]
population	인구 [ingu]
public	민중 [minjung]
punishment	형벌 [hyeongbeol]
religion	신앙 [sinang]
religion	믿음 [miteum]
state	나라 [nara]
title	제목 [jemok]
union	합동 [hapdong]
will	의지 [uiji]
will	유언 [yueon]
award	훈장 [hunjang]
ball	공 [gong]
baseball	야구 [yagu]
bike	자전거 [jajeongeo]
championship	선수권 대회 [seonsugwon daehoe]
competitor	경쟁자 [gyeongjaengja]
cup	우승컵 [useungkeop]
football	축구 [chukgu]
game	놀이 [noli]
goal	골에 공을 넣기 [gole gongeul neohgi]
goal	목적지 [mokjeokji]
gold	금 [geum]
golf	골프 [golpeu]
jump	뛰기 [ttwigi]
match	경기 [gyeonggi]
player	경기자 [gyeonggija]
record	최고 기록 [choego girok]
silver	은 제품 [eun jepum]
tennis	테니스 [teniseu]
throw	던지기 [deonjigi]
win	승리 [seungri]