Korean	﻿English
요리하다 [yorihada]	cook
복사하다 [boksahada]	copy
기침하다 [gichimhada]	cough
압착하다 [apchakhada]	crush
소리내어 울다 [sorinaeeo ulda]	cry
결정하다 [gyeoljeonghada]	decide
표현하다 [pyohyeonhada]	describe
설계하다 [seolgyehada]	design
...을 원하다	desire
죽다 [jukda]	die
발견하다 [balgyeonhada]	discover
토론하다 [toronhada]	discuss
갈라지다 [galrajida]	divide
의심하다 [uisimhada]	doubt
운전하다 [unjeonhada]	drive
포함하다 [pohamhada]	embrace
용기를 북돋다 [yonggireul bukdotda]	encourage
끝나다 [kkeutnada]	end
강화하다 [ganghwahada]	enhance
즐기다 [jeulgida]	enjoy
들어가다 [deuleogada]	enter
설립하다 [seolriphada]	establish
어림잡다 [eorimjapda]	estimate
초과하다 [chogwahada]	exceed
존재하다 [jonjaehada]	exist
기다리다 [gidarida]	expect
설명하다 [seolmyeonghada]	explain
싸우다 [ssauda]	fight
가득 채우다 [gadeuk chaeuda]	fill
알아내다 [alanaeda]	find
자유롭게 하다 [jayuropge hada]	free
up 항복하다 (hangbokhada)	give
자라다 [jarada]	grow
일어나다 [ileonada]	happen
몹시 싫어하다 [mopsi silheohada]	hate
숨기다 [sumgida]	hide
잡다 [japda]	hold
식별하다 [sikbyeolhada]	identify
포함하다 [pohamhada]	include
증대하다 [jeungdaehada]	increase
상처 입히다 [sangcheo iphida]	injure
소개하다 [sogaehada]	introduce
연결하다 [yeongyeolhada]	join
유지하다 [yujihada]	keep
차다 [chada]	kick
죽이다 [jukida]	kill
상륙하다 [sangryukhada]	land
견디다 [gyeondida]	last
안내하다 [annaehada]	lead
놓고 가다 [nohgo gada]	leave
허락하다 [heorakhada]	let
들다 [deulda]	lift
한정하다 [hanjeonghada]	limit
충전하다 [chungjeonhada]	load
자물쇠를 채우다 [jamulsoereul chaeuda]	lock
...인 것 같다	look
잃다 [ilhda]	lose
경영하다 [gyeongyeonghada]	manage
결혼하다 [gyeolhonhada]	marry
어울리다 [eoulrida]	match
...할 작정이다	mean
재다 [jaeda]	measure
말하다 [malhada]	mention
놓치다 [nohchida]	miss
...을 ...이라고 부르다	name
소유하다 [soyuhada]	own
on 넘겨주다 [neomgyeojuda]	pass
껍질을 벗기다 [kkeopjileul beotgida]	peel
독살하다 [doksalhada]	poison
...을 닦다	polish
차리다 [charida]	prepare
누르다 [nureuda]	press
...이 일어나지 못하게 하다	prevent
인쇄하다 [inswaehada]	print
처리하다 [cheorihada]	process
이익을 얻다 [iikeul eotda]	profit
항의하다 [hanguihada]	protest
증명하다 [jeungmyeonghada]	prove
...을 발행하다	publish
양육하다 [yangyukhada]	raise
평가하다 [pyeonggahada]	rate
받다 [batda]	receive
녹음하다 [nokeumhada]	record
삭감하다 [sakgamhada]	reduce
반사하다 [bansahada]	reflect
거절하다 [geojeolhada]	refuse
치우다 [chiuda]	remove
되돌려주다 [doedolryeojuda]	render
대답하다 [daedaphada]	reply
보고하다 [bogohada]	report
대표하다 [daepyohada]	represent
요청하다 [yocheonghada]	request
경의를 표하다 [gyeonguireul pyohada]	respect
밝히다 [balkhida]	reveal
감행하다 [gamhaenghada]	risk
통치하다 [tongchihada]	rule
줄이다 [julida]	save
구하다 [guhada]	save
...을 알아채다	see
여기다 [yeogida]	see
...을 보내다	send
...을 꿰매다	sew
공유하다 [gongyuhada]	share
소리지르다 [sorijireuda]	shout
...를 보이다	show
냄새를 풍기다 [naemsaereul punggida]	smell
지내다 [jinaeda]	spend
서다 [seoda]	stand
머무르다 [meomureuda]	stay
도용하다 [doyonghada]	steal
정지하다 [jeongjihada]	stop
공부하다 [gongbuhada]	study
괴로와하다 (koerowahada)	suffer
제안하다 [jeanhada]	suggest
공급하다 [gonggeuphada]	supply
후원하다 [huwonhada]	support
...을 불시에 덮치다	surprise
맛을 보다 [mateul boda]	taste
가르치다 [gareuchida]	teach
시험하다 [siheomhada]	test
사의를 표하다 [sauireul pyohada]	thank
던지다 [deonjida]	throw
장사하다 [jangsahada]	trade
훈련하다 [hunryeonhada]	train
가다 [gada]	travel
다루다 [daruda]	treat
시도하다 [sidohada]	try
회전시키다 [hoejeonsikida]	turn
방문하다 [bangmunhada]	visit
걷다 [geotda]	walk
따뜻하게 하다 [ttatteuthage hada]	warm
빨다 [ppalda]	wash
...을 보다	watch
...을 몸에 걸치다	wear
무게가 ...이다	weigh
...에 이기다	win
