English	Serbian
Sumerian	Сумерски језик (Sumerski jezik)
Sweden	Шведска
Swedish	шведски/švedski, швеђански/šveđanski
Tanganyika	Тангањика (f)
Tanzania	Танзанија (Tanzanija)
Tbilisi	Тбилиси
Telugu	телугу 
Ten Commandments	Десет Божјих заповести (f'p)
Teutonic Knights	Тевтонски ред
Thai	Тајландски (Tajlandski)
Thetis	Тетида
Third Reich	Трећи рајх (m)
Thomas	Томаш
Titan	титан (m) (titan)
Twin Towers	Светски трговински центар (m)
US	САД (f)
Urban	Урбан
Ursa Major	Велики медвед (m) (Veliki medved)
Ursa Minor	Мали медвед (m) (Mali medved)
Uzbek	узбечко (n) (uzbečko)
VAT	PDV
Venus	Венера
Vietnamese	вијетнамски, vijetnamski 'm sg/pl'; вијетнамска, vijetnamska 'f sg and n pl'; вијетнамске, vijetnamske 'f pl'; вијетнамско, vijetnamsko 'n sg'
Vishnu	Вишну (Višnu)
Waffen	Вафен-СС
Western Europe	Западна Европа (f); Zapadna Evropa (f)
Yangtze	Јангцекјанг
Yaoundé	Јаунде (Jaunde)
Yap	Јап (m) (Jap)
Yerevan	Јереван (m); Jerevan (m); Ереван (m); Erevan (m)
Yucatán	Јукатан
Zealand	Zeland
a bird in the hand is worth two in the bush	боље врабац у руци него голуб на грани (bolje vrabac u ruci nego golub na grani)
a lie has no legs	у лажи су кратке ноге (u laži su kratke noge)
a little bird told me	шапнула ми птичица (šapnula mi ptičica)
abandoned	напуштен (m) (napušten)
abbot	игуман (m) (iguman); опат (m) (opat)
abbreviation	скраћеница (f) (skraćenica)
abdication	абдикација (f) (abdikacija)
above all	пре свeгa (pre svega)
absence	odsustvo (n)
absolute zero	апсолутна нула (apsolutna nula)
abstinence	uzdržljivost, samoodricanje, uzdržavanje, umerenost, trezvenost, trezvenjaštvo
absurd	Apsurd
acanthus	bodljikara (f), primog (m), tratorak (m)
accent	naglasak (m)
accurately	tačno; тачно
accusative	акузатив (akuzativ) (m)
accuser	tužilac
acid	kiseo
aconite	једић (jedić)
acrobatics	акробатика (f) (akrobátika)
acromegaly	акромегалија (f) (akromegalija)
actinium	актиниjум (aktinijum) (m)
actor	glumac (m); glumica (f)
add	сабрати; додати
add fuel to the fire	доливати уље на ватру (dolivati ulje na vatru)
admiralty	адмиралитет (m) (admiralitet)
admiration	дивљење '(divljenje)' (n)
adopt	усвојити (usvojiti)
adoptee	посвојче (n), нахранче (n), нахранко (m), нахранка (f), усвојеник (m), усвојеница (f)
adult	odrastao, punoletan
adulterer	preljubnik
advantage	предност (f) ('prednost')
adventure	pustolov (m); pustolovina (f)
advertisement	oglas, objavljenje, izveštenje
adze	bradva, bradvica, tesla, teslica
aetiology	етиологија (f)
after	за; za; иза; iza
agency	агенција (f) (agencija)
aircraft	vazduhoplov
al	ал-Каида (al-Kaida)
alarm clock	будилник (m) (budilnik)
alkyne	алкин (m)
all the best	све најбоље (sve najbolje)
alms	milostinja
alpine chough	жутокљуна галица (f) (žutokljuna galica)
although	mada
altimeter	visinomer (m)
aluminium	алуминиjум (m) (aluminijum)
am	sam; jesam
amber	jantar (m)
ambition	častoljublje (n)
ambivalence	podeljenost (f)
ambrosia	амброзија
ambulance	bolničarska kola, hitna pomoć
americium	америциjум (m) (americijum)
ammunition	municija (f)
ampersand	амперсенд (ampersend)
analgesic	аналгетик (m)
anarchism	анархизам '(anarhizam)' (m)
ancestor	predak (m), praotac (m), pretka (f), predkinja (f), pramajka (m), praroditelj
anchor	kotva (f); sidro (n)
and	и; i
anime	аниме
animosity	animozitet (m)
anion	анјон (m) (anjon)
annexation	анексија (f) (aneksija); анексирање (n) (aneksiranje)
anniversary	godišnjica (f)
answer	јавити
anthropomorphic	antropomorfan
antimony	антимон (antimon) (m)
antler	рог (m) (rog)
antonym	odveznica
anxiety	strepnja (f)
apology	извињење (n) (izvinjenje)
applause	пљесак (m) (pljesak)
apple	jabukovina (f)
apple does not fall far from the tree	iver ne pada daleko od klade
apron	pregača (f), zaprega (f), opregača (f)
aqueduct	vodovod
archaeologist	археолог (m) (arheolog)
archer	lukostrelac, strelac, streličar
archipelago	острвље (n)
areola	ареола (areola)
argon	аргон (m) (argon)
armchair	naslonjača (f)
armistice	primirje (n)
arsenic	арсен (arsen) (m)
arsonist	potpaljivač (m); palikuća (m)
article	članak (m)
artificial	veštački
artist	уметник (m) (umetnik)
ash	jasenovina (f)
ashtray	pepeljara (f)
asphalt	asfalt
assembly	skupština (f)
asshole	шупак (m); šupak (m)
astatine	астат (astat) (m)
astrophysics	астрофизика (f) (astrofizika)
at last	најзад (najzad)
at once	истовремено (istovremeno); одједном (odjednom)
at sign	мајмун (m), лудо А
attic	tavan, podkrovlje, potkrovnica
auto	auto-
autocracy	samodržavlje, samovlašće, samovlast
autocrat	samodržac, samovladar
awl	šilo
baa	блејања (n) (blejanje)
baby boomer	беби бум генерација
bachelor party	momačko veče
backpack	ranac
backside	zadnjica (f)
bad luck	zlostreća (f)
bad news	лоше вести (f)
bald	ćelav
bamboo	trskovača (f)
banknote	novčanica (f)
bar	тозиб (m) (ozib)
barber	брица (m) (brica)
barcode	бар код (m); bar kod (m)
barium	бариум (barium) (m)
bark	лајати (lajati)
barley	јечам
barn owl	кукувиjа (kukuvija)
basalt	базалт (m)
baseball	бејзбол (bejzbol)
bastard	kopile (n)
bat	слепи миш (m) (slepi miš); netopir (m); šišmiš (m)
bathroom	zahod (m), kupatilo (n), kupaonica, kupaona
bathtub	kada
bathyscaphe	батискаф (m)
battlefield	bojište
bazaar	tržnica (f)
be all ears	претворити се у уво (pretvoriti se u uvo)
beast	zver (f), čudovište (n), životinja (f), zverka (f)
beauty	lepotica (f); lepojka (f)
beehive	pčelinjak (m)
beekeeper	pčelar (m)
beetroot	cvekla (цвекла)
beg	moliti; zamoliti
behold	posmatrati, gledati
berkelium	беркелиjум (berkelijum) (m)
best man	девер (m) (dever)
bet	opklada (m)
betray	izdajnički, izdajstvo
bill	кљун (m) (kljun)
binary star	двојна звезда (f) (dvojna zvezda); бинарна звезда (f) (binarna zvezda)
binoculars	dvogled (m), dogled (m), durbin (m), dalekozor (m), dalekogled (m)
binomial nomenclature	биномијална номенклатура (f)
bipolar disorder	манично-депресивна психоза
birth	rođenje; rožastvo 
bisexuality	biseksualnost (f) (бисексуалност)
bismuth	бизмут (bizmut) (m)
bitch	psica (f); kučka (f); suka (f); kuja (f)
bittersweet	gorkosladak
black	црнац (m) (crnac); црнкиња (f) (crnkinja)
black grouse	тетреб (мали) (tetreb (mali)) (m)
black hole	црна рупа (crna rupa) (f)
black woodpecker	црна жуна (crna žuna)
blackbird	кос (kos)
blackmail	ucena (f)
blade	rezalo (n), sečivo (n), oštrica (f)
blanket	ћебе
blender	mešalica (f), mešalo (f), sokovnik (m) (italbrac'juicer)
blindness	slepilo (n); slepoća (f)
blister	plik (m); žulj (m)
blitzkrieg	блицкриг (m) (blickrig)
blood is thicker than water	крв није вода (krv nije voda)
bloodshed	krvoproliće (n)
bloodthirsty	krvoločan; krvožedan
blow	sušilica (f)
body	cjelina (f)
bohrium	бориjум (borijum) (m)
bolt	zavrtanj
bon appétit	prijatno
bonsai	бонсаи (m) (bonsai)
bookworm	књишки мољац (m)
booze	цуга (f) (cuga)
border	graničnik (f)
boron	бор (bor)
bosom	nedra, prsa
both	оба (sr) (oba) m, обе (sr) (obe) f
bottle	флаширати (flaširati)
bow	naklon, pognuti, klanjati
bowl	činija (f), zdela (f)
boy	дечак (dečak) (m)
bra	грудњак (m) (grudnjak)
bracelet	наруквица (f) (narukvica)
braid	kika (f), pletenica (f)
brain	мозак (m)
branch	grana (f), vejka (f) (leafless branch)
brass	med (f)
breakfast	doručkovati
breast	sisa (f); grudi
breed	rasa; soj (m); pasmina (f); loza (f)
breviary	časoslov (m)
brewery	pivara (f)
bribe	митити (mititi); подмитити (podmititi); поткупити (potkupiti); потплатити (potplatiti)
brick	опека
bridegroom	mladoženja (m); ženik (m)
bridesmaid	deveruša (f)
brine	саламура (f) (salamura)
bromine	бром (brom) (m)
brothel	bordel (m)
brown dwarf	смеђи патуљак (m) (smeđi patuljak)
browse	прегледати (pregledati)
browser	pretraživač (m)
brush	naneti
buddy	друшкан (m) (druškan)
buffalo	биво (bivo) (m)
bulb	čebuljica (f)
bulk	gromada
bulldog	samsov
bun	zemička (f)
bundle	smotuljak (m); svežanj (m)
buoy	plovak (m)
burn	опекотина (f) (opekotina)
business card	posetnica (f)
busy	прометан (prometan)
but	sem
butcher	месар (m) (mesar)
butt	kundak (m)
butter	маслац (maslac) (m)
buy	prihvatiti
buzzard	мишар (m)
by the Grace of God	po milosti Božjoj
by the way	узгред буди речено (uzgred budi rečeno)
cabin	kajuta (f); kajita (f)
cadmium	кадмиjум (kadmijum) (m)
caesium	цезиjум (cezijum) (m)
cake	kolač (m)
calcium	калциjум (kalcijum) (m)
calculator	računalo (n)
californium	калифорниjум (kalifornijum) (m)
calligrapher	krasnopisac (m), krasnopisatelj (m), krasopisac (m), krasopisatelj (m), kransnopisateljica (f), krasopisateljica (f)
calorie	калорија (f) (kalorija)
calumny	kleveta (f)
camomile	kamilica
camouflage	камуфлажа (kamuflaža) (f)
camp	tabor; logor
campaign	pohod (m)
candelabrum	svećnjak (m), voskarnica (f), voštarnica (f)
cannibal	ljudožder (m)
capacitor	кондензатор (m) (kondenzator)
capacity	nosivost
capercaillie	тетреб (велики) (tetreb (veliki))
captive	sužanj (n); zarobljenik (m); zarobljenica (f)
carcass	lešina; truplo
carnival	poklade
carnivore	mesožder, mesojedac, mesojed
carousel	вртешка (f) (vrteška); обртаљка (f) (obrtaljka)
cascade	slap (m)
case	кућиште (n) (kućište)
cash	gotovina (f)
casino	kockarnica (f)
castle	замaк (m); zamak (m)
castling	рокада (rokada)
cataract	мрена (f) (mrena)
cation	катјон (m) (katjon)
causality	uzročnost (f)
caveman	pećinar (m), pećinarka (f)
cell phone	мобилни телефон (m)
center	средиште (n) (središte)
century	stotina
cerium	церијум (cerijum) (m)
certainly	наравно (naravno); несумњиво (nesumnjivo)
certainty	izvesnost (f)
chaff	pleva (f)
chain	lanac (m), veruga (f), verige (f'p)
chain mail	верижњача (f) (verižnjača)
chamber pot	nokšir
champion	prvak (m); pobednik (m)
championship	prvenstvo
change	zamena (f)
changing room	svlačionica (f)
character	lik (m)
characteristic	osobina (f); značajka (f)
charity	dobrodavstvo, dobrodavanje
chassis	шасија (f) (šasija)
chastity	celomudrenost, čednost, neporočnost
cheap	јефтин (m); jeftin (m)
cheers	zivio ziveli, ziveli
chervil	krbuljica
chicken	kokoš (f); kokoška (f); petao (m); pevac (m); pile (n)
child	dete (n); čedo (n)
childhood	detinjstvo (n)
chimney	dimnjak (m)
chimney sweep	димничар (m) (dimničar); димњачар (m) (dimnjačar)
chlorine	хлор (m) (hlor)
choose	odlučiti; odabrati
chord	akord
chronicle	letopis (m)
chutzpah	дрскост; дрчност
circumference	obim (m)
circumstance	околност (f) (okolnost)
citizen	građanka (f) (грађанка); građanin (m) (грађанин)
civilization	civilizacija
clairvoyance	видовитост, vidovitost
clam	шкољка (f) (školjka)
clan	zadruga (f), rod (m), svojta (f), bratstvo (n)
clarinet	кларинет (m) (klarinet)
class	stalež (m)
claustrophobia	клаустрофобија (klaustrofobija)
clavicle	ključnjača (f)
clematis	pavit (m), pavitina (f), skrobut (m)
clergy	sveštenstvo (n)
clerk	pisar (m), beležnik (m), pisarica (f), beležnica (f)
cliff	litica (f); hrid
clinical psychology	клиничка психологија (klinička psixologija)
cloak	plašt (m), ogrtač (m)
clothes	одећа 
clothing	odeća (f); odežda (f)
coachman	kočijaš (m)
cobalt	кобалт (kobalt) (m)
coccyx	trtica (f), trtičnjača (f)
cock	кукурику (kukuriku)
cockroach	бубашваба
cocoon	čahura (f)
coffee pot	ибрик за кафу (ibrik za kafy)
cognitive psychology	когнитивна психологија (kognitivna psixologija)
coincidence	случајност
collect	sakupljati
colliery	рудник угља (m)
columbine	kandilka
column	stubac (m), stupac (m)
commander in chief	војсковођа (m) (vojskovođa)
common gull	сиви галеб (sivi galeb)
compass	компас (kompas) (m)
composition	skladba (f)
compote	kompot
compound word	složenica
computer	рачунар (m) računar (m)
computer language	програмски језик (m)
comrade	друг / drug
condescending	sneshodljiv
conductor	konduktor (m), sprovodnik (m), provodnik (m)
cone	stožac, čunj
confectionery	посластичарница (f) (poslastičarnica )
confederation	конфедерација (f) (konfederacija)
conference	sednica (f)
confession	исповед (f) (íspoved); исповест (f) (íspovest)
confessional	исповедаоница (f) (ispovedaonica)
confidential	poverljivo
connective tissue	везивно ткиво (vezivno tkivo)
connote	implicirati
conqueror	osvajač (m), zavojevač (m), savlađivač (m)
conscience	savest (f)
conspiracy	zavera (f)
conspirator	zaverenik (m)
constitution	ustav (m)
consumer	потрошач (m) (potrošač)
continental drift	померање континената (n)
continental shelf	шелф (m); континентална полица (f)
contradiction	противречје (n) (protivrečje); противречност (n) (protivrečnost)
copernicium	коперницијум
copra	копра (f)
core	jezgro (n), srž (f)
cork	pluta (f)
corkscrew	izvijač (m), vadičep (m)
cornea	rožnjača (f), rožnica (f)
corpulent	корпулентно
correctly	tačno; тачно
corset	steznik (m)
costume	ношња (f) (nošnja)
couch	ležaj (m)
counter	protivnapad (m)
counterfeit	лажан (m) (lažan); неаутентичан (m) (neautentičan)
country	sc=Cyrl; selo (n); dedinje (n)
coup	prevrat (m)
cradle	kolevka, ljuljka
cream	smetana (f), skorup (m)
creation	mirozdanje, stvaranje, tvorba
creator	tvorac, stvoritelj, stvaralac, stvaraoc
crescent	polumesec (m)
crest	uvor
crib	krevetac, jasle
crime	zločin (m)
cross the Rubicon	прећи Рубикон (preći Rubikon)
crowbar	ćuskija (f)
crystal	ledac (m)
cuckold	набити рогове (nabiti rogove)
cuckoo	кукавица (kukavica) (f)
cup	куп (kup)
cupboard	kredenac (m)
curiosity	znatiželjnost (f), znatiželja (f), radoznalost (f), ljubopitljivost (f), ljubopitnost (f), ljubopitstvo (n)
curiosity killed the cat	radoznalost je ubila mačku
curium	кириjум (kirijum) (m)
curve	облина (f) (oblina)
cushion	ublažiti
customer	kupovac, kupac
cutlery	jedalo (n)
cylinder	valjak (m), stublina (f)
dachshund	jazavičar (m)
dacite	дацит
daily	дневне новине (f)
dam	nasip; brana; gat
dance	ples, igranka, tanac (m)
dance floor	подијум за плес (podijum za ples); подијум за игру (podijum za igru)
dandruff	perut (m)
dangerous	опасан (ópasan)
dark	mračno (n), mračan (m), mračna (f)
data	податак
date	састанак (m)
date palm	датула (f) (datula)
dative case	датив (dativ) (m)
dawn	sinuti, sinuće, osanjiti
day after tomorrow	preksutra
day before yesterday	прекјуче; prekjuče
deadly nightshade	велебиље
deaf	gluv; gluh
deafness	gluvoća (f), gluvost (f)
deathbed	samrt (2)
decade	десетлеће (n) (desetleće)
deep	дубок (dubok)
defendant	branjenik (m), branjenica (f)
den	brlog; jazbina; jama
denizen	житељ (m)
denominator	именилац (m) (imenilac)
deodorant	дезодоранс (m) (dezodorans)
dependent	nesamostalan (m), nesamostalna (f), zavisan (m), zavisna (f)
descendant	potomak (m)
desk	писаћи сто (m); радни сто (m)
destiny	sudbina (f)
device	uređaj (m) (уређај)
devilish	ђаволаст; враголаст
dialect	наречје (n); narečje (n)
diameter	prečnik (m)
diaphragm	пречага (f), ошит (m)
dichotomy	dihotomija (f)
diet	ishrana (f)
dining room	ručaonica (f), blagovaonica (f)
diode	диода (f) (dioda)
diphtheria	gušobolja (f)
director	reditelj, zborovodja (in a choir)
directory	imenik (m), именик (m)
disappear	нестајати (nestajati); нестати (nestati)
disappointment	razočarenje (n)
discrepancy	raskorak (m)
discuss	расправити (raspraviti)
discussion	rasprava (f); diskusija (f)
disease	болест; bolest (f); zaraza (f); obolenje (n)
disgust	гађење (gađenje) (n)
divide and conquer	завади па владај (zavadi pa vladaj)
divorce	razvod
dizziness	omamica (f)
doctor	lekar (m), lekarka (f), zdravnik (m), zdravnica (f)
documentation	документација; dokumentacija
dodecahedron	додекаедар; dodekaedar
doe	srna (f); košuta (f)
dog	pas#Serbian'pas (m), kučka (f), kuče (m), kuca (f) (dim.), džukela (f)
doge	дужд (m)
doghouse	štenara (f)
dogwood	дрен (m) (dren)
doll	lutka (f), kukla (f) (regional)
domicile	stanište; boravište
donation	поклон (poklon)
donor	davalac (m)
doomsday	sudnji dan (m)
doorknob	kvaka (f)
dormouse	пух (puh)
double	dvojnik (m); dvojnica (f)
dovecote	golubarnik
drag	вући (vući)
draught	promaja (f)
drawing	crtež (m)
drinking straw	slamka (f); slamčica (f); cevka (f); cevčica (f)
driver	vozač (m); vozačica (f)
dromedary	дромедар (dromedar) (m)
drone	трут (m) (trut)
dryer	sušilo (n), sušilica (f), sušionik (m)
dubnium	дубниjум (dubnijum) (m)
duel	dvoboj (m)
duet	dvopev (m)
dumb	мутав (m) (mutav); нем (m) (nem)
dungeon	донжон кула (m)
dusk	sumrak (m); suton (m)
dust	prah (m)
dwarf star	патуљаста звезда (f) (patuljasta zvezda)
dyslexia	дислексија
dysprosium	диспрозиjум (disprozijum) (m)
eagle owl	велика ушара (f), буљина (f)
ear	klas (m)
early	rano ('comparative' ranije, 'superlative' najranije)
earring	naušnica (f); minđuša (f)
earth	земља (f); zemlja (f)
earwig	uholaža (f); strižavka (f)
eavesdrop	prisluškivati
echo	jeka (f)
economics	економија (f)
economy	privreda (f)
ecotone	екотон (ekoton)
ecstasy	istupanje (n)
education	odgoj; obrazovanje
egoism	samoljublje (n)
eighty	osamdeset i šest, osamdeset šest
einsteinium	аjнштаjниjум (ajnštajnijum) (m)
election	Izbori (Izbori)
electronics	електроника
elegant	elegantno
elegy	narikača (f), žalopojka (f), tužbalica (f)
elevator	лифт (m) (lift)
elf	патуљак; patuljak
elsewhere	другамо (drugamo); другуд (drugud)
ember	žar (m), žeravica (f)
embryo	zametak (m)
emigration	iseljenje (n)
emotion	osećaj (m), čuvstvo (n)
employee	запосленик (m) (zaposlenik); послопримац (m) (posloprimac)
employer	poslodavac (m)
employment	zaposlenje, zaposlenost
engineer	машиновођа (m) (mašinovođa)
engrave	ugravirati
enjoy your meal	prijatno
enlightenment	prosvetljenje (n)
enough	доста (dosta)
environment	okolina (f); okruženje (n)
envy	zavideti
epidemic	rednja (f), pošast (f), epidemija (f)
epidermis	pokožica (f)
epilogue	pogovor (m)
epithelium	епително ткиво (n) (epitelio tkivo)
epitome	оваплоћење (ovaploćenje)
equality	ravnopravnost (f) (равноправност)
erbium	ербиjум (erbijum) (m)
ereyesterday	прекјуче; prekjuče
ermine	zerdav (m)
erosion	odron (m), odronjenje (n)
erudition	načitanost (f)
escalator	ескалатор (m) (eskalator)
eternal	večan, vekotrajan, vekovečan
eternity	večnost (f)
europium	еуропиjум (europijum) (m)
eve	predvečerje, predveče
event	zbivanje (n), događaj (m), dešavanje (n)
evil	зао (m) (zȁo); зла (f) (zlȁ); зло (n) (zlȍ)
evil eye	урокљиво око (urokljivo oko)
exactly	tačno; тачно
exclamation mark	uzvičnik (m)
excursion	ekskurzija
executioner	главосек (m) (glavosek); главосеча (m) (glavoseča); крвник (m) (krvnik); џелат (m) (dželat)
existence	bitisanje (n), postojanje (n)
exploit	израбити (izrabiti)
export	izvoziti
extent	степен (m) (stepen); размера (f) (razmera); обим (m) (obim)
extortion	iznuda (f)
extradite	изручити (izručiti)
eye for an eye	око за око, зуб за зуб (oko za oko, zub za zub)
eyelash	trepavica (f)
fable	basna, skazna
factor	činilac (m)
factory	tvornica (f); фабрика (f) (fabrika)
fairy tale	bajka
faithful	веран (m) (veran)
fallow deer	jелен лопатар (jelen lopatar)
fan	навијач (m); (m) обожавалац (m); (m) љубилац (m); (m)
fantastic	fantastično (n) (фантастично); fantastičan (m) (фантастичан); fantastična (f) (фантастична)
fare	путник (m) (putnik)
farm	kmetija, salaš
farmer	zemljodelac (m), zemljoradnik (m)
fathom	хват/hvat
fault	greška (f)
favor	usluga (f); molba (f)
fawn	srnče (n); lane (n)
feast	gozba (f); pir (m)
female	женка, ženka
feminism	feminizam (m) (феминизам)
feminist	feminista (f) (феминиста); feministkinja (f) (феминисткиња)
fermium	фермиjум (fermijum) (m)
ferret	vretna (f)
ferry	трајект (trajekt)
fetish	фетиш
fetus	фетус (m)
fever	грозница (f) (groznica)
fiancé	verenik (m), zaručnik (m)
fiancée	verenica (f)
fiasco	fijasko (m)
field	pašnjak (m), polje (n)
film	patina (f)
fin	peraja (f), plitva (f)
fir	јела (jela)
fire	ватра (f)
firewood	skosje (n)
firework	vatromet (m)
flamingo	plamenac (m)
flea	buva (f); buha (f)
flock	стадо (n) (stado)
flood	поплава (f)
flowerpot	cvećnjak (m), saksija (f)
fluent	tečan
fly	Cyrillic летети, Latin leteti
flying saucer	leteći tanjir (m)
fodder	крма; крмиво; сплачина; помиjа
fog	magla (f)
fold	савити 
food	храна (f) 
fool	dvorska luda (f), šutnik (m), šut (m), luda (f), luđak (m)
foosball	стони фудбал (stoni fudbal) (m)
foot	podnožje (n)
forearm	dolaktica (f), podlaktica (f)
foreign country	tuđina (f)
foreskin	predkožica, obrezak (m)
foreword	predgovor (m)
