Scottish	﻿English
Saighdear (m)	Sagittarius
Bodach na Nollaige (m)	Santa Claus
Di-sathurna (m)	Saturday
Lochlann (m)	Scandinavia
Alba (f)	Scotland
Sèarbais (f)	Serbian
Slàbhach (m)	Slav
Slàbhach	Slavic
Afraga a Deas; Poblachd Afraga a Deas	South Africa
Aimeireaga-a-Deas (f)	South America
An Spàinn (f)	Spain
Spàinneach (m)	Spaniard
Spàinneach (m)	Spanish
Sri Jayawardenapura	Sri Jayawardenepura Kotte
Stiobhan	Stephen
Di-domhnaich (m)	Sunday
Suaineach (m)	Swede
An t-Suain	Sweden
Suaineach	Swedish
Eilbheis (f)	Switzerland
lèine-T (f)	T
Taidigeastàn	Tajikistan
Tallinn	Tallinn
Tansainìa	Tanzania
Tbilisi	Tbilisi
Di-ardaoin	Thursday
Trianaid (f)	Trinity
Di-màirt (m)	Tuesday
Rìoghachd Aonaichte (f); Rìoghachd Aonaichte na Breatainn Mhòr agus Eirinn a Tuath (f)	United Kingdom
Na Stàitean Aonaichte (f'p), Na Stàitean Aonaichte na h-Aimeireaga (f'p)	United States of America
Usbagastàn	Uzbekistan
Ribhinn	Venus
A' Cuimrigh'Chuimrigh (f)	Wales
Di-ciadaoin (m)	Wednesday
Cuimris (f)	Welsh
Wikipedia; Uicipeid (f)	Wikipedia
bratach (f)	Wiktionary:Usability/flag
Uilleam	William
Cogadh Mòr (m)	World War I
Dara Cogadh Mòr (m)	World War II
caran	a little
mathan-sheangan (m)	aardvark
thoir suas	abandon
ban-aba (f)	abbess
abaid (f)	abbey
giorrachadh (m)	abbreviation
mu dheidhinn	about
amaideach	absurd
pailteas (m)	abundance
a rèir	according to
bogsa-ciùil (m)	accordion
searbhag (f)	acid
aictiniam	actinium
cluicheadair (m), cleasaiche (m), ban-chleasaiche (f), ban-chluicheadair (f)	actor
ban-actair (f)	actress
buadhair (m)	adjective
co-ghnìomhair (m)	adverb
itealan (m)	aeroplane
an dèidh	after
feasgar	afternoon
an dèidh sin; an dèidh làimhe	afterwards
a-rithist; às ùr	again
aois (f)	age
ionnsaigheach	aggressive
o chionn; air ais	ago
àiteachas (m)	agriculture
adhar (m), àile (m), gaoth (f)	air
itealan (m)	airplane
port-adhair (m)	airport
och, mo thruaighe, mo chreach, mo sgal	alas
ubagaiche (m)	alchemist
alcol (m); deoch làidir (f)	alcohol
feàrna (f); crann-fèarna (m)	alder
coigreach (m); coimheach (m); Gall (m)	alien
beò	alive
fad	all
aibidil (f)	alphabet
cheana; mu thràth; mar thà	already
cuideachd; mar an ceudna	also
altair (f)	altar
alùmanam; almain	aluminium
daonnan; an còmhnaidh	always
carbad-eiridinn (m)	ambulance
aimeiriciam	americium
muir-thìreach (m)	amphibian
'not used'	an
mion-rannsachadh (m)	analysis
sinnsear (m)	ancestor
acair (f)	anchor
àrsaidh	ancient
agus	and
fearg (f), corraich (f)	anger
ceàrn (m)	angle
fiadhaich	angry
beathach (m), ainmhidh (m)	animal
adhbrann (m)	ankle
freagair	answer
seangan (m)	ant
antamòn	antimony
frith-fhacal (m)	antonym
tòn (f); màs (m)	anus
lobhta (m); flat (m)	apartment
ascair (m); asgair (m)	apostrophe
ubhal (m)	apple
craobh-ubhail (f)	apple tree
mu chuairt air	approximately
apragod (m)	apricot
arc-eòlas (m); àrsaidheachd (f)	archaeology
àrsaidh	archaic
boghadair (m)	archer
innis-mhuir (f)	archipelago
ailteir (m), ailtire (m), dealbhadair thogalach (m)	architect
airgead	argent
argon	argon
geug (f), gàirdean (m)	arm
cathair mhòr (f), cathair ghàirdeanach, cathair-uilne (f), suidheachan mòr (m)	armchair
achlais (f)	armpit
armailt (m)	army
saighead (f), gath (f)	arrow
arsanaic	arsenic
cuisle (f), cuisle-fhala (f), cuisle-mhòr (f)	artery
bonn (m)	article
dealbhadair (m), dealbhaiche (m), ealantair (m), neach-ealain (m)	artist
cho	as
uinnseann (m)	ash
soitheach-luaithre (f)	ashtray
iarr	ask
creamh-na-muice-fiadhaich (m)	asparagus
màs (m); tòin (f)	ass
astaitain	astatine
speuradaireachd (f); reul-eòlas (m)	astronomy
co-dhiù; aig a' char as lugha	at least
dhiadhaireachd	atheism
dadam (m)	atom
buirbe (f), aingidheachd (f), uabhas (m)	atrocity
ionnsaigh (m)/(f)	attack
aire (f); suim (f)	attention
seòmar-mullaich (m)	attic
piuthar-athar (f); (f) (f)	aunt
ùghdar (m)	author
ùghdarras (m)	authority
foghar (m)	autumn
maoim-sneachda (f)	avalanche
dùisgte	awake
tuagh (f)	axe
leanabh (m), leanaban (m), naoidhean (m), pàisde (m)	baby
fleasgach (m), seana-ghille (m)	bachelor
air ais	back
tàileasg (m)	backgammon
feòil-mhuice (f)	bacon
dona; droch; olc	bad
broc (m)	badger
baga (m); poca (m); màla	bag
pìob (f); (f)	bagpipes
bèicear (m)	baker
banca (m), taigh-malairt (m), taigh-rèidh (m)	bank
not (m); nota (m)	banknote
briseadh (m)	bankruptcy
bratach (f)	banner
baisteadh (m)	baptism
bairiam	barium
comhartaich; tabhannaich	bark
eòrna (m)	barley
basalt	basalt
amar (m)	basin
ball-basgaid	basketball
ialtag (f)	bat
seòmar-ionnlaid (m), taigh-ionnlaid (m)	bath
seòmar-ionnlaid (m)	bathroom
bataraidh (m)	battery
tràigh	beach
gob (m)	beak
pònair (f)	bean
beir, giùlain	bear
feusag (f)	beard
ainmhidh (m); beathach (m)	beast
buail	beat
àlainn, bòidheach, brèagha, fèilleil, grinn, maiseach, rìomhach, sgèimheach	beautiful
àilleachd (f)	beauty
los-leathann (m); biobhair (m); beathadach (m)	beaver
oir	because
fàs	become
leabaidh (f)	bed
bògas na h-oidhche (m)	bedbug
seòmar-laighe (m)	bedroom
seillean (m)	bee
mairtfheòil (f)	beef
leann (m)	beer
cèir (f); cèir-sheillean (f)	beeswax
daol (m); daolag (f)	beetle
air cùlaibh	behind
balg (m), brù (f)	belly
beircèiliam	berkelium
dearc (f); sùbh (m)	berry
beirilliam	beryllium
le dùrachdan	best regards
feàrr	better
baidhsagal (m); rothair (m); rothar dà-chuibhleach (m); baic (m)	bicycle
mór'mòr	big
dà-chànanach; dà-theangach	bilingual
beath-eachdraidh (f)	biography
bith-eòlas (m)	biology
beith (f)	birch
eun (m)	bird
co-latha breith (m); là-breith (m)	birthday
briosgaid (f)	biscuit
easbaig (m)	bishop
biosmat	bismuth
galla; strìopach; nighean na galla	bitch
dubh	black
smeur (f)	blackberry
lon dubh	blackbird
bòrd-dubh (m)	blackboard
màl dubh (m)	blackmail
gobha (m)	blacksmith
leig fuil; leum	bleed
Dia leat	bless you
dall	blind
bloigh (f)	blog
fuil (f)	blood
sèid	blow
gorm	blue
braoileag (f)	blueberry
torc (m)	boar
bàta (m)/(f)	boat
corp (m)	body
boiriam	bohrium
goil	boil
boma (m)	bomb
cnàimh (m)	bone
leabhar (m)	book
bùth-leabhraichean (f)	bookshop
bòtann (m)	boot
liosta	boring
bòron	boron
luibh-eòlas (m)	botany
botal (m)	bottle
bogha (m); slatag (f)	bow
bobhla (m); cuach (f)	bowl
bocsa (m)	box
dòrnaireachd	boxing
balach (m); balachan (m); gille (m)	boy
uchd-aodach (m)	bra
eanchainn (f)	brain
meur (f)	branch
misneachail	brave
aran (m)	bread
bris	break
broilleach (m); uchd (m)	breast
breig	brick
bean na bainnse (f), bean nuadh-phòsda (f)	bride
fear na bainnse (m), fear nuadh-pòsda (m)	bridegroom
drochaid (f)	bridge
geur; tuigseach; toinisgeil	bright
bròimin (m)	bromine
sguab (f)	broom
taigh-siùrsachd (m), taigh-strìopachais (m)	brothel
bràthair-cèile (m)	brother
donn	brown
sguab (f)	brush
buabhall (m)	buffalo
tog	build
togail (f)	building
tarbh (m)	bull
peilear (m)	bullet
seillean mòr (m)	bumblebee
losgadh (m)	burn
bus (m)	bus
trang	busy
ach	but
feòladair (m)	butcher
ìm (m)	butter
dearbadan-de, dealan-dé	butterfly
ceannaich	buy
clamhan (m); àrmhaigh (m)	buzzard
le	by
eadar dà sgeul	by the way
càl (m)	cabbage
caidmiam	cadmium
caeisiam	caesium
breacag (f), aran milis (m), bonnach (m), bannag (f)	cake
cailciam	calcium
mìosachan (m)	calendar
calpa (m)	calf
calafoirniam	californium
cana (m)	can
canàl (m)	canal
canèiridh (f)	canary
aillse (f)	cancer
tagraiche (m)	candidate
clòimh mhilis (f)	candy floss
airgead-calpa (m)	capital
prìomh-bhaile	capital city
calpachas (m)	capitalism
carbad (m)	car
gual (m)	carbon
carbon dà-ogsaid (m); gualan dà-ogsaid (m)	carbon dioxide
feòil-itheadair (m)	carnivore
saor (m)	carpenter
curran (m)	carrot
tuiseal (m)	case
caisteal (m)	castle
cat#Scottish Gaelic'cat (m)	cat
gnè (f); seòrsa (m); seòrsa (m)	category
burras (m)	caterpillar
àrd-eaglais (f); cathair-eaglais (f); prìomh-eaglais (f)	cathedral
crodh (m)	cattle
adhbhar (m)	cause
uamh (f)	cave
fois-losgaidh (f)	ceasefire
mullach (m)	ceiling
cealla (f)	cell
fòn-làimh	cell phone
ionad (m)	center
deas-gnàth (m)	ceremony
ceiriam	cerium
cuibhreach (m)	chain
cathair (f)	chair
neach-na-cathrach (m'f)	chairman
cailc (f)	chalk
gaisgeach (m)	champion
cothrom (m)	chance
mùth; atharraich	change
caibideil (m)	chapter
caractar (m)	character
pluic (f)	cheek
slàinte	cheers
càise (m)	cheese
siris(t) (f)	cherry
tàileasg (m); fidhcheall (m)	chess
broilleach (m); cliabh (m)	chest
castan (m)	chestnut
cnuasaich	chew
isean (m); eireag (f); bigean (m); pùdach (m)	chick
cearc	chicken
pàisde (m); leanabh (m)	child
similear (m)	chimney
smiogaid (m)	chin
clòirin	chlorine
teòclaid (f)	chocolate
taghadh (m)	choice
còisir (f)	choir
tagh	choose
cròimiam	chromium
eaglais (f)	church
siogàr (m)	cigar
toitean (m); toiteag (f)	cigarette
cearcall (m)	circle
saoranach (m)	citizen
saoranachd (f)	citizenship
baile mòr (m), dùn (m)	city
taibhsearachd (f); dà-fhradharc (m); dà-shealladh (m)	clairvoyance
clàirneid (f)	clarinet
clas (m)	class
ìne (f)	claw
crèadh (f)	clay
iuchair (f)	clef
tapaidh; glic	clever
aimsir (f)	climate
brillean	clitoris
gleoc (m)	clock
dlùth; faisg	close
aodach (m)	cloth
aodach (m)	clothes
neul (m); sgòth (f)	cloud
seamrag (f)	clover
cròilean (m)	club
cladach (m)	coast
còta (m)	coat
còbalt	cobalt
coileach (m)	cock
cofaidh (m)	coffee
ciste (f), ciste-mhairbhe (f)	coffin
fuachd (m)	cold
an cogadh fuar	cold war
trus	collect
caolan mòr (m)	colon
capall (m), bromach (m), loth (f), lothag (f), searrach (m), biorach(-eich) (m)	colt
lus a' chlamain	columbine
colbh (m)	column
cìr (f)	comb
cath; còmhrag (f)	combat
thig	come
co-mhaoineas (m)	communism
co-mhaoineach (m); comannach (m)	communist
companaidh (m)	company
cairt-iùil (f); combaist (f)	compass
coimpiutair (m); rianadair (m); annalair (m)	computer
campa bàis (m)	concentration camp
cruadhtan (m)	concrete
co-fhlaitheas (m)	confederation
còmhdhail (f)	conference
còmhrag (f)	conflict
meal do naidheachd; meal ur naidheachd	congratulations
naisgear (m)	conjunction
cogais (f)	conscience
connrag (f); consan (m)	consonant
bun-reachd (m)	constitution
co-aimsireil	contemporary
lean air	continue
srian; ceannsaich	control
còmhradh (m); agallamh (m)	conversation
bruich	cook
briosgaid (f)	cookie
fionnar	cool
copar	copper
oisinn (f)	corner
corp (m)	corpse
trannsa (f)	corridor
casad (m)	cough
iarla (m)	count
dùthchail, tìreil	country
tapachd (f)	courage
co-ogha (m)	cousin
mart (m)	cow
cladhaire (m); gealtaire (m)	coward
cladhaireachd (f)	cowardice
partan (m)	crab
creathall (f)	cradle
muileag (f)	cranberry
corra-mhonaidh (f)	crane
às a chiall	crazy
uachdar (m)	cream
cairt-iasaid (f); cairt-creideis (f)	credit card
craigear (m); criogaid (f)	cricket
eucoir (f)	crime
eucoireach (m)	criminal
crogall (m)	crocodile
crois	cross
feannag (f)	crow
crùn (m)	crown
gairm; ràn	cry
cuthag (f); cuach (f)	cuckoo
dualchas (m); cultar (m)	culture
pit (f)	cunt
cupa (m); copan (m)	cup
preas (m)	cupboard
cùriam	curium
sruth (m)	current
cùirtear (m)	curtain
pillean (m)	cushion
cleachdadh (m)	custom
bòidheach, grinn	cute
rothaidheachd (f)	cycling
boban (m), dadaidh (m)	daddy
lus a' chrom-chinn (m)	daffodil
biodag (f), cuinnsear (m)	dagger
làitheil	daily
coire (f)	damage
danns	dance
dorchadas (m)	dark
dubh (m)	darkness
stòr-dàta (m)	database
ceann-latha (m)	date
tuiseal tabhartach (m)	dative case
bean-mhic (f), nighean-chèile (f)	daughter
latha (m)	day
an-earar	day after tomorrow
a bhòn-dè	day before yesterday
marbh	dead
bodhar	deaf
ionmhainn	dear
caochladh (m); eug (m)	death
fiach (m)	debt
deichead (m)	decade
fiadh	deer
daonfhlaitheas (m), sluagh-fhlaitheas (m)	democracy
deamhan (m)	demon
fiaclaire (m)	dentist
dubhachas (m), airteil (m), trom-inntinn (f), sprochd (m)	depression
tuairisgeul (m)	description
fàsach (m)	desert
drùis (f), baois (f), baoiseachd (f), feòlmhorachd (f)	desire
deasg (m)	desk
mìlsean (m); mìlse (f)	dessert
dualchainnt (f)	dialect
cac-shiubhal (m), a' bhuineach (f), spùt (m)	diarrhea
leabhar-latha (m)	diary
faclair (m)	dictionary
bàsaich; eug	die
caochladh (m); diofar (m)	difference
doirbh, mì-fhurasda, cruaidh, trom, duilich	difficult
cladhaich	dig
figear (m)	digit
seòmar-bìdh (m)	dining room
caca	dirty
trioblaid (f); galar (m); tinneas (m); euslaint (f)	disease
gràin (f)	disgust
fad às; iomallach	distant
dìg (f)	ditch
dèan	do
a bheil Beurla agad; a bheil Beurla agaibh	do you speak English
a bheil Gàidhlig agad; a bheil Gàidhlig agaibh	do you speak something
altrach-bheathaichean (m), lèigh-bheathach (m), lighiche-bheathaichean (m)	doctor
maoiseach (f)	doe
cù (m), madadh (m)	dog
leumadair (m); bèist-ghorm (f); deilf (f); muc-bhiorach (f)	dolphin
tiodhlac (m)	donation
asal (f)	donkey
dorus (m)	door
dallag (f)	dormouse
cuir teagamh	doubt
taois (f)	dough
calman#Scottish Gaelic'calman (m), smùdan (m)	dove
sìos; a-bhuas; a-bhàn; a-nuas	down
luchdaich a-nuas	download
dusan (m)	dozen
nathair-sgiathach (f)	dragon
tarbhan-nathrach (m), cuileag-lasrach (f)	dragonfly
tarraing	draw
èideadh (m)	dress
òl	drink
braon (m)	drop
air mhisg	drunk
tioram	dry
duibniam	dubnium
tunnag (f); lach (f)	duck
diùc (m)	duke
buachar (m)	dung
ciaradh (m)	dusk
duslach (m); dust (m); stùr (m)	dust
còir (f)	duty
doille-fhaclan (f)	dyslexia
diospròisiam	dysprosium
post-dealain (m)	e
me	e.g.
gach#Scottish Gaelic'gach	each
iolair (f)	eagle
cailleach-oidhche-mhòr (f)	eagle owl
cluas (f)	ear
faillean (m)	eardrum
talamh; tìr (f)	earth
crith-thalmhainn (f)	earthquake
ear	east
soirbh; furasda	easy
ith	eat
ath-sgal (m); mac-talla (m)	echo
dubhadh (m)	eclipse
eag-eòlas (m)	ecology
iomall (m); oir (f)	edge
foghlaim (m), teagasg (m)	education
easgann (f)	eel
iomairt (f)	effort
uighean (m)	egg
ochd (m); (m)	eight
ochd; deug	eighteen
ochdamh	eighth
ceithir; fichead; ochdad	eighty
einstèiniam	einsteinium
taghadh (m)	election
ailbhean (m)	elephant
aon; deug	eleven
sìthiche, luspardan, tàcharan	elf
faireachdainn (f); reachd (f)	emotion
àrd-rìgh (m); Ceusair	emperor
cosnaiche (m); neach-obrach (m)	employee
falamh; fàs	empty
eàrr (m)	end
brìgh (f), neart (m)	energy
einnsean (m)	engine
einnseanair (m)	engineer
gu leòr	enough
eud (m)	enthusiasm
cèis (f); cèis-litreach (f)	envelope
eud (m)	envy
eirbiam	erbium
neas (f); neas mhòr (f)	ermine
drùis-mhiannach	erotic
mearachd (f); iomrall (m)	error
msaa	etc.
eoraipiam	europium
feasgar (m)	evening
tuiteamas (m)	event
a h-uile	every
olc (m), aingidheachd (f), urchaid (f), truaighe (f)	evil
clisg-phuing (m)	exclamation mark
gabh mo leisgeul	excuse me
cosgail; daor	expensive
marbh	expired
abairt (f)	expression
sùil (f)	eye
mala (f)	eyebrow
rosg (m)	eyelash
rosg (m)	eyelid
aghaidh (f); aodann (m); gnùis (f)	face
taigh-oibre (m), taigh-gnìomhachais (m), taigh-ceàirde (m), taigh-tionnsgain (m)	factory
sìthiche (m); bean-shìdh (f); sluagh sìdhe (m) 	fairy
seabhag (f)	falcon
tuit	fall
breugach	false
teaghlach (m)	family
tuathanas (m)	farm
tuathanach (m)	farmer
trasg (f)	fast
sult (m)	fat
athair-cèile (m)	father
eagal (m); uabhas (m); oillt (f)	fear
ite (f)	feather
faireachdainn (f)	feeling
boireannach (m), bean (f), tè (f)	female
boireann-dhligheachas (m)	feminism
feirmiam	fermium
raineach (f)	fern
neas (f); fearaid (f)	ferret
féill (f)	festival
fiabhras (m)	fever
suirgheach (m)	fiancé
raon (m)	field
còig; deug	fifteen
còigeamh	fifth
dà; fichead; 's; deich; naochad; leth-cheud 	fifty
cog, sabaid	fight
faigh; lorg; amais	find
meur (f); corrag (f)	finger
crìochnaich	finish
giuthas (m)	fir
teine (m)	fire
ciad; ceud	first
ainm-baistidh (m)	first name
iasg (m)	fish
còignear (m)	five
bratach (f)	flag
lasair (f)	flame
deargad (f), deargann (f)	flea
feòil (f)	flesh
ealt (f)	flock
làr (m); ùrlar (m)	floor
flùr (m); min (f)	flour
dìthean (m); flùr (m)	flower
cnatan mòr (m)	flu
fluairin	fluorine
cuisle-chiùil (f), cuislean (m)	flute
itealaich, dèan iteag, falbh air iteig	fly
searrach (m)	foal
ceò (m'f)	fog
lean	follow
biadh (m)	food
amadan (m), òinseach (f)	fool
troigh (f)	foot
ball-coise (m)	football
oir	for
mar eisimpleir	for example
àth (m)	ford
sgealbag (f)	forefinger
bathais (f)	forehead
coimheach, Gallda	foreign
coimheach (m); coigreach (m); Gall (m); eilthireach (m)	foreigner
coille (f)	forest
gu bràth	forever
forc (f); greimire (f)	fork
foirmle (f)	formula
dùn (m)	fortress
dà; fichead; ceathrad	forty
ceathrar (m)	four
ceithir; deug	fourteen
ceathramh	fourth
sionnach (m)	fox
frainciam	francium
saor	free
saorsa (f)	freedom
saorsa cainnte (f)	freedom of speech
reòth	freeze
bitheantas (m); tricead (m)	frequency
bràmair	friend
càirdeas (m)	friendship
muile-mhàg (f)	frog
à; às; bho; o	from
reothadh (m)	frost
meas (m), toradh (m)	fruit
a galla'ghalla!	fuck
stad-phuing (f)	full stop
èibhinn; àbhachdach	funny
àm ri teachd (m)	future
gadailiniam	gadolinium
Slighe Chlann Uisnich (f)	galaxy
gailliam	gallium
gaim	game
gàrradh (m)	garden
creamh (m)	garlic
peatrail	gasoline
geata (m)	gate
co-sheòrsach (m); co-ghnèitheach; gèidh; gille-tòine (m)	gay
neamhnaid (f)	gem
gnè (f)	gender
tuiseal ginideach (m)	genitive
sgrios-cinnidh (m)	genocide
eòlas-talmhainn (m)	geology
gearmainiam	germanium
faigh	get
sgàile (f); tannasg (m); taibhse (m)	ghost
famhair (m)	giant
tiodhlac (m)	gift
caileag (f); nighean (f); nighneag 	girl
thoir; tabhair	give
eigh-shruth (m)	glacier
glainne (f)	glass
blàthachadh na cruinne (m)	global warming
dòrnag (f), làmhainn (f)	glove
bàir (f)	goal
fear-bàire (m)	goalkeeper
gobhar	goat
dia (m)	god
òir	gold
iolair-bhuidhe (f)	golden eagle
ceàrd-òir (m)	goldsmith
golf (m)	golf
math (m)	good
latha math	good day
fortan leat 	good luck
madainn mhath	good morning
oidhche mhath	good night
bathar (m); maoin (f)	goods
gèadh	goose
glas-sheabhag (f); seabhag-riabhach (f); seabhag-mhór (f); gos-sheabhag (f)	goshawk
seanchas (m)	gossip
riaghladh (m)	government
gràmar (m)	grammar
ogha (m)	grandchild
ban-ogha (f), nighean-mhic (f) ('son's daughter'), nighean-ighne (f) ('daughter's daughter')	granddaughter
seanmhair (f)	grandmother
mac-mic (m), mac-ighne (m) ('daughter's son')	grandson
fìon-dearc (f)	grape
feur (m)	grass
uaigh (f)	grave
cladh (m)	graveyard
sùgh (m)	gravy
saill (f)	grease
sinn-seanair (m)	great
currac-baintighearna (m)	great tit
sannt (m), sanntachd (f)	greed
uaine ('painted or dyed green'), glas ('of grass, trees, etc.'), gorm ('of grass, trees, etc.')	green
tì uaine	green tea
liath (light grey), glas (dark grey)	grey
fang (f)	griffon vulture
dag (m)	gun
fùdar-gunna (m); fùdar (m)	gunpowder
cleachdadh (m)	habit
haifniam	hafnium
clach-mheallain (f)	hail
fuiltean (m); ribe (m)	hair
leth (m)	half
sliasaid (f)	ham
òrd (m)	hammer
spòg (f)	hand
eireachdail	handsome
ceann-daoraich (m)	hangover
tachair; turchair; tàrlaidh	happen
àigh (m)	happiness
sona, toilichte, àghmhor	happy
co-latha breith sona	happy birthday
doirbh, duilich	hard
geàrr (f); maigheach (f)	hare
clàrsach (f), troman (m), troman-ciùil (m)	harp
haisiam	hassium
ad (f)	hat
gràin (f), fuath (m)	hate
gràin (f)	hatred
clamhan (m), seabhag (f)	hawk
cnò challtainn (f)	hazelnut
e 'nonemphatic', esan 'emphatic'	he
ceann (m)	head
cluinn	hear
cridhe (m)	heart
speur (m)	heaven
trom	heavy
gràineag	hedgehog
sàil (f)	heel
oighre (m)	heir
hèiliam	helium
Ifrinn (f)	hell
halò	hello
clogaid (f)	helmet
cuidich	help
leth-chruinne (m)	hemisphere
cainb (f)	hemp
cearc (f)	hen
seo	here
gaisgeach (m), laoch (m),	hero
sgadan (m)	herring
hòigh	hi
falaich, ceil	hide
àrd; a dh'àirde	high
cnoc (m); monadh (m); sliabh (m)	hill
a	his
eachdraidheil	historical
eachdraidh (f)	history
buail	hit
thuige seo	hitherto
hocaidh (m)	hockey
latha-fèille (m)	holiday
cuileann (m)	holly
hoilmiam	holmium
dhachaigh	home
co-ghnèitheach; gèidh	homosexual
co-sheòrsachd (f); fearas-feise (m); (f)	homosexuality
