Serbian	English
вртешка (f) (vrteška); обртаљка (f) (obrtaljka)	carousel
slap (m)	cascade
кућиште (n) (kućište)	case
gotovina (f)	cash
kockarnica (f)	casino
замaк (m); zamak (m)	castle
рокада (rokada)	castling
мрена (f) (mrena)	cataract
катјон (m) (katjon)	cation
uzročnost (f)	causality
pećinar (m), pećinarka (f)	caveman
мобилни телефон (m)	cell phone
средиште (n) (središte)	center
stotina	century
церијум (cerijum) (m)	cerium
наравно (naravno); несумњиво (nesumnjivo)	certainly
izvesnost (f)	certainty
pleva (f)	chaff
lanac (m), veruga (f), verige (f'p)	chain
верижњача (f) (verižnjača)	chain mail
nokšir	chamber pot
prvak (m); pobednik (m)	champion
prvenstvo	championship
zamena (f)	change
svlačionica (f)	changing room
lik (m)	character
osobina (f); značajka (f)	characteristic
dobrodavstvo, dobrodavanje	charity
шасија (f) (šasija)	chassis
celomudrenost, čednost, neporočnost	chastity
јефтин (m); jeftin (m)	cheap
zivio ziveli, ziveli	cheers
krbuljica	chervil
kokoš (f); kokoška (f); petao (m); pevac (m); pile (n)	chicken
dete (n); čedo (n)	child
detinjstvo (n)	childhood
dimnjak (m)	chimney
димничар (m) (dimničar); димњачар (m) (dimnjačar)	chimney sweep
хлор (m) (hlor)	chlorine
odlučiti; odabrati	choose
akord	chord
letopis (m)	chronicle
дрскост; дрчност	chutzpah
obim (m)	circumference
околност (f) (okolnost)	circumstance
građanka (f) (грађанка); građanin (m) (грађанин)	citizen
civilizacija	civilization
видовитост, vidovitost	clairvoyance
шкољка (f) (školjka)	clam
zadruga (f), rod (m), svojta (f), bratstvo (n)	clan
кларинет (m) (klarinet)	clarinet
stalež (m)	class
клаустрофобија (klaustrofobija)	claustrophobia
ključnjača (f)	clavicle
pavit (m), pavitina (f), skrobut (m)	clematis
sveštenstvo (n)	clergy
pisar (m), beležnik (m), pisarica (f), beležnica (f)	clerk
litica (f); hrid	cliff
клиничка психологија (klinička psixologija)	clinical psychology
plašt (m), ogrtač (m)	cloak
одећа 	clothes
odeća (f); odežda (f)	clothing
kočijaš (m)	coachman
кобалт (kobalt) (m)	cobalt
trtica (f), trtičnjača (f)	coccyx
кукурику (kukuriku)	cock
бубашваба	cockroach
čahura (f)	cocoon
ибрик за кафу (ibrik za kafy)	coffee pot
когнитивна психологија (kognitivna psixologija)	cognitive psychology
случајност	coincidence
sakupljati	collect
рудник угља (m)	colliery
kandilka	columbine
stubac (m), stupac (m)	column
војсковођа (m) (vojskovođa)	commander in chief
сиви галеб (sivi galeb)	common gull
компас (kompas) (m)	compass
skladba (f)	composition
kompot	compote
složenica	compound word
рачунар (m) računar (m)	computer
програмски језик (m)	computer language
друг / drug	comrade
sneshodljiv	condescending
konduktor (m), sprovodnik (m), provodnik (m)	conductor
stožac, čunj	cone
посластичарница (f) (poslastičarnica )	confectionery
конфедерација (f) (konfederacija)	confederation
sednica (f)	conference
исповед (f) (íspoved); исповест (f) (íspovest)	confession
исповедаоница (f) (ispovedaonica)	confessional
poverljivo	confidential
везивно ткиво (vezivno tkivo)	connective tissue
implicirati	connote
osvajač (m), zavojevač (m), savlađivač (m)	conqueror
savest (f)	conscience
zavera (f)	conspiracy
zaverenik (m)	conspirator
ustav (m)	constitution
потрошач (m) (potrošač)	consumer
померање континената (n)	continental drift
шелф (m); континентална полица (f)	continental shelf
противречје (n) (protivrečje); противречност (n) (protivrečnost)	contradiction
коперницијум	copernicium
копра (f)	copra
jezgro (n), srž (f)	core
pluta (f)	cork
izvijač (m), vadičep (m)	corkscrew
rožnjača (f), rožnica (f)	cornea
корпулентно	corpulent
tačno; тачно	correctly
steznik (m)	corset
ношња (f) (nošnja)	costume
ležaj (m)	couch
protivnapad (m)	counter
лажан (m) (lažan); неаутентичан (m) (neautentičan)	counterfeit
sc=Cyrl; selo (n); dedinje (n)	country
prevrat (m)	coup
kolevka, ljuljka	cradle
smetana (f), skorup (m)	cream
mirozdanje, stvaranje, tvorba	creation
tvorac, stvoritelj, stvaralac, stvaraoc	creator
polumesec (m)	crescent
uvor	crest
krevetac, jasle	crib
zločin (m)	crime
прећи Рубикон (preći Rubikon)	cross the Rubicon
ćuskija (f)	crowbar
ledac (m)	crystal
набити рогове (nabiti rogove)	cuckold
кукавица (kukavica) (f)	cuckoo
куп (kup)	cup
kredenac (m)	cupboard
znatiželjnost (f), znatiželja (f), radoznalost (f), ljubopitljivost (f), ljubopitnost (f), ljubopitstvo (n)	curiosity
radoznalost je ubila mačku	curiosity killed the cat
кириjум (kirijum) (m)	curium
облина (f) (oblina)	curve
ublažiti	cushion
kupovac, kupac	customer
jedalo (n)	cutlery
valjak (m), stublina (f)	cylinder
jazavičar (m)	dachshund
дацит	dacite
дневне новине (f)	daily
nasip; brana; gat	dam
ples, igranka, tanac (m)	dance
подијум за плес (podijum za ples); подијум за игру (podijum za igru)	dance floor
perut (m)	dandruff
опасан (ópasan)	dangerous
mračno (n), mračan (m), mračna (f)	dark
податак	data
састанак (m)	date
датула (f) (datula)	date palm
датив (dativ) (m)	dative case
sinuti, sinuće, osanjiti	dawn
preksutra	day after tomorrow
прекјуче; prekjuče	day before yesterday
велебиље	deadly nightshade
gluv; gluh	deaf
gluvoća (f), gluvost (f)	deafness
samrt (2)	deathbed
десетлеће (n) (desetleće)	decade
дубок (dubok)	deep
branjenik (m), branjenica (f)	defendant
brlog; jazbina; jama	den
житељ (m)	denizen
именилац (m) (imenilac)	denominator
дезодоранс (m) (dezodorans)	deodorant
nesamostalan (m), nesamostalna (f), zavisan (m), zavisna (f)	dependent
potomak (m)	descendant
писаћи сто (m); радни сто (m)	desk
sudbina (f)	destiny
uređaj (m) (уређај)	device
ђаволаст; враголаст	devilish
наречје (n); narečje (n)	dialect
prečnik (m)	diameter
пречага (f), ошит (m)	diaphragm
dihotomija (f)	dichotomy
ishrana (f)	diet
ručaonica (f), blagovaonica (f)	dining room
диода (f) (dioda)	diode
gušobolja (f)	diphtheria
reditelj, zborovodja (in a choir)	director
imenik (m), именик (m)	directory
нестајати (nestajati); нестати (nestati)	disappear
razočarenje (n)	disappointment
raskorak (m)	discrepancy
расправити (raspraviti)	discuss
rasprava (f); diskusija (f)	discussion
болест; bolest (f); zaraza (f); obolenje (n)	disease
гађење (gađenje) (n)	disgust
завади па владај (zavadi pa vladaj)	divide and conquer
razvod	divorce
omamica (f)	dizziness
lekar (m), lekarka (f), zdravnik (m), zdravnica (f)	doctor
документација; dokumentacija	documentation
додекаедар; dodekaedar	dodecahedron
srna (f); košuta (f)	doe
pas#Serbian'pas (m), kučka (f), kuče (m), kuca (f) (dim.), džukela (f)	dog
дужд (m)	doge
štenara (f)	doghouse
дрен (m) (dren)	dogwood
lutka (f), kukla (f) (regional)	doll
stanište; boravište	domicile
поклон (poklon)	donation
davalac (m)	donor
sudnji dan (m)	doomsday
kvaka (f)	doorknob
пух (puh)	dormouse
dvojnik (m); dvojnica (f)	double
golubarnik	dovecote
вући (vući)	drag
promaja (f)	draught
crtež (m)	drawing
slamka (f); slamčica (f); cevka (f); cevčica (f)	drinking straw
vozač (m); vozačica (f)	driver
дромедар (dromedar) (m)	dromedary
трут (m) (trut)	drone
sušilo (n), sušilica (f), sušionik (m)	dryer
дубниjум (dubnijum) (m)	dubnium
dvoboj (m)	duel
dvopev (m)	duet
мутав (m) (mutav); нем (m) (nem)	dumb
донжон кула (m)	dungeon
sumrak (m); suton (m)	dusk
prah (m)	dust
патуљаста звезда (f) (patuljasta zvezda)	dwarf star
дислексија	dyslexia
диспрозиjум (disprozijum) (m)	dysprosium
велика ушара (f), буљина (f)	eagle owl
klas (m)	ear
rano ('comparative' ranije, 'superlative' najranije)	early
naušnica (f); minđuša (f)	earring
земља (f); zemlja (f)	earth
uholaža (f); strižavka (f)	earwig
prisluškivati	eavesdrop
jeka (f)	echo
економија (f)	economics
privreda (f)	economy
екотон (ekoton)	ecotone
istupanje (n)	ecstasy
odgoj; obrazovanje	education
samoljublje (n)	egoism
osamdeset i šest, osamdeset šest	eighty
аjнштаjниjум (ajnštajnijum) (m)	einsteinium
Izbori (Izbori)	election
електроника	electronics
elegantno	elegant
narikača (f), žalopojka (f), tužbalica (f)	elegy
лифт (m) (lift)	elevator
патуљак; patuljak	elf
другамо (drugamo); другуд (drugud)	elsewhere
žar (m), žeravica (f)	ember
zametak (m)	embryo
iseljenje (n)	emigration
osećaj (m), čuvstvo (n)	emotion
запосленик (m) (zaposlenik); послопримац (m) (posloprimac)	employee
poslodavac (m)	employer
zaposlenje, zaposlenost	employment
машиновођа (m) (mašinovođa)	engineer
ugravirati	engrave
prijatno	enjoy your meal
prosvetljenje (n)	enlightenment
доста (dosta)	enough
okolina (f); okruženje (n)	environment
zavideti	envy
rednja (f), pošast (f), epidemija (f)	epidemic
pokožica (f)	epidermis
pogovor (m)	epilogue
епително ткиво (n) (epitelio tkivo)	epithelium
оваплоћење (ovaploćenje)	epitome
ravnopravnost (f) (равноправност)	equality
ербиjум (erbijum) (m)	erbium
прекјуче; prekjuče	ereyesterday
zerdav (m)	ermine
odron (m), odronjenje (n)	erosion
načitanost (f)	erudition
ескалатор (m) (eskalator)	escalator
večan, vekotrajan, vekovečan	eternal
večnost (f)	eternity
еуропиjум (europijum) (m)	europium
predvečerje, predveče	eve
zbivanje (n), događaj (m), dešavanje (n)	event
зао (m) (zȁo); зла (f) (zlȁ); зло (n) (zlȍ)	evil
урокљиво око (urokljivo oko)	evil eye
tačno; тачно	exactly
uzvičnik (m)	exclamation mark
ekskurzija	excursion
главосек (m) (glavosek); главосеча (m) (glavoseča); крвник (m) (krvnik); џелат (m) (dželat)	executioner
bitisanje (n), postojanje (n)	existence
израбити (izrabiti)	exploit
izvoziti	export
степен (m) (stepen); размера (f) (razmera); обим (m) (obim)	extent
iznuda (f)	extortion
изручити (izručiti)	extradite
око за око, зуб за зуб (oko za oko, zub za zub)	eye for an eye
trepavica (f)	eyelash
basna, skazna	fable
činilac (m)	factor
tvornica (f); фабрика (f) (fabrika)	factory
bajka	fairy tale
веран (m) (veran)	faithful
jелен лопатар (jelen lopatar)	fallow deer
навијач (m); (m) обожавалац (m); (m) љубилац (m); (m)	fan
fantastično (n) (фантастично); fantastičan (m) (фантастичан); fantastična (f) (фантастична)	fantastic
путник (m) (putnik)	fare
kmetija, salaš	farm
zemljodelac (m), zemljoradnik (m)	farmer
хват/hvat	fathom
greška (f)	fault
usluga (f); molba (f)	favor
srnče (n); lane (n)	fawn
gozba (f); pir (m)	feast
женка, ženka	female
feminizam (m) (феминизам)	feminism
feminista (f) (феминиста); feministkinja (f) (феминисткиња)	feminist
фермиjум (fermijum) (m)	fermium
vretna (f)	ferret
трајект (trajekt)	ferry
фетиш	fetish
фетус (m)	fetus
грозница (f) (groznica)	fever
verenik (m), zaručnik (m)	fiancé
verenica (f)	fiancée
fijasko (m)	fiasco
pašnjak (m), polje (n)	field
patina (f)	film
peraja (f), plitva (f)	fin
јела (jela)	fir
ватра (f)	fire
skosje (n)	firewood
vatromet (m)	firework
plamenac (m)	flamingo
buva (f); buha (f)	flea
стадо (n) (stado)	flock
поплава (f)	flood
cvećnjak (m), saksija (f)	flowerpot
tečan	fluent
Cyrillic летети, Latin leteti	fly
leteći tanjir (m)	flying saucer
крма; крмиво; сплачина; помиjа	fodder
magla (f)	fog
савити 	fold
храна (f) 	food
dvorska luda (f), šutnik (m), šut (m), luda (f), luđak (m)	fool
стони фудбал (stoni fudbal) (m)	foosball
podnožje (n)	foot
dolaktica (f), podlaktica (f)	forearm
tuđina (f)	foreign country
predkožica, obrezak (m)	foreskin
predgovor (m)	foreword
