Romanian	﻿English
ceaţă deasă	fog
brumă	frost
ploaie	rain
curcubeu	rainbow
zăpadă	snow
furtună	storm
tunet	thunder
vânt	wind
acid	acid
produs chimic	chemical
element element chimic	chemical
cărbune	coal
bumbac	cotton
praf	dust
pământ	earth
grăsime	fat
sticlã	glass
clei	glue
bob	grain
gheaţă	ice
fier	iron
piele	leather
lichid	liquid
materie	matter
element metal	metallic
petrol	oil
otravă	poison
praf	powder
nisip	sand
mătase	silk
săpun	soap
oţel	steel
lemn	wood
lână	wool
sacoşă	bag
coş	basket
sticlă	bottle
cutie	box
ceaşcă	cup
sertar	drawer
plic	envelope
pahar	glass
farfurie	plate
clopot	bell
nasture	button
armă de foc	gun
ciocan	hammer
cârlig	hook
cheie	key
ială,închizătoare	lock
chibrit	match
cui	nail
ac	needle
pompă	pump
coardă	rope
foarfece	scissors
resort	spring
ştampilă	stamp
bici	whip
adunare	addition
unghi	angle
arie	area
centru	center
cerc	circle
curbă	curve
grad	degree
nivel	degree
diferenţă	difference
distanţă	distance
împărţire	division
margine	edge
element	element
rol	function
limită	limit
linie	line
plasă	net
afară	outside
parte	percent
punct	point
scop	purpose
urmare	result
regulă	rule
mulțime	set
parte	side
pătrat	square
pătrat	square
schimb	substitution
suprafaţă	surface
sumă	total
putinţă	ability
act	act
acţiune	action
dinamism	activity
adaos	addition
cantitate	amount
atac	attack
tentativă	attempt
atitudine	attitude
spate	back
comportament	behavior
bucăţică	bit
lovitură	blow
pauză	break
campanie	campaign
caz	case
oportunitate	chance
schimbare	change
alegere	choice
condiţie	condition
conector	connection
crăpătură	crack
întrerupere	cut
pagubă	damage
pericol	danger
moarte	death
ornament	decoration
distrugere	destruction
detaliu	detail
putere	dominance
picătură	drop
datorie	duty
efort	effort
cădere	fall
caracteristică	feature
luptă	fight
parte din faţă	front
lovitură	hit
gaură	hole
creştere	increase
crestere	increase
internet	internet
zdruncinătură	jolt
lovitură cu piciorul	kick
fel	kind
nod	knot
listă	list
majoritate	majority
chestiune	matter
minte	mind
funcţionare	operation
opus	opposite
salvă	outburst
parte	part
parte	part
bucată	piece
loc	place
loc	position
putere	power
practică	practice
îndatorire	project
proprietate	property
calitate	quality
seninătate	quiet
bătaie	reach
responsabilitate	responsibility
odihnă	rest
întoarcere	return
ascensiune	rise
pericol	risk
loc	seat
set	set
linişte	silence
situaţie	situation
bucată	slice
stare	state
pas	step
oprire	stop
gust	taste
lucru	thing
punct culminant	top
atingere	touch
tratament	treatment
tremur	tremble
şiretlic	trick
tip	type
uz	use
fel	way
uzură	wear
tot	whole
voinţă	will
pretenţii	wish
artă	art
artist (plastic)	artist
trupă	band
perie	brush
culori	color
concert	concert
schiţă	design
diversitate	diversity
distracţie	entertainment
hit	hit
cerneală	ink
invenţie	invention
mod	manner
film	movie
muzeu	museum
muzica	music
notă	note
orchestră	orchestra
vopsea	paint
tablou	painting
hârtie	paper
stilou	pen
creion	pencil
imagine	picture
poem	poem
versuri	poetry
ritm	rhythm
formă	shape
cântăreţ	singer
cîntec	song
scenă	stage
stil	style
modă	vogue
cont	account
avantaj	advantage
publicitate	advertisement
sfat	advice
înţelegere	agreement
atenţie	attention
autoritate	authority
bancnotă	banknote
afacere	bargain
marcă	brand
magazin	business
capital	capital
mărunt	change
cec	cheque
comitet	committee
companie	company
concurenţă	competition
acuzaţie	complaint
contract	contract
copie	copy
consiliu	council
oră	course
client	customer
nevoie	demand
departament	department
greutăţi	difficulty
director	director
economie	economy
mediu înconjurător	environment
experienţă	experience
firmă	firm
formular	form
grup	group
ajutor	help
vacanţă	holiday
venit	income
industrie	industry
asigurare	insurance
interes	interest
carnet de cecuri	invoice
ocupaţie	job
lege	law
permisie	leave
pierdere	loss
îndrumare	management
semn	mark
piaţă	market
material	material
medie	mean
întâlnire	meeting
bani	money
ocupaţie	occupation
ofertă	offer
birou	office
ofiţer de poliţie	officer
proprietar	owner
pachet	package
plată	payment
plan	plan
preţ	price
problemă	problem
produs	product
profit	profit
proprietate	property
tarif	rate
rest	rest
răsplată	reward
drept	right
vânzare	sale
divizie	section
serviciu	service
acţiune	share
magazin	shop
abilitate	skill
succes	success
sprijin	support
tabel	table
taxă	tax
echipă	team
comerţ	trade
valoare	value
loc de muncă	work
muncitor	worker
anunţ	announcement
răspuns	answer
aprobare	approval
argument	argument
carte	book
apel	call
caracter	character
ceartă	controversy
strigăt	cry
date	data
decizie	decision
dicţionar	dictionary
discuţie	discussion
dubiu	doubt
încercare	experience
sentiment	feeling
umor	humor
idee	idea
interes	interest
interviu	interview
limbă	language
limbă	language
literă	letter
scrisoare	letter
minciună	lie
privire	look
revistă	magazine
poştă	mail
memorie	memory
amintire	memory
greşeală	mistake
nume	name
ziar	newspaper
notã	note
număr	number
părere	opinion
pagină	page
pronunţare	pronunciation
propunere	proposal
protest	protest
întrebare	question
reacţie	reaction
motiv	reason
relaţii	relation
rugăminte	request
secret	secret
frază	sentence
simbol	sign
limbă	speech
ortografie	spelling
criteriu	standard
subiect	subject
propunere	suggestion
voce	voice
promisiune	word
scris	writing
day bună ziua	good
luck noroc, mult noroc !	good
salut!	hello
are you ce mai faceți? (formal), ce mai faci? (informal)	how
thanks multe mulțumiri	many
nu	no
da	yes
Regatul Unit	Britain
China, China	China
Republic Republica Cehă, Republica Cehă	Czech
Republica Franceză, Republica Franceză	France
Republica Federală Germană, Republica Federală Germană	Germany
Republica India, Republica India	India
Italia, Italia	Italy
Japonia, Japonia	Japan
Regatul Spaniei, Regatul Spaniei	Spain
States of America Statele Unite ale Americii	United
aparat de fotografiat	camera
aparat de fotografiat	camera
phone telefon celular	cellular
ceas	clock
computer	computer
lift	elevator
motor	engine
instrument	instrument
maşină	machine
cuptor	oven
televizor	television
ceas	watch
clasă	class
educaţie	education
educație	education
studii	education
examen	examination
notă	grade
cunoaştere	knowledge
student	student
profesor	teacher
pregătire	training
frică	fear
ură	hate
dragoste	love
plăcere	pleasure
speranţă	promise
şoc	shock
în grija	care
răceală	cold
tuse	cough
boală	disease
doctor	doctor
sănătate	health
infirmieră	nurse
operaţie	operation
durere	pain
pacient	patient
punct	stitch
lamă	blade
scândură	board
carte (de joc)	card
lanţ	chain
băţ	club
capac	cover
pană	feather
steag	flag
cadru	frame
mâner	handle
piuliţă	nut
ac cu gămălie	pin
ţeavă	pipe
tarif poştal	postage
cadou	present
corabie	sail
buclă	scroll
sămânţă	seed
baston	stick
piatră	stone
bilet	ticket
roată	wheel
sârmă	wire
echilibru	balance
masă	bulk
încărcătură	charge
energie	energy
lumină	light
masă	mass
oglindă	mirror
mişcare	movement
presiune	pressure
proces	process
măsură	size
sunet	sound
abur	steam
forţă	strength
timp	time
unitate	unit
greutate	weight
prieten	boyfriend
întâlnire	date
oaspete	guest
dragă	honey
sărut	kiss
sărbătoare	party
sex	sex
zâmbet	smile
surpriză	surprise
vizită	visit
alegere	alternative
biologie	biology
cauză	cause
chimie	chemistry
comparaţie	comparison
consecinţă	consequence
control	control
descoperire	discovery
eveniment	event
probă	evidence
specimen	example
fapt	fact
chestiune	issue
esenţă	kernel
metodă	method
model	model
fază	phase
procedură	procedure
producţie	production
program	program
proiect	project
cuprins	range
cercetare	research
anchetă	research
ştiinţă	science
societate	society
sistem	system
tehnologie	technology
teorie	theory
tendinţă	trend
necaz	trouble
utilizator	user
armată	army
bază	base
club	club
companie	company
concurs	contest
ţară	country
curte	court
delict	crime
cultură	culture
republică	democracy
autoritate	dominion
alegeri	election
existenţă	existence
guvern	government
istorie	history
individ	individual
institutie	institution
rege	king
mascul	male
membru	member
naţiune	nation
noutate	news
zgomot	noise
ordin	order
organizaţie	organization
paşaport	passport
pace	peace
oameni	people
poliţist	police
politică	policy
populaţie	population
populaţie	public
pedeapsă	punishment
credinţă	religion
religie	religion
stat	state
titlu	title
unire	union
război	war
voinţă	will
testament	will
distincţie	award
balon	ball
baseball	baseball
bicicletă	bike
campionat	championship
concurent	competitor
cupă	cup
fotbal	football
joc	game
gol	goal
scop	goal
ban de aur	gold
golf	golf
salt	jump
vânat	match
jucător	player
record	record
argint	silver
tenis	tennis
aruncare	throw
