English	Russian
addition	дополнение
amount	количество
attack	набег
attempt	надсада
attitude	точка зрения
back	задняя страница
behavior	поведения
bit	кусок
blow	удар
break	пауза, перерыв
campaign	кампания
case	случай
chance	возможность
change	перемена
choice	выбор
condition	состояние
connection	подключение
connection	соединение
crack	брешь
crush	раздробление
cut	срез
damage	поломка
danger	опасность
death	смерть
decoration	декорация
defense	оборона
destruction	разрушение
detail	подробность, деталь
dominance	перевес
drop	капля
duty	повинность
effort	старание
fall	падение
feature	способность
fight	борьба
front	передняя часть
hit	удар
hole	дыра
increase	рост
increase	прирост
internet	интернет
jolt	удар
kick	пинок
kind	вид
knot	узел
list	перечень
majority	большинство
matter	дело
mind	ум, мысль
operation	действие
opposite	противоположность
outburst	извержение
part	часть
part	часть
personality	характер
piece	кусок
place	место
position	позиция, положение
power	сила
practice	практика
project	проект
property	способность
quality	качество
quiet	спокойствие
reach	досягаемость
report	рапорт
responsibility	ответственность
rest	отдых
return	возврат
rise	подъём
risk	риск
seat	место
serial	сериал, многосерийный фильм
set	комплект
silence	тишина
situation	ситуация
slice	кусок
state	состояние
step	шаг, поступь
stop	остановить
taste	вкус
thing	предмет, вещь
top	верхушка
touch	прикосновение
treatment	обхождение
tremble	дрожание
trick	трюк
type	тип
use	употребление
way	способ
wear	износ
whole	целое
will	воля
wish	желание
art	искусство
artist	художник
band	оркестр
brush	щётка
color	краска
concert	концерт
design	проект
diversity	разнообразность, разнообразие
entertainment	веселье, развлечение
hit	хит
image	имидж
ink	чернила
invention	изобретение, измышление
manner	способ, метод
movie	фильм, кинокартина
museum	музей
music	музыка
note	нота
orchestra	оркестр
paint	краска
painting	картина
paper	бумага
pen	ручка
pencil	карандаш
picture	изображение
poem	стихотворение, поэма
poetry	поэзия
rhythm	ритм
shape	конфигурация, форма
singer	певец
song	песня
stage	сцена
style	стиль
vogue	мода
account	счёт
advantage	преимущество
advertisement	пропаганда, реклама
advice	совет
agreement	соглашение, договор
attention	внимание
authority	авторитет
banknote	банкнот, кредитный билет
bargain	сделка
brand	марка
business	коммерция, бизнес
businesswoman	предприниматель
capital	капитал
change	мелочь
cheque	чек
committee	комитет, комиссия
company	предприятие
competition	конкуренция, соревнование
complaint	нарекание
contract	контракт
copy	копия
cost	расход
council	совет
course	курс
customer	покупатель, заказчик
demand	потребность
department	отделение
difficulty	трудность
director	директор
economy	хозяйство, экономика
environment	окружение
experience	опыт
firm	фирма, торговый дом
form	формуляр
group	группа
help	помощь, содействие
holiday	каникулы
income	оклад, заработок
industry	промышленность
insurance	страховка
interest	процент
invoice	фактура, счёт
job	дело, труда
law	закон
leave	отпуск
loss	утрата, пропадание
management	руководство, предводительство
mark	марка
market	рынок, базар
material	материал
mean	среднее
meeting	встреча
money	деньги
occupation	профессия, работа
offer	предложение
office	офис, контора
officer	чиновник
operation	операция
owner	собственник, владелец
package	пакет
payment	плата, платёж
plan	план
price	стоимость, цена
problem	проблема
product	продукт
profit	прибыль, нажива
property	имущество
rate	расценка, тариф
rest	остаток
reward	оплата
right	право
sale	продажа, сбыт
section	секция, отделение
section	секция, участок
service	услуга
share	акция
shop	лавка, магазин
show	шоу
skill	искусство
staff	персонал
structure	структура
success	успех
support	поддержка, опора
table	таблица
tax	налогообложение, налог
team	команда
trade	занятие, торговля
value	ценность
work	работа
worker	рабочий
announcement	провозглашение, объявление
answer	ответ
approval	одобрение, согласие
argument	аргумент
book	книга
call	звонок, зов
character	знак
controversy	спор
cry	крик, возглас
data	сведениe, информация
decision	заключение, решение
dictionary	словарь
discussion	диспут, прения
doubt	сомнение, неуверенность
experience	впечатление
feeling	ощущение
humor	юмор
idea	мысль
information	сведениe, информация
interest	интерес
interview	разговор, беседа
language	язык
language	язык
letter	буква
letter	письмо
lie	ложь
look	вид, взгляд
magazine	журнал
mail	почта
memory	память
memory	воспоминание
mistake	ошибка
name	имя
newspaper	газета
note	заметка
number	количество, число
opinion	мнение, суждение
page	страница
pronunciation	произношение
proposal	предложение
protest	протест
question	вопрос
reaction	реакция
reason	основание, мотив
relation	соотношение
request	просьба
secret	секрет, тайна
sentence	предложение
sign	знак
speech	язык
spelling	правописание, орфография
standard	критерий
statement	утверждения
subject	сюжет, тема
suggestion	проект
voice	голос
word	слово
writing	почерк
good day	добрый день (dóbryj den’)
good luck	удачи (udáči!), желаю удачи (želáju udáči!)
hello	привет
how are you	как дела (kak delá?), как поживаешь (kak poživáješ?)
many thanks	большое спасибо (bol’šóje spasíbo)
no	нет
thank you very much	большое спасибо (bol’šóje spasíbo!), благодарю (blagodarjú!)
yes	да
Britain	Англия, Великобритания
China	китай
Czech Republic	Чехия, Чешская Республика
France	Франция
Germany	Германия
India	Индия
Italy	Италия
Japan	Япония
Spain	Испания
United States of America	США, Соединенные Штаты Америки
camera	камера
camera	фотоаппарат
cellular phone	мобильный телефон, мобильник
clock	часы
computer	компьютер
elevator	лифт
engine	двигатель
instrument	инструмент, орудие
machine	станок
oven	печь
television	телевизор
watch	часы
class	ранг, класс
education	образование
education	воспитание
education	образование
examination	экзамен
grade	отметка
knowledge	знание
student	студент, ученик
teacher	учитель
training	обучение
fear	страх
hate	ненависть
love	любовь
pleasure	удовольствие
promise	надежда
shock	шок
care	попечение
cold	простуда, насморк
cough	кашель
disease	болезнь
doctor	врач, доктор
health	здоровье
menstruation	менструация
nurse	медсестра, няня
operation	операция
pain	боль
patient	пациент, больной
stitch	стежок
blade	лезвие
board	доска
card	карточка
chain	цепь
club	дубинка
cover	крышка
feather	перо
flag	флаг
frame	рамка
handle	ручка
menu	меню
nut	гайка
pin	булавка
pipe	труба
postage	почтовая марка
present	подарок
sail	парус
scroll	круг
seed	зерно, семя
stick	палка
stone	скала
ticket	билет
wheel	колесо
wire	провод
balance	баланц
bulk	количество
charge	заряд
energy	энергия
light	свет
mass	масса
measurement	измерение
mirror	зеркало
movement	движение
pressure	давление
process	процесс
size	размер
sound	звук
steam	пар
strength	сила
time	время
unit	единица
weight	вес
boyfriend	поклонник
date	встреча, свидание
girlfriend	девочка, поклонница
guest	гость
honey	дорогой, дорогая
kiss	поцелуй
party	вечеринка
sex	секс
smile	улыбка
surprise	сюрприз
visit	визит
alternative	альтернатива
biology	биология
cause	причина
chemistry	химия
comparison	сравнение
consequence	последствие
control	проверка
discipline	дисциплина
discovery	находка
discovery	находка
event	событие
evidence	улика
example	пример
fact	факт
issue	проблема
kernel	суть
method	способ, метод
model	модель, макет
phase	фаза
procedure	процесс, процедура
production	производство
program	программа
project	проект
range	диапазон
research	исследование
research	обследование
science	наука
society	общество
system	система
technology	технология
theory	теория
trend	тенденция
trouble	проблема
user	пользователь
army	армия
base	военная база
club	клуб
company	общество
contest	соревнование, состязание
country	страна
court	суд
crime	преступление
culture	культура
democracy	демократия, республика
dominion	господство
election	выборы
existence	существование
female	женщина
government	правительство
history	история
individual	индивидуум
institution	учреждение
king	король
male	самец
member	член
nation	народ, нация
news	новость
noise	шум, гам
order	приказ, команда
organization	организация
pass	удоствоверение
passport	паспорт
peace	мир
people	люди, народ
police	полиция
policy	политика
population	население
public	общественность
punishment	наказание
religion	вероисповедание
religion	религия
state	страна
title	надпись, заголовок
union	союз
war	война
will	воля
will	завещание
award	награда
ball	мяч
baseball	бейсбол
bike	велосипед
championship	чемпионат
competitor	соперник
cup	кубок
football	футбол
game	игра
goal	гол
goal	цель
gold	золото
golf	гольф
jump	скачок, прыжок
match	матч
player	игрок
record	рекорд
silver	серебро
tennis	теннис
throw	бросание
win	победа